id,text,reversed_text,shuffled_text,num_sentences,ppl,ppl_reversed,ppl_shuffled,ppl_diff_reversed,ppl_diff_shuffled,ppl_ratio_reversed,ppl_ratio_shuffled,ppl_loo_mean,ppl_loo_std,ppl_loo_min,ppl_loo_max,ppl_cumulative_slope,ppl_cumulative_mean,ppl_cumulative_std,ppl_cumulative_first,ppl_cumulative_last,ppl_cumulative_rev_slope,ppl_cumulative_rev_mean,ppl_cumulative_rev_std,ppl_cumulative_rev_first,ppl_cumulative_rev_last,ppl_cumulative_shuff_slope,ppl_cumulative_shuff_mean,ppl_cumulative_shuff_std,ppl_cumulative_shuff_first,ppl_cumulative_shuff_last
0,"For this instance, the model predicted to have diabetes. Age (Age of the patient) is the most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.","Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction. Age (Age of the patient) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to have diabetes.","Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Age (Age of the patient) is the most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to have diabetes.",5,3.86,5.97,4.75,2.11,0.89,1.55,1.23,4.97,0.64,3.71,5.46,-26.6536,33.71,47.57,127.77,3.86,-7.1245,13.76,12.27,37.68,5.97,-3.3667,8.14,5.85,19.48,4.75
1,"For this instance, the model predicted not to have diabetes. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a positive influence on the prediction. Insulin (2-Hour serum insulin (mu U/ml)) is the third most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction.","Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction. Insulin (2-Hour serum insulin (mu U/ml)) is the third most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.","Insulin (2-Hour serum insulin (mu U/ml)) is the third most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted not to have diabetes.",5,4.3,5.28,6.36,0.98,2.07,1.23,1.48,5.51,0.54,4.81,6.21,-17.7561,25.37,30.18,84.14,4.3,-2.631,8.13,4.32,16.22,5.28,-10.9988,18.38,19.19,56.02,6.36
2,"For this instance, the model predicted not to have diabetes. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a negative influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.","Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.","Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted not to have diabetes.",5,4.1,5.92,4.64,1.82,0.54,1.44,1.13,5.31,0.56,4.49,5.97,-17.8387,25.28,30.25,84.14,4.1,-7.1302,13.83,12.24,37.68,5.92,-3.5892,8.4,6.15,20.3,4.64
3,"For this instance, the model predicted not to have diabetes. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Insulin (2-Hour serum insulin (mu U/ml)) is the 4th most important feature and has a negative influence on the prediction.","Insulin (2-Hour serum insulin (mu U/ml)) is the 4th most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.","Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Insulin (2-Hour serum insulin (mu U/ml)) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.",5,4.15,5.85,4.35,1.7,0.2,1.41,1.05,5.39,0.6,4.63,6.2,-17.8281,25.29,30.24,84.14,4.15,-7.7985,14.05,14.07,41.89,5.85,-3.4853,8.05,5.92,19.48,4.35
4,"For this instance, the model predicted to have diabetes. Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a positive influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the 4th most important feature and has a negative influence on the prediction.","Glucose (Plasma glucose concentration) is the 4th most important feature and has a negative influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a positive influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to have diabetes.","Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a positive influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted to have diabetes.",5,4.46,5.94,6.41,1.48,1.95,1.33,1.44,5.73,0.9,4.02,6.68,-26.2141,33.81,47.36,127.77,4.46,-6.4907,13.04,11.13,34.7,5.94,-8.685,15.96,14.98,45.2,6.41
5,"For this instance, the model predicted not to have diabetes. Age (Age of the patient) is the most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction. Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.","Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Age (Age of the patient) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.","Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction. Age (Age of the patient) is the most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.",5,3.96,4.88,5.68,0.92,1.71,1.23,1.43,4.98,0.63,3.74,5.39,-17.6699,24.49,30.47,84.14,3.96,-4.377,9.57,7.49,24.06,4.88,-10.2991,16.59,18.45,53.02,5.68
6,"For this instance, the model predicted to have diabetes. Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Age (Age of the patient) is the third most important feature and has a positive influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.","Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction. Age (Age of the patient) is the third most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to have diabetes.","Age (Age of the patient) is the third most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to have diabetes.",5,4.11,6.0,4.82,1.89,0.7,1.46,1.17,5.5,0.5,4.59,6.12,-26.7541,34.41,47.31,127.77,4.11,-7.1891,13.93,12.25,37.68,6.0,-5.6225,10.69,9.94,30.2,4.82
7,"For this instance, the model predicted not to have diabetes. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction.","Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.","Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Age (Age of the patient) is the second most important feature and has a negative influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.",5,4.11,6.06,4.59,1.95,0.49,1.47,1.12,5.34,0.58,4.49,6.0,-17.8371,25.28,30.25,84.14,4.11,-7.6194,14.53,13.09,40.06,6.06,-3.416,8.14,5.86,19.48,4.59
8,"For this instance, the model predicted not to have diabetes. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Age (Age of the patient) is the third most important feature and has a negative influence on the prediction. Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.","Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction. Age (Age of the patient) is the third most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.","Age (Age of the patient) is the third most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction. Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted not to have diabetes.",5,4.29,4.96,4.95,0.67,0.66,1.16,1.15,5.51,0.49,4.63,6.0,-17.7881,25.29,30.23,84.14,4.29,-3.9848,9.09,6.88,22.44,4.96,-5.7066,10.98,10.01,30.6,4.95
9,"For this instance, the model predicted not to have diabetes. Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a negative influence on the prediction. Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.","Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction. Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.","Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a negative influence on the prediction. Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction. Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction. Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted not to have diabetes.",5,4.28,5.33,6.41,1.05,2.13,1.25,1.5,5.57,0.87,3.97,6.54,-17.3414,24.35,30.35,84.14,4.28,-4.3446,10.14,7.27,24.06,5.33,-9.2194,16.59,15.82,47.41,6.41
