id,text,ppl
0,"For the instance 193, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 5th most important feature and has a positive influence on the prediction.",4.36
1,"For the instance 0, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Pstatus (Parent's cohabitation status) is the third most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction, Mjob (Mother's job) is the 5th most important feature and has a positive influence on the prediction.",3.9
2,"For the instance 108, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the second most important feature and has a positive influence on the prediction, G1 (First period grade) is the third most important feature and has a negative influence on the prediction, Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 5th most important feature and has a positive influence on the prediction.",4.39
3,"For the instance 3, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction, Age (Age of the student) is the 5th most important feature and has a positive influence on the prediction.",4.03
4,"For the instance 155, the model predicted to pass: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Paid (Extra paid classes) is the third most important feature and has a positive influence on the prediction, Health (Current health status) is the 4th most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 5th most important feature and has a positive influence on the prediction.",5.22
5,"For the instance 77, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction, Reason (Reason for choosing the school) is the 5th most important feature and has a positive influence on the prediction.",4.92
6,"For the instance 289, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction, Reason (Reason for choosing the school) is the 5th most important feature and has a positive influence on the prediction.",4.74
7,"For the instance 324, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Fjob (Father's job) is the third most important feature and has a negative influence on the prediction, Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction, Failures (Number of past class failures) is the 5th most important feature and has a positive influence on the prediction.",4.51
8,"For the instance 329, the model predicted to pass: G2 (Second period grade) is the most important feature and has a positive influence on the prediction, G1 (First period grade) is the second most important feature and has a positive influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction, Paid (Extra paid classes) is the 5th most important feature and has a positive influence on the prediction.",4.46
9,"For the instance 386, the model predicted to fail: G2 (Second period grade) is the most important feature and has a negative influence on the prediction, G1 (First period grade) is the second most important feature and has a negative influence on the prediction, Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction, Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction, Failures (Number of past class failures) is the 5th most important feature and has a positive influence on the prediction.",4.87
