text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"For this instance, the model predicted to have diabetes.",3.71,3.86,-0.15
0,1,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,5.23,3.86,1.37
0,2,Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction.,5.36,3.86,1.5
0,3,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,5.46,3.86,1.6
0,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,5.07,3.86,1.21
1,0,"For this instance, the model predicted not to have diabetes.",4.81,4.3,0.51
1,1,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,4.95,4.3,0.65
1,2,Age (Age of the patient) is the second most important feature and has a positive influence on the prediction.,6.21,4.3,1.92
1,3,Insulin (2-Hour serum insulin (mu U/ml)) is the third most important feature and has a negative influence on the prediction.,5.75,4.3,1.45
1,4,Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction.,5.84,4.3,1.54
2,0,"For this instance, the model predicted not to have diabetes.",4.49,4.1,0.39
2,1,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,4.88,4.1,0.78
2,2,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,5.79,4.1,1.69
2,3,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a negative influence on the prediction.,5.97,4.1,1.88
2,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,5.41,4.1,1.31
3,0,"For this instance, the model predicted not to have diabetes.",4.63,4.15,0.48
3,1,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,4.83,4.15,0.68
3,2,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,5.9,4.15,1.75
3,3,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,6.2,4.15,2.05
3,4,Insulin (2-Hour serum insulin (mu U/ml)) is the 4th most important feature and has a negative influence on the prediction.,5.41,4.15,1.25
4,0,"For this instance, the model predicted to have diabetes.",4.02,4.46,-0.45
4,1,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a positive influence on the prediction.,6.01,4.46,1.54
4,2,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,6.68,4.46,2.22
4,3,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a positive influence on the prediction.,6.1,4.46,1.64
4,4,Glucose (Plasma glucose concentration) is the 4th most important feature and has a negative influence on the prediction.,5.85,4.46,1.39
5,0,"For this instance, the model predicted not to have diabetes.",3.74,3.96,-0.23
5,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,5.37,3.96,1.41
5,2,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,5.39,3.96,1.43
5,3,Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction.,5.34,3.96,1.37
5,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.,5.07,3.96,1.11
6,0,"For this instance, the model predicted to have diabetes.",4.59,4.11,0.48
6,1,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,5.63,4.11,1.52
6,2,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,6.12,4.11,2.01
6,3,Age (Age of the patient) is the third most important feature and has a positive influence on the prediction.,5.66,4.11,1.55
6,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,5.48,4.11,1.37
7,0,"For this instance, the model predicted not to have diabetes.",4.49,4.11,0.38
7,1,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,4.89,4.11,0.79
7,2,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,5.91,4.11,1.8
7,3,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,6.0,4.11,1.89
7,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction.,5.41,4.11,1.3
8,0,"For this instance, the model predicted not to have diabetes.",4.63,4.29,0.34
8,1,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,5.46,4.29,1.17
8,2,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,6.0,4.29,1.72
8,3,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,5.9,4.29,1.61
8,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,5.54,4.29,1.25
9,0,"For this instance, the model predicted not to have diabetes.",3.97,4.28,-0.32
9,1,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction.,6.07,4.28,1.79
9,2,Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction.,6.54,4.28,2.25
9,3,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a negative influence on the prediction.,5.74,4.28,1.46
9,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.,5.54,4.28,1.25
10,0,"For this instance, the model predicted to have diabetes.",3.79,3.94,-0.15
10,1,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,5.7,3.94,1.76
10,2,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,5.44,3.94,1.5
10,3,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,5.27,3.94,1.33
10,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,5.13,3.94,1.19
11,0,"For this instance, the model predicted to have diabetes.",5.44,4.68,0.76
11,1,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,7.07,4.68,2.39
