text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"For this instance, the model predicted to have a stroke.",4.14,4.25,-0.1
0,1,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,6.18,4.25,1.94
0,2,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.71,4.25,1.46
0,3,Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction.,5.76,4.25,1.51
0,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.35,4.25,1.11
1,0,"For this instance, the model predicted not to have a stroke.",4.3,4.35,-0.04
1,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.3,4.35,1.96
1,2,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.73,4.35,1.39
1,3,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.87,4.35,1.52
1,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.51,4.35,1.17
2,0,"For this instance, the model predicted not to have a stroke.",4.3,4.35,-0.04
2,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.3,4.35,1.96
2,2,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.73,4.35,1.39
2,3,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.87,4.35,1.52
2,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.51,4.35,1.17
3,0,"For this instance, the model predicted not to have a stroke.",4.3,4.35,-0.04
3,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.3,4.35,1.96
3,2,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.73,4.35,1.39
3,3,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.87,4.35,1.52
3,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.51,4.35,1.17
4,0,"For this instance, the model predicted to have a stroke.",4.15,4.23,-0.08
4,1,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,6.17,4.23,1.94
4,2,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.64,4.23,1.41
4,3,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.76,4.23,1.53
4,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.33,4.23,1.1
5,0,"For this instance, the model predicted not to have a stroke.",3.94,4.34,-0.39
5,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.04,4.34,1.7
5,2,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.95,4.34,1.61
5,3,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,5.62,4.34,1.29
5,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.58,4.34,1.25
6,0,"For this instance, the model predicted not to have a stroke.",3.94,4.34,-0.39
6,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.04,4.34,1.7
6,2,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.95,4.34,1.61
6,3,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,5.62,4.34,1.29
6,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.58,4.34,1.25
7,0,"For this instance, the model predicted not to have a stroke.",3.94,4.34,-0.39
7,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.04,4.34,1.7
7,2,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.95,4.34,1.61
7,3,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,5.62,4.34,1.29
7,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.58,4.34,1.25
8,0,"For this instance, the model predicted to have a stroke.",4.15,4.23,-0.08
8,1,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,6.17,4.23,1.94
8,2,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.64,4.23,1.41
8,3,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.76,4.23,1.53
8,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.33,4.23,1.1
9,0,"For this instance, the model predicted not to have a stroke.",3.94,4.34,-0.39
9,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.04,4.34,1.7
9,2,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.95,4.34,1.61
9,3,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,5.62,4.34,1.29
9,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.58,4.34,1.25
10,0,"For this instance, the model predicted not to have a stroke.",3.94,4.34,-0.39
10,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.04,4.34,1.7
10,2,Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction.,5.95,4.34,1.61
10,3,Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction.,5.62,4.34,1.29
10,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.58,4.34,1.25
11,0,"For this instance, the model predicted not to have a stroke.",4.3,4.35,-0.04
11,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.3,4.35,1.96
11,2,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.73,4.35,1.39
11,3,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.87,4.35,1.52
11,4,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,5.51,4.35,1.17
12,0,"For this instance, the model predicted not to have a stroke.",4.3,4.35,-0.04
12,1,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,6.3,4.35,1.96
12,2,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,5.73,4.35,1.39
12,3,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.87,4.35,1.52
