text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.944724,0.686869,0.151515,0.070707,"[21.6788, 13.579, 11.102, 9.5372, 8.2376]"
1,5,0.941799,0.619048,0.174603,0.058201,"[27.9941, 16.9651, 11.9734, 11.6026, 10.7197]"
2,5,0.94152,0.637427,0.146199,0.087719,"[22.5862, 17.1532, 14.0948, 13.9229, 12.3805]"
3,5,0.957219,0.632432,0.183784,0.064865,"[22.0247, 17.2325, 14.1087, 11.9564, 10.261]"
4,5,0.923077,0.621469,0.141243,0.062147,"[21.8325, 17.555, 13.1141, 11.8861, 9.2527]"
5,5,0.938547,0.631285,0.162011,0.061453,"[21.5866, 13.1538, 11.4128, 11.089, 8.7475]"
6,5,0.930851,0.62963,0.153439,0.068783,"[21.5866, 15.2211, 11.781, 11.3404, 9.5208]"
7,5,0.911504,0.591928,0.156951,0.067265,"[23.7353, 17.4635, 13.2453, 10.5823, 9.3385]"
8,5,0.918478,0.626374,0.153846,0.065934,"[17.9003, 12.7751, 10.4635, 9.9697, 8.1067]"
9,5,0.942408,0.612565,0.167539,0.062827,"[20.1249, 13.1854, 11.7148, 10.1033, 8.6423]"
10,5,0.931818,0.614525,0.139665,0.061453,"[22.0247, 15.8457, 13.4486, 12.1072, 10.2515]"
11,5,0.933702,0.633333,0.177778,0.061111,"[28.7062, 20.4131, 15.6681, 13.9571, 10.8037]"
12,5,0.949367,0.64557,0.189873,0.06962,"[25.8601, 16.3535, 13.1342, 11.5741, 10.1459]"
13,5,0.954545,0.642045,0.136364,0.079545,"[24.799, 19.5806, 16.7248, 12.9174, 10.1468]"
14,5,0.958824,0.639053,0.183432,0.076923,"[22.038, 13.8376, 13.7444, 11.4384, 8.9895]"
15,5,0.942197,0.628571,0.165714,0.051429,"[25.2484, 19.6511, 13.8413, 12.2376, 10.7656]"
16,5,0.947644,0.642487,0.165803,0.082902,"[22.0247, 17.2627, 13.7346, 12.5909, 10.9117]"
17,5,0.94152,0.668639,0.159763,0.076923,"[19.964, 14.3922, 12.2635, 11.0854, 8.6917]"
18,5,0.971751,0.683616,0.163842,0.073446,"[22.5377, 15.6667, 10.9636, 11.022, 9.4909]"
19,5,0.949749,0.612245,0.147959,0.102041,"[23.7007, 20.704, 15.1379, 13.5177, 11.5782]"
20,5,0.93956,0.629834,0.187845,0.071823,"[25.7752, 16.1244, 13.0314, 11.3351, 8.779]"
21,5,0.958115,0.648936,0.143617,0.079787,"[19.2181, 13.6254, 11.7642, 10.3196, 8.6815]"
22,5,0.949495,0.634021,0.14433,0.082474,"[27.8424, 19.4883, 15.5254, 12.3939, 10.4253]"
23,5,0.937143,0.666667,0.178161,0.086207,"[26.2317, 17.0384, 17.4187, 13.9798, 10.6429]"
24,5,0.933333,0.643678,0.166667,0.091954,"[23.0802, 16.8121, 16.1334, 13.498, 11.1631]"
25,5,0.93956,0.65,0.155556,0.083333,"[26.9166, 15.1388, 13.1108, 10.9645, 9.0658]"
26,5,0.971429,0.680233,0.156977,0.075581,"[22.0247, 23.678, 16.3177, 14.4803, 11.3312]"
27,5,0.965517,0.664671,0.179641,0.053892,"[27.3161, 18.4565, 12.9313, 9.8486, 8.3772]"
28,5,0.962963,0.672956,0.18239,0.069182,"[23.1143, 15.655, 14.6062, 12.8139, 11.8685]"
29,5,0.921875,0.610256,0.189744,0.071795,"[25.7211, 16.3457, 12.8478, 10.6476, 9.1608]"
