text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,3,19.1926,21.6529,21.0666,27.7216,2.4603,1.874,8.529,0.128189,0.097642,0.444387
1,4,13.2379,15.6787,15.0674,17.7165,2.4408,1.8295,4.4786,0.184378,0.1382,0.338312
2,4,7.4266,9.1867,9.1118,9.546,1.7601,1.6853,2.1195,0.237005,0.226927,0.285393
3,4,10.1444,11.6631,11.2292,13.2,1.5187,1.0848,3.0555,0.149706,0.106932,0.3012
4,5,14.2463,19.5824,16.7221,17.535,5.336,2.4758,3.2887,0.374555,0.173784,0.230845
5,4,23.0241,25.1395,30.6045,29.3388,2.1155,7.5805,6.3147,0.091881,0.32924,0.274265
6,4,12.0609,13.3732,14.2179,16.5341,1.3123,2.157,4.4732,0.108809,0.178838,0.370883
7,6,10.891,12.7528,12.49,13.8823,1.8619,1.599,2.9913,0.170956,0.146822,0.274659
8,3,13.543,16.3276,18.6961,19.3995,2.7846,5.1531,5.8565,0.20561,0.3805,0.432437
9,6,13.0392,17.8175,18.8638,15.9687,4.7783,5.8246,2.9295,0.366456,0.446704,0.224669
10,5,11.2771,11.1121,14.3821,13.9325,-0.1651,3.105,2.6554,-0.014636,0.275338,0.235464
11,4,14.8215,19.1191,20.5099,20.707,4.2976,5.6884,5.8855,0.289954,0.383792,0.397094
12,4,13.3502,17.4362,18.9872,17.1283,4.086,5.637,3.7782,0.306065,0.422244,0.283005
13,4,13.8911,19.8865,19.4712,19.3659,5.9955,5.5801,5.4749,0.431606,0.401704,0.394128
14,3,15.0623,15.996,15.7096,22.6308,0.9337,0.6473,7.5685,0.061989,0.042975,0.502476
15,3,14.1622,15.7174,14.401,21.5165,1.5552,0.2388,7.3543,0.109813,0.016861,0.519294
16,5,21.2537,23.7043,22.489,26.0717,2.4507,1.2353,4.818,0.115305,0.058124,0.226691
17,4,13.1556,17.962,17.5347,17.1968,4.8064,4.3791,4.0412,0.365349,0.332867,0.307185
18,5,11.6475,13.9756,15.4874,14.0989,2.3281,3.8398,2.4514,0.19988,0.329669,0.210461
19,3,8.4449,9.8123,12.8608,13.919,1.3674,4.4159,5.474,0.161915,0.522905,0.648207
20,5,7.4661,9.6483,11.1343,10.3289,2.1822,3.6682,2.8628,0.292282,0.491309,0.38344
21,3,9.2708,9.7515,11.5012,14.8445,0.4807,2.2303,5.5737,0.051852,0.240577,0.601209
22,6,11.1986,14.9726,14.3543,13.9441,3.774,3.1557,2.7455,0.337007,0.281792,0.245164
23,5,18.5454,25.3023,23.9813,23.5816,6.7569,5.436,5.0363,0.364344,0.293117,0.271565
24,4,8.6574,9.2931,9.3527,11.4196,0.6358,0.6953,2.7622,0.073439,0.080315,0.31906
25,3,11.7762,13.7611,13.8388,18.5602,1.9849,2.0626,6.784,0.16855,0.175149,0.576077
26,3,16.1782,17.9916,19.2278,24.3982,1.8134,3.0496,8.22,0.112089,0.188501,0.508091
27,3,9.4733,10.0953,9.9327,13.681,0.622,0.4594,4.2077,0.065661,0.048493,0.444168
28,6,14.4552,18.0492,16.826,17.0658,3.594,2.3708,2.6106,0.248628,0.164008,0.180596
29,3,21.0665,22.4955,23.2664,30.1378,1.429,2.1998,9.0713,0.067833,0.104424,0.430603
