text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"For this instance, the model predicted to fail.",5.35,5.42,-0.07
0,1,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,8.25,5.42,2.83
0,2,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,9.37,5.42,3.95
0,3,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,8.01,5.42,2.59
0,4,Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction.,6.37,5.42,0.95
1,0,"For this instance, the model predicted to fail.",4.29,4.6,-0.31
1,1,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,6.56,4.6,1.95
1,2,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,7.34,4.6,2.73
1,3,Pstatus (Parent's cohabitation status) is the third most important feature and has a positive influence on the prediction.,6.73,4.6,2.13
1,4,Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.,6.56,4.6,1.95
2,0,"For this instance, the model predicted to pass.",5.21,5.21,-0.0
2,1,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,7.04,5.21,1.83
2,2,Absences (Number of school absences) is the second most important feature and has a positive influence on the prediction.,6.87,5.21,1.66
2,3,G1 (First period grade) is the third most important feature and has a negative influence on the prediction.,8.0,5.21,2.79
2,4,Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction.,7.18,5.21,1.97
3,0,"For this instance, the model predicted to pass.",4.7,4.73,-0.03
3,1,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,7.26,4.73,2.53
3,2,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,8.32,4.73,3.59
3,3,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,7.84,4.73,3.11
3,4,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,6.4,4.73,1.67
4,0,"For this instance, the model predicted to pass.",5.88,6.33,-0.45
4,1,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,10.36,6.33,4.04
4,2,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,12.0,6.33,5.67
4,3,Paid (Extra paid classes) is the third most important feature and has a positive influence on the prediction.,8.4,6.33,2.07
4,4,Health (Current health status) is the 4th most important feature and has a positive influence on the prediction.,8.38,6.33,2.05
5,0,"For this instance, the model predicted to pass.",4.83,5.1,-0.28
