text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,7,0.963542,0.678947,0.168421,0.089474,"[45.037, 28.9382, 17.3052, 12.6722, 11.4821, 10.2351, 10.0944]"
1,6,0.959459,0.668919,0.162162,0.087838,"[24.4272, 18.1433, 15.5711, 12.9853, 9.9688, 9.3592]"
2,6,0.953947,0.635762,0.152318,0.112583,"[32.5386, 18.1725, 15.8015, 10.1099, 9.1676, 7.1711]"
3,6,0.963235,0.618705,0.129496,0.100719,"[30.6859, 16.6083, 10.7217, 10.0351, 9.562, 8.596]"
5,6,0.975904,0.696429,0.172619,0.083333,"[18.4961, 12.8597, 11.3103, 10.978, 9.552, 9.1364]"
6,7,0.945355,0.59893,0.181818,0.069519,"[27.6923, 28.2988, 13.3871, 12.1409, 11.1858, 10.0358, 8.6602]"
7,6,0.972414,0.716312,0.170213,0.092199,"[25.217, 15.2546, 10.3383, 8.4562, 8.4828, 7.6169]"
8,7,0.968254,0.664894,0.170213,0.074468,"[35.5716, 20.4582, 12.8835, 12.0193, 12.598, 11.334, 10.0014]"
9,6,0.942446,0.610294,0.147059,0.088235,"[23.831, 15.8808, 13.922, 11.938, 11.439, 9.3653]"
10,5,0.929487,0.570513,0.166667,0.083333,"[28.6174, 18.4895, 12.0322, 11.0108, 8.8143]"
11,6,0.932331,0.648855,0.167939,0.076336,"[35.5716, 20.3363, 17.8139, 13.1058, 12.1156, 10.8605]"
12,6,0.953642,0.628378,0.141892,0.081081,"[20.5046, 12.6192, 9.642, 10.2772, 9.4837, 9.1043]"
14,6,0.9625,0.619632,0.165644,0.079755,"[35.8625, 23.7047, 18.607, 13.2313, 12.2199, 9.5951]"
15,6,0.970588,0.672727,0.157576,0.115152,"[22.5438, 15.1686, 12.8869, 12.0119, 10.4014, 9.2762]"
16,7,0.987097,0.730769,0.141026,0.089744,"[53.6198, 13.3001, 11.4931, 10.4749, 10.8844, 10.5762, 10.9574]"
17,7,0.980769,0.681818,0.12987,0.103896,"[35.5716, 20.0432, 15.2367, 10.6601, 9.3255, 8.7124, 8.3854]"
19,6,0.967949,0.616352,0.176101,0.09434,"[19.1352, 11.6986, 9.3754, 8.8463, 7.9002, 7.9743]"
20,6,0.952055,0.671141,0.181208,0.073826,"[53.6198, 17.6226, 13.3571, 10.6522, 8.5747, 8.2442]"
21,5,0.925926,0.618321,0.183206,0.045802,"[29.7161, 14.1573, 10.5385, 8.7636, 7.9165]"
22,7,0.945783,0.680723,0.156627,0.066265,"[53.6198, 16.6483, 10.019, 9.5834, 10.14, 8.967, 8.4235]"
23,7,0.956522,0.639344,0.169399,0.103825,"[57.7274, 12.9164, 9.9741, 10.0457, 8.7049, 8.0166, 7.7646]"
24,6,0.948905,0.582734,0.165468,0.079137,"[29.5882, 17.4478, 13.7131, 10.8612, 9.7143, 8.7138]"
25,7,0.972826,0.61828,0.155914,0.096774,"[30.0274, 15.4941, 10.4846, 8.0177, 7.903, 6.9939, 6.2368]"
27,6,0.94964,0.634483,0.124138,0.062069,"[22.4331, 20.1953, 13.4473, 11.4049, 9.2914, 9.2104]"
28,6,0.955696,0.654088,0.163522,0.09434,"[31.6969, 22.6964, 17.7833, 12.1062, 12.2201, 10.2603]"
29,7,0.961039,0.681529,0.159236,0.089172,"[31.2677, 20.4595, 17.0018, 15.8684, 14.104, 11.4403, 10.9152]"
