text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.923469,0.606218,0.170984,0.093264,"[38.5291, 21.3894, 13.1761, 11.8098, 10.112]"
1,5,0.977011,0.680233,0.168605,0.093023,"[21.5948, 16.9086, 14.0368, 11.3293, 10.7333]"
2,5,0.935294,0.639535,0.180233,0.075581,"[29.3869, 15.2064, 13.0585, 10.501, 9.396]"
3,5,0.969697,0.693252,0.171779,0.07362,"[32.8496, 25.0686, 17.0686, 14.095, 11.7454]"
4,5,0.947368,0.599034,0.164251,0.096618,"[20.4302, 16.5791, 14.5646, 11.4979, 9.558]"
5,5,0.965116,0.686391,0.16568,0.094675,"[22.9171, 12.5654, 11.8561, 10.2829, 9.8058]"
6,5,0.964912,0.611765,0.158824,0.070588,"[28.5827, 14.8982, 15.1239, 12.5618, 9.9255]"
7,5,0.961783,0.703226,0.174194,0.103226,"[27.0119, 20.7177, 19.5008, 13.4455, 10.4998]"
8,5,1.0,0.725352,0.140845,0.091549,"[39.9664, 16.8309, 15.882, 14.3932, 10.878]"
9,5,0.975155,0.679012,0.17284,0.080247,"[26.2614, 14.5436, 12.1753, 11.448, 11.0064]"
10,5,0.983696,0.688525,0.163934,0.098361,"[29.3125, 16.7907, 12.8739, 10.7166, 8.7134]"
11,5,0.99422,0.693642,0.144509,0.109827,"[38.5291, 18.0071, 13.1474, 10.2087, 9.6074]"
12,5,0.959302,0.658824,0.141176,0.1,"[30.7058, 16.0884, 12.4896, 10.948, 9.1738]"
13,5,0.950311,0.648148,0.160494,0.08642,"[38.2379, 17.4255, 13.3073, 12.7781, 11.3937]"
14,5,0.958333,0.636905,0.14881,0.10119,"[29.9684, 17.8785, 15.4253, 12.4528, 10.4051]"
15,5,0.954082,0.616162,0.186869,0.09596,"[29.2681, 16.4632, 12.8142, 12.3193, 10.0145]"
16,5,0.968553,0.666667,0.176101,0.119497,"[21.1086, 16.7813, 13.8706, 13.6014, 12.0441]"
17,5,0.981707,0.678571,0.160714,0.095238,"[25.3937, 17.9402, 14.7638, 12.6902, 10.5478]"
18,5,0.97191,0.653631,0.150838,0.083799,"[22.697, 12.6358, 11.5254, 10.0663, 7.6206]"
19,5,0.958333,0.614583,0.145833,0.098958,"[26.559, 16.7166, 11.9142, 10.3152, 9.104]"
20,5,0.969697,0.692771,0.210843,0.078313,"[32.1134, 12.1274, 11.046, 10.5634, 9.3782]"
21,5,0.952055,0.675676,0.189189,0.087838,"[35.0, 18.2899, 13.3094, 11.3763, 12.2968]"
22,5,0.993865,0.68323,0.142857,0.080745,"[34.213, 23.1959, 15.7231, 14.1653, 11.1067]"
23,5,0.949686,0.658385,0.149068,0.10559,"[32.773, 22.8932, 13.7191, 11.7016, 9.8743]"
24,5,0.954802,0.625,0.147727,0.107955,"[38.5448, 15.1656, 13.6543, 11.8058, 10.9345]"
25,5,0.951351,0.609626,0.149733,0.090909,"[20.218, 16.2795, 14.1712, 11.2222, 9.3647]"
26,5,0.967914,0.657754,0.15508,0.096257,"[31.3167, 21.985, 15.3197, 13.3832, 11.3661]"
27,5,0.956522,0.648148,0.191358,0.074074,"[36.5835, 16.174, 11.9816, 9.6875, 8.5317]"
28,5,0.981928,0.696429,0.14881,0.10119,"[38.5291, 28.6018, 18.2328, 13.6213, 11.8912]"
29,5,0.980645,0.705128,0.166667,0.108974,"[28.7949, 23.743, 19.1317, 16.6242, 13.5594]"
