text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,The model predicted that this individual is not likely to be rearrested within the next two years.,14.55,12.09,2.46
0,1,"The most influential factor in this assessment was the person’s young age of 21, which, despite being lower than the average, actually reduced the estimated risk—possibly because younger individuals with no prior record may be seen as less entrenched in criminal behavior.",14.32,12.09,2.23
0,2,"Supporting this, the individual has no prior crimes, a strong protective factor compared to the typical history of several offenses in the dataset.",11.48,12.09,-0.61
0,3,"Although the person has previously recidivated, this was outweighed by the lack of prior crimes and the relatively short time—just four months—spent in jail, which is much less than most others and may indicate a less severe criminal history.",13.7,12.09,1.61
0,4,"Finally, while being recorded as Black is a demographic detail the model considered, it played a smaller role compared to the other factors, and the overall combination of features led to a low predicted risk of recidivism.",13.57,12.09,1.48
1,0,The model predicted that this individual is at risk of being rearrested within two years.,9.99,8.95,1.04
1,1,"The most influential factor in this prediction was the individual's race, with the model noting that they are not recorded as Black, a detail that, based on historical data, tends to slightly lower risk estimates—though this may reflect broader systemic biases in the data.",8.82,8.95,-0.13
1,2,"The next most important feature was whether the person had previously recidivated, and in this case, they had not, which would typically reduce the predicted risk, as prior recidivism is a strong indicator of future behavior.",10.67,8.95,1.72
1,3,"Age also played a role, with the individual being 34 years old, which is close to the average in the dataset; research often shows that recidivism risk is higher for younger individuals, so age here may have had a neutral or slightly protective effect.",10.86,8.95,1.91
1,4,"Interestingly, despite having spent only one month in jail—much less than the average—the individual has five prior crimes, which is above average and may have ultimately tipped the balance toward a higher risk prediction, as a greater number of prior offenses is often associated with increased likelihood of reoffending.",9.75,8.95,0.8
2,0,The model predicted that this individual is at risk of being rearrested within two years.,10.32,9.79,0.52
2,1,"The most influential factor in this prediction was that the person has not previously recidivated, which would typically lower their risk, but other aspects outweighed this protective effect.",10.29,9.79,0.49
2,2,"Notably, the individual has only two prior crimes, which is below the average in the dataset and might have been expected to reduce their risk, yet the model still flagged them as high risk.",11.73,9.79,1.94
2,3,"Their age, at 34, is close to the average and does not strongly sway the prediction, but being recorded as Black—despite the model assigning a negative influence to this feature—reflects broader systemic patterns that can affect risk assessments in complex ways.",9.32,9.79,-0.47
2,4,"Finally, the fact that they have not spent any time in jail, compared to an average of over 20 months, might suggest less exposure to environments that can reinforce criminal behavior, but in this case, the combination of all these factors led the model to predict a higher likelihood of recidivism.",12.96,9.79,3.17
3,0,The model predicted that this individual is not likely to be rearrested within the next two years.,10.12,9.29,0.83
3,1,"The most influential factor in this decision was the unusually long time—181 months—that the individual has already spent in jail, which is much higher than what is typical in the dataset; extended incarceration can sometimes be associated with lower short-term recidivism, possibly due to age-related desistance or the impact of long-term separation from previous criminal networks.",11.89,9.29,2.6
3,2,"Another key consideration was that the individual has not recidivated before, suggesting a history of compliance after release, which generally lowers risk.",9.7,9.29,0.41
3,3,"The model also took into account that the individual is not recorded as Black, a demographic factor that, while controversial and complex, has been shown in some datasets to correlate with different recidivism rates, often reflecting broader systemic issues.",9.92,9.29,0.64
3,4,"Finally, the relatively young age of 25 and a lower-than-average number of prior crimes (2 compared to the dataset average) were considered, but these factors were less influential than the extended jail time and lack of prior recidivism, ultimately supporting the model’s prediction of a lower risk of reoffending.",12.03,9.29,2.74
4,0,"The model predicted that this individual is not likely to be rearrested within the next two years, despite a history that might suggest otherwise.",11.7,10.0,1.7
4,1,"The most influential factor in the prediction was the high number of prior crimes—26, which is much higher than what is typical in the dataset—usually a strong signal for future recidivism.",11.48,10.0,1.48
