text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,5,12.807,15.9574,16.934,14.8774,3.1504,4.127,2.0704,0.24599,0.322247,0.161658
1,5,10.6972,15.3297,15.4287,12.6633,4.6325,4.7314,1.966,0.433057,0.442306,0.183788
2,5,11.1389,14.2426,14.0759,13.0805,3.1037,2.9369,1.9416,0.278635,0.263666,0.17431
3,5,12.6727,16.5374,14.7523,15.0978,3.8647,2.0797,2.4251,0.304961,0.164105,0.191365
4,5,10.5891,14.4778,13.8116,12.4454,3.8887,3.2225,1.8563,0.367232,0.304317,0.175302
5,5,12.9268,14.3894,14.3053,14.8099,1.4627,1.3785,1.8831,0.11315,0.106642,0.145674
6,5,10.9928,15.4882,16.1396,12.6376,4.4955,5.1469,1.6448,0.408947,0.468205,0.14963
7,5,11.1001,14.7112,16.0352,12.9323,3.6111,4.9352,1.8322,0.325327,0.444605,0.16506
8,5,9.7227,10.7424,12.298,11.1503,1.0197,2.5753,1.4277,0.104878,0.264879,0.146838
9,5,10.7522,11.8425,13.0411,12.327,1.0903,2.2888,1.5748,0.101398,0.212871,0.146461
10,5,11.7588,15.1542,16.6182,14.1057,3.3954,4.8594,2.3469,0.288753,0.413257,0.199587
11,5,12.3872,16.2151,15.4814,14.6195,3.8279,3.0942,2.2323,0.309023,0.24979,0.18021
12,5,13.9645,19.2642,19.1381,16.0551,5.2997,5.1736,2.0906,0.379511,0.37048,0.149706
13,5,14.5082,17.9765,19.1256,17.1396,3.4682,4.6173,2.6314,0.239052,0.318256,0.181373
14,5,12.7992,15.036,17.0621,14.707,2.2368,4.2629,1.9078,0.174762,0.333058,0.149059
15,5,11.3647,15.3286,16.0281,13.9835,3.9639,4.6634,2.6188,0.348788,0.410341,0.230434
16,5,12.2741,16.2621,16.2141,14.4412,3.988,3.94,2.1671,0.32491,0.321,0.176558
17,5,11.6235,16.0691,15.7786,13.6943,4.4456,4.155,2.0708,0.382465,0.357468,0.178156
18,5,12.288,16.1783,18.4255,14.7745,3.8903,6.1375,2.4865,0.316592,0.499466,0.202349
19,5,12.9719,14.5699,15.7274,15.0073,1.598,2.7554,2.0354,0.12319,0.212415,0.156909
20,5,13.3202,17.5491,17.121,15.7528,4.2289,3.8008,2.4326,0.31748,0.28534,0.182623
21,5,12.3781,15.1298,15.7449,14.8778,2.7517,3.3667,2.4996,0.222303,0.271991,0.20194
22,5,12.9348,17.2652,18.0048,15.2214,4.3304,5.07,2.2866,0.334789,0.391967,0.176779
23,5,11.1833,14.7323,14.9578,13.1143,3.549,3.7745,1.931,0.317349,0.337516,0.17267
24,5,11.988,14.9844,15.5065,14.1571,2.9964,3.5185,2.1691,0.249948,0.293498,0.18094
25,5,11.0148,13.5706,15.8306,13.3647,2.5558,4.8157,2.3498,0.232033,0.437205,0.213334
26,5,11.6145,14.2899,15.4276,13.5264,2.6754,3.8131,1.9119,0.23035,0.328305,0.16461
27,5,14.0249,17.5555,19.4168,15.9687,3.5306,5.392,1.9438,0.251742,0.384458,0.138595
28,5,12.7652,16.0093,18.2033,14.5637,3.2441,5.4381,1.7985,0.254133,0.42601,0.140888
29,5,12.3711,14.5554,14.3072,14.0685,2.1843,1.9361,1.6974,0.176565,0.156499,0.137203
