text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.965517,0.731034,0.186207,0.062069,"[46.7066, 21.1924, 17.3984, 14.6521, 12.1085]"
1,5,0.961538,0.705128,0.185897,0.044872,"[46.7066, 19.539, 14.3903, 12.5402, 11.7814]"
2,5,0.977143,0.693182,0.198864,0.068182,"[46.7066, 20.3372, 13.1752, 12.5607, 10.736]"
3,5,0.99359,0.690323,0.167742,0.077419,"[46.7066, 27.82, 19.9258, 14.6266, 13.7557]"
4,5,0.97973,0.702703,0.182432,0.074324,"[31.0837, 16.6198, 16.2781, 14.1976, 11.4984]"
5,5,0.985816,0.692857,0.164286,0.092857,"[31.0837, 17.5893, 14.1047, 11.5467, 11.2836]"
6,5,0.984733,0.738462,0.146154,0.115385,"[31.0837, 22.3819, 16.228, 15.5327, 13.5532]"
7,5,0.966887,0.714286,0.204082,0.061224,"[46.7066, 22.4538, 19.9358, 18.0112, 16.327]"
8,5,0.966667,0.678082,0.205479,0.082192,"[31.0837, 22.3434, 16.3625, 15.3252, 12.2799]"
9,5,1.0,0.742188,0.164062,0.085938,"[31.0837, 21.4973, 16.2821, 17.7073, 13.524]"
10,5,0.9875,0.73125,0.18125,0.075,"[46.7066, 22.9464, 16.4934, 14.9912, 12.1124]"
11,5,0.979167,0.708333,0.173611,0.090278,"[46.7066, 19.3398, 18.537, 15.156, 13.1829]"
12,5,0.975,0.695652,0.180124,0.074534,"[31.0837, 22.9813, 21.6058, 16.0025, 12.7948]"
13,5,0.971831,0.734694,0.170068,0.07483,"[46.7066, 15.9436, 17.133, 15.2194, 13.6159]"
14,5,0.957317,0.62963,0.185185,0.074074,"[31.0837, 19.9743, 17.065, 13.0606, 11.0085]"
15,5,0.981595,0.701863,0.180124,0.068323,"[46.7066, 16.4127, 14.7445, 11.0598, 10.6021]"
16,5,1.0,0.764706,0.198529,0.080882,"[46.7066, 39.8094, 22.8096, 18.2339, 15.0094]"
17,5,0.972028,0.713287,0.167832,0.083916,"[31.0837, 15.2388, 14.3276, 11.4649, 9.0365]"
18,5,0.993289,0.743421,0.177632,0.072368,"[46.7066, 20.4886, 20.4929, 15.8798, 13.9631]"
19,5,0.992308,0.773438,0.164062,0.085938,"[31.0837, 19.949, 16.7318, 16.5319, 14.1853]"
20,5,0.97861,0.675532,0.170213,0.095745,"[46.7066, 13.3953, 12.2, 12.6771, 10.594]"
21,5,0.94702,0.682119,0.178808,0.072848,"[46.7066, 16.6992, 18.2714, 14.2973, 10.7071]"
22,5,0.975309,0.666667,0.160494,0.080247,"[46.7066, 21.1636, 12.3932, 12.7191, 10.3706]"
23,5,0.976048,0.692308,0.147929,0.088757,"[46.7066, 15.9436, 16.8699, 14.4137, 12.1511]"
24,5,0.960265,0.675325,0.149351,0.077922,"[55.1505, 20.9169, 18.2648, 14.8708, 11.1816]"
25,5,0.973856,0.694805,0.181818,0.090909,"[46.7066, 14.9605, 12.5731, 10.8706, 9.4843]"
26,5,0.967949,0.673203,0.163399,0.058824,"[46.7066, 19.1921, 15.6194, 11.5714, 11.2601]"
27,5,0.945946,0.662162,0.162162,0.087838,"[31.0837, 17.8979, 17.5498, 14.119, 11.8892]"
28,5,0.97541,0.762295,0.180328,0.065574,"[46.7066, 21.1924, 18.6148, 16.1705, 14.0151]"
29,5,0.960452,0.661017,0.175141,0.067797,"[46.7066, 27.9295, 16.2091, 13.5026, 11.7397]"
