id,text,ppl
0,"For the instance 3783, the model predicted to have a stroke: Age (Age of the patient) is the most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.07
1,"For the instance 533, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.12
2,"For the instance 4789, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.18
3,"For the instance 3960, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.43
4,"For the instance 3720, the model predicted to have a stroke: Age (Age of the patient) is the most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.25
5,"For the instance 1032, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.03
6,"For the instance 4783, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.1
7,"For the instance 4487, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.09
8,"For the instance 252, the model predicted to have a stroke: Age (Age of the patient) is the most important feature and has a positive influence on the prediction, Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.07
9,"For the instance 4649, the model predicted not to have a stroke: Age (Age of the patient) is the most important feature and has a negative influence on the prediction, Bmi (Body Mass Index) is the second most important feature and has a negative influence on the prediction, Avg_glucose_level (Average glucose level) is the third most important feature and has a negative influence on the prediction, Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction, Gender (Gender of the patient) is the 5th most important feature and has a positive influence on the prediction.",4.09
