text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,6,8.089,11.2464,11.6335,9.427,3.1574,3.5445,1.338,0.390331,0.438181,0.165413
1,4,9.8731,14.4798,13.1584,13.5076,4.6067,3.2854,3.6346,0.466592,0.33276,0.368132
2,6,8.3377,10.2682,12.5227,9.8912,1.9305,4.185,1.5535,0.231533,0.501931,0.186321
3,6,8.2201,10.4342,9.4516,9.6574,2.2141,1.2315,1.4373,0.269356,0.149815,0.174849
4,7,7.6787,10.3595,10.43,8.9161,2.6808,2.7513,1.2374,0.349117,0.358296,0.161151
5,5,9.1762,11.8524,11.8654,11.0119,2.6761,2.6891,1.8357,0.291638,0.293054,0.200049
6,5,8.5131,11.1244,11.3831,10.04,2.6113,2.87,1.5268,0.306736,0.33712,0.179351
7,6,9.8832,10.9459,10.7899,11.1909,1.0627,0.9067,1.3077,0.107523,0.09174,0.132312
8,7,7.4658,9.3589,9.6998,8.5265,1.8931,2.234,1.0606,0.25357,0.299232,0.142064
9,5,8.2117,10.5244,10.9859,9.5994,2.3127,2.7742,1.3877,0.281633,0.33783,0.168989
10,6,9.3102,13.1725,12.4379,11.1202,3.8623,3.1277,1.8101,0.414853,0.335945,0.194419
11,5,9.5047,11.1378,11.6159,11.5353,1.6331,2.1112,2.0306,0.171821,0.222117,0.213644
12,6,7.9138,10.8554,10.6723,9.3561,2.9416,2.7585,1.4422,0.371706,0.34857,0.182245
13,6,6.7937,8.029,9.0998,7.775,1.2354,2.3061,0.9813,0.18184,0.339455,0.144447
14,6,8.3543,10.0578,10.4835,10.1651,1.7036,2.1293,1.8108,0.203919,0.254871,0.216752
15,6,7.7789,11.5677,8.9895,8.9587,3.7888,1.2106,1.1798,0.487057,0.155626,0.15167
16,6,7.9963,11.7507,10.5634,9.2188,3.7544,2.5671,1.2225,0.469512,0.32104,0.15288
17,5,7.2703,9.5634,9.5884,9.0858,2.2931,2.3181,1.8155,0.315412,0.318842,0.249713
18,7,11.0299,15.3394,16.432,12.5923,4.3095,5.4021,1.5624,0.390708,0.489767,0.141649
19,4,6.4743,8.322,8.3785,9.3702,1.8477,1.9042,2.8959,0.285388,0.294108,0.447288
20,6,8.76,11.7325,11.5241,10.4855,2.9726,2.7641,1.7256,0.339337,0.315539,0.196982
21,6,8.3927,11.8456,11.2502,9.7615,3.4529,2.8575,1.3688,0.411419,0.340474,0.163095
22,6,7.8816,11.9385,9.6296,9.298,4.0569,1.748,1.4164,0.514739,0.221787,0.179716
23,7,7.3494,10.9944,11.3867,8.2408,3.6449,4.0373,0.8913,0.495943,0.549327,0.121276
24,5,8.9693,12.1813,12.409,11.3445,3.212,3.4397,2.3751,0.358107,0.383493,0.264806
25,6,10.7187,14.915,15.1782,12.4404,4.1963,4.4595,1.7217,0.391497,0.416051,0.160629
26,5,10.5425,12.9058,13.6357,12.7264,2.3633,3.0932,2.1839,0.224164,0.293404,0.207155
27,6,7.8055,8.9335,9.9082,9.0129,1.128,2.1028,1.2074,0.144518,0.269397,0.154691
28,5,9.1041,13.6165,13.2647,11.4173,4.5124,4.1606,2.3133,0.495647,0.457006,0.254091
29,6,7.3893,9.4021,8.9394,8.4036,2.0128,1.5501,1.0143,0.272393,0.209782,0.137268
