id,text,ppl
0,"The features age (Age of the individual), recidivated (Indicator if the individual has recidivated before), black (Indicator if the individual is recorded as Black), and months_in_jail (Number of months spent in jail) decrease the predicted value, while number_of_prior_crimes (Number of prior crimes committed) increases the predicted value.",12.57
1,"The features black (Indicator if the individual is recorded as Black), recidivated (Indicator if the individual has recidivated before), age (Age of the individual), and months_in_jail (Number of months spent in jail) increase the predicted value, while number_of_prior_crimes (Number of prior crimes committed) decreases the predicted value.",13.87
2,"The features recidivated (Indicator if the individual has recidivated before), number_of_prior_crimes (Number of prior crimes committed), age (Age of the individual), and months_in_jail (Number of months spent in jail) increase the predicted value, while black (Indicator if the individual is recorded as Black) decreases the predicted value.",11.44
3,"The features months_in_jail (Number of months spent in jail) and age (Age of the individual) decrease the predicted value, while recidivated (Indicator if the individual has recidivated before), black (Indicator if the individual is recorded as Black), and number_of_prior_crimes (Number of prior crimes committed) increase the predicted value.",11.81
4,"The features number_of_prior_crimes (Number of prior crimes committed), recidivated (Indicator if the individual has recidivated before), and black (Indicator if the individual is recorded as Black) decrease the predicted value, while age (Age of the individual) and months_in_jail (Number of months spent in jail) increase the predicted value.",10.07
5,"The features age (Age of the individual), recidivated (Indicator if the individual has recidivated before), black (Indicator if the individual is recorded as Black), number_of_prior_crimes (Number of prior crimes committed), and months_in_jail (Number of months spent in jail) increase the predicted value.",13.63
6,"The features age (Age of the individual), recidivated (Indicator if the individual has recidivated before), and black (Indicator if the individual is recorded as Black) decrease the predicted value, while number_of_prior_crimes (Number of prior crimes committed) and months_in_jail (Number of months spent in jail) increase the predicted value.",12.15
7,"The features age (Age of the individual), number_of_prior_crimes (Number of prior crimes committed), black (Indicator if the individual is recorded as Black), recidivated (Indicator if the individual has recidivated before), and months_in_jail (Number of months spent in jail) increase the predicted value.",13.36
8,"The features age (Age of the individual), number_of_prior_crimes (Number of prior crimes committed), black (Indicator if the individual is recorded as Black), recidivated (Indicator if the individual has recidivated before), and months_in_jail (Number of months spent in jail) increase the predicted value.",13.36
9,"The features age (Age of the individual) decrease the predicted value, while number_of_prior_crimes (Number of prior crimes committed), recidivated (Indicator if the individual has recidivated before), black (Indicator if the individual is recorded as Black), and months_in_jail (Number of months spent in jail) increase the predicted value.",12.62
10,"The features number_of_prior_crimes (Number of prior crimes committed), recidivated (Indicator if the individual has recidivated before), black (Indicator if the individual is recorded as Black), age (Age of the individual), and months_in_jail (Number of months spent in jail) increase the predicted value.",12.17
11,"The features age (Age of the individual) and number_of_prior_crimes (Number of prior crimes committed) increase the predicted value, while recidivated (Indicator if the individual has recidivated before), months_in_jail (Number of months spent in jail), and black (Indicator if the individual is recorded as Black) decrease the predicted value.",11.97
12,"The features recidivated (Indicator if the individual has recidivated before), months_in_jail (Number of months spent in jail), number_of_prior_crimes (Number of prior crimes committed), and black (Indicator if the individual is recorded as Black) increase the predicted value, while age (Age of the individual) decreases the predicted value.",11.12
13,"The features number_of_prior_crimes (Number of prior crimes committed), recidivated (Indicator if the individual has recidivated before), months_in_jail (Number of months spent in jail), and black (Indicator if the individual is recorded as Black) increase the predicted value, while age (Age of the individual) decreases the predicted value.",10.17
14,"The features months_in_jail (Number of months spent in jail), recidivated (Indicator if the individual has recidivated before), and black (Indicator if the individual is recorded as Black) decrease the predicted value, while number_of_prior_crimes (Number of prior crimes committed) and age (Age of the individual) increase the predicted value.",10.73
15,"The features number_of_prior_crimes (Number of prior crimes committed), recidivated (Indicator if the individual has recidivated before), and months_in_jail (Number of months spent in jail) increase the predicted value, while black (Indicator if the individual is recorded as Black) and misdemeanor (Indicator if the current charge is a misdemeanor) decrease the predicted value.",10.24
16,"The features number_of_prior_crimes (Number of prior crimes committed) and black (Indicator if the individual is recorded as Black) decrease the predicted value, while age (Age of the individual), recidivated (Indicator if the individual has recidivated before), and months_in_jail (Number of months spent in jail) increase the predicted value.",9.9
17,"The features months_in_jail (Number of months spent in jail) and recidivated (Indicator if the individual has recidivated before) decrease the predicted value, while age (Age of the individual), black (Indicator if the individual is recorded as Black), and felony (Indicator if the current charge is a felony) increase the predicted value.",10.93
18,"The features months_in_jail (Number of months spent in jail), age (Age of the individual), recidivated (Indicator if the individual has recidivated before), black (Indicator if the individual is recorded as Black), and number_of_prior_crimes (Number of prior crimes committed) decrease the predicted value.",13.99
19,"The features age (Age of the individual), number_of_prior_crimes (Number of prior crimes committed), recidivated (Indicator if the individual has recidivated before), black (Indicator if the individual is recorded as Black), and months_in_jail (Number of months spent in jail) increase the predicted value.",13.45
20,"The features age (Age of the individual), number_of_prior_crimes (Number of prior crimes committed), recidivated (Indicator if the individual has recidivated before), and months_in_jail (Number of months spent in jail) increase the predicted value, while black (Indicator if the individual is recorded as Black) decreases the predicted value.",11.52
21,"The features number_of_prior_crimes (Number of prior crimes committed) and black (Indicator if the individual is recorded as Black) decrease the predicted value, while age (Age of the individual), recidivated (Indicator if the individual has recidivated before), and misdemeanor (Indicator if the current charge is a misdemeanor) increase the predicted value.",10.84
22,"The features number_of_prior_crimes (Number of prior crimes committed) and months_in_jail (Number of months spent in jail) increase the predicted value. The features age (Age of the individual), recidivated (Indicator if the individual has recidivated before), and black (Indicator if the individual is recorded as Black) decrease the predicted value.",9.55
23,"The features age (Age of the individual) and recidivated (Indicator if the individual has recidivated before) decrease the predicted value, while number_of_prior_crimes (Number of prior crimes committed), black (Indicator if the individual is recorded as Black), and months_in_jail (Number of months spent in jail) increase the predicted value.",13.24
