text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,Age (Age of the applicant) is the third most important feature and has a positive influence on the prediction.,36.44
0,2,Purpose (Purpose of the loan) is the most important feature and has a positive influence on the prediction.,11.15
0,3,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,5.94
0,4,Checking account (Status of the applicant's checking account) is the 4th most important feature and has a positive influence on the prediction.,4.42
0,5,"For this instance, the model predicted bad credit risk.",5.43
1,1,Purpose (Purpose of the loan) is the third most important feature and has a positive influence on the prediction.,46.48
1,2,Age (Age of the applicant) is the most important feature and has a positive influence on the prediction.,10.91
1,3,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,5.69
1,4,"Housing (Housing status (Own, Rent, etc.)) is the 4th most important feature and has a positive influence on the prediction.",4.56
1,5,"For this instance, the model predicted bad credit risk.",5.58
2,1,Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction.,36.34
2,2,Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction.,9.77
2,3,Credit amount (Amount of credit requested) is the second most important feature and has a positive influence on the prediction.,5.59
2,4,Purpose (Purpose of the loan) is the 4th most important feature and has a negative influence on the prediction.,4.08
2,5,"For this instance, the model predicted bad credit risk.",4.99
3,1,Age (Age of the applicant) is the third most important feature and has a negative influence on the prediction.,36.34
3,2,Duration (Duration of the loan in months) is the most important feature and has a positive influence on the prediction.,9.77
3,3,Purpose (Purpose of the loan) is the second most important feature and has a negative influence on the prediction.,5.26
3,4,Credit amount (Amount of credit requested) is the 4th most important feature and has a negative influence on the prediction.,4.07
3,5,"For this instance, the model predicted bad credit risk.",5.01
4,1,Credit amount (Amount of credit requested) is the third most important feature and has a positive influence on the prediction.,25.76
4,2,Age (Age of the applicant) is the most important feature and has a positive influence on the prediction.,7.96
4,3,Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction.,4.51
4,4,Duration (Duration of the loan in months) is the 4th most important feature and has a negative influence on the prediction.,3.44
4,5,"For this instance, the model predicted bad credit risk.",4.32
5,1,Duration (Duration of the loan in months) is the third most important feature and has a positive influence on the prediction.,30.72
5,2,Age (Age of the applicant) is the most important feature and has a negative influence on the prediction.,9.25
5,3,Purpose (Purpose of the loan) is the second most important feature and has a positive influence on the prediction.,5.06
