text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,6,0.933735,0.639053,0.171598,0.047337,"[15.5607, 15.6217, 11.3604, 9.6142, 8.9631, 8.089]"
1,4,0.966102,0.65,0.133333,0.05,"[16.365, 12.6008, 12.4631, 9.8731]"
2,6,0.931217,0.57672,0.169312,0.068783,"[38.804, 18.7413, 11.0363, 10.8139, 10.7887, 8.3377]"
3,6,0.946524,0.663102,0.13369,0.053476,"[35.2117, 16.6167, 13.2135, 12.1637, 9.9493, 8.2201]"
4,7,0.939759,0.615854,0.170732,0.042683,"[20.6622, 13.9813, 10.798, 9.9705, 10.4929, 9.4782, 7.6787]"
5,5,0.952941,0.642857,0.154762,0.083333,"[17.075, 14.2857, 13.4919, 12.2339, 9.1762]"
6,5,0.952096,0.615854,0.164634,0.079268,"[19.0606, 15.2084, 11.6396, 10.3832, 8.5131]"
7,6,0.956757,0.668478,0.146739,0.086957,"[18.2486, 15.1404, 12.9635, 12.1265, 10.6706, 9.8832]"
8,7,0.937173,0.595855,0.150259,0.056995,"[19.6628, 13.1792, 10.3355, 10.5599, 9.0583, 8.8857, 7.4658]"
9,5,0.912791,0.590643,0.134503,0.070175,"[19.0606, 15.6744, 12.6552, 10.7336, 8.2117]"
10,6,0.952381,0.595376,0.132948,0.069364,"[16.365, 14.3796, 12.2401, 10.8862, 9.8128, 9.3102]"
11,5,0.961749,0.630435,0.146739,0.086957,"[40.5973, 18.7209, 14.2263, 13.2561, 9.5047]"
12,6,0.935484,0.673203,0.156863,0.084967,"[18.23, 14.7649, 11.5996, 10.6514, 9.2871, 7.9138]"
13,6,0.911458,0.559585,0.150259,0.062176,"[25.5207, 16.8794, 11.1045, 10.3774, 7.7492, 6.7937]"
14,6,0.923077,0.658683,0.173653,0.065868,"[19.0538, 18.4706, 14.4272, 11.8376, 10.5782, 8.3543]"
15,6,0.930636,0.606936,0.144509,0.057803,"[17.2304, 15.1765, 12.7971, 10.6722, 9.6531, 7.7789]"
16,6,0.937173,0.626943,0.15544,0.067358,"[16.9214, 15.4378, 11.1386, 10.3356, 8.5999, 7.9963]"
17,5,0.900709,0.604317,0.151079,0.071942,"[19.6628, 13.4195, 10.4415, 9.8653, 7.2703]"
18,7,0.966851,0.689655,0.166667,0.097701,"[21.0824, 21.9302, 15.6912, 14.2615, 13.456, 11.8698, 11.0299]"
19,4,0.952756,0.645669,0.165354,0.070866,"[14.5288, 9.4396, 8.6568, 6.4743]"
20,6,0.940828,0.680473,0.153846,0.059172,"[20.408, 17.7046, 13.1842, 12.0781, 11.1578, 8.76]"
21,6,0.957576,0.613095,0.119048,0.083333,"[17.3525, 14.6367, 12.4637, 10.4634, 9.3331, 8.3927]"
22,6,0.901163,0.647059,0.188235,0.076471,"[15.5607, 13.1509, 10.0551, 9.916, 9.6427, 7.8816]"
23,7,0.948454,0.610256,0.123077,0.092308,"[20.9061, 11.971, 11.4402, 9.3238, 8.6992, 8.4465, 7.3494]"
24,5,0.945736,0.651515,0.143939,0.068182,"[20.0455, 15.9847, 12.6042, 10.435, 8.9693]"
25,6,0.939597,0.647059,0.137255,0.058824,"[15.5607, 14.1716, 13.2135, 12.5946, 11.9923, 10.7187]"
26,5,0.938462,0.649254,0.156716,0.037313,"[16.365, 15.0773, 11.1605, 11.6953, 10.5425]"
27,6,0.966102,0.639535,0.145349,0.069767,"[19.0538, 15.7781, 12.4066, 9.988, 9.2451, 7.8055]"
28,5,0.965986,0.673469,0.129252,0.068027,"[16.5071, 14.3865, 12.2023, 11.3652, 9.1041]"
29,6,0.914573,0.590909,0.156566,0.065657,"[16.9214, 11.4783, 8.8088, 9.4372, 8.5487, 7.3893]"
