id,text,reversed_text,shuffled_text,num_sentences,ppl,ppl_reversed,ppl_shuffled,ppl_diff_reversed,ppl_diff_shuffled,ppl_ratio_reversed,ppl_ratio_shuffled,ppl_loo_mean,ppl_loo_std,ppl_loo_min,ppl_loo_max,ppl_cumulative_slope,ppl_cumulative_mean,ppl_cumulative_std,ppl_cumulative_first,ppl_cumulative_last,ppl_cumulative_rev_slope,ppl_cumulative_rev_mean,ppl_cumulative_rev_std,ppl_cumulative_rev_first,ppl_cumulative_rev_last,ppl_cumulative_shuff_slope,ppl_cumulative_shuff_mean,ppl_cumulative_shuff_std,ppl_cumulative_shuff_first,ppl_cumulative_shuff_last
0,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context. However, the absence of prior crimes slightly counteracts this effect, nudging the risk upward, as the model interprets a clean record as a modest risk factor in this case. Despite the individual having previously recidivated, this history surprisingly diminishes the predicted risk, indicating that the model weighs other factors more heavily. Additionally, the fact that the individual is recorded as Black and has spent four months in jail both contribute to a further, albeit small, reduction in the estimated risk. Taken together, these features interact to shape the model’s final prediction, with age exerting the most significant downward influence, while the other factors subtly adjust the risk in both directions, ultimately leading to a nuanced assessment of the individual’s likelihood of recidivism.","Taken together, these features interact to shape the model’s final prediction, with age exerting the most significant downward influence, while the other factors subtly adjust the risk in both directions, ultimately leading to a nuanced assessment of the individual’s likelihood of recidivism. Additionally, the fact that the individual is recorded as Black and has spent four months in jail both contribute to a further, albeit small, reduction in the estimated risk. Despite the individual having previously recidivated, this history surprisingly diminishes the predicted risk, indicating that the model weighs other factors more heavily. However, the absence of prior crimes slightly counteracts this effect, nudging the risk upward, as the model interprets a clean record as a modest risk factor in this case. In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context.","Additionally, the fact that the individual is recorded as Black and has spent four months in jail both contribute to a further, albeit small, reduction in the estimated risk. However, the absence of prior crimes slightly counteracts this effect, nudging the risk upward, as the model interprets a clean record as a modest risk factor in this case. Despite the individual having previously recidivated, this history surprisingly diminishes the predicted risk, indicating that the model weighs other factors more heavily. Taken together, these features interact to shape the model’s final prediction, with age exerting the most significant downward influence, while the other factors subtly adjust the risk in both directions, ultimately leading to a nuanced assessment of the individual’s likelihood of recidivism. In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context.",5,8.44,10.02,10.56,1.58,2.12,1.19,1.25,10.04,2.03,8.31,13.99,-1.336,10.85,2.01,14.47,8.44,-2.4869,14.87,3.54,20.39,10.02,-6.2563,20.9,9.2,36.93,10.56
1, ,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"The model predicts the risk of recidivism by weaving together several aspects of the individual's history and characteristics. At the outset, the fact that this person has not previously recidivated plays a pivotal role in lowering the estimated risk, as the absence of past recidivism strongly suggests a lower likelihood of reoffending. Building on this, the model takes into account that the individual has committed two prior crimes, which nudges the risk upward, reflecting the tendency for prior offenses to signal a greater chance of future infractions. The individual's age, 34, also subtly increases the risk, as the model recognizes that certain age groups may be more prone to recidivism. However, the model also notes that the individual is recorded as Black, and in this case, this feature slightly decreases the predicted risk, indicating that, within the model's learned patterns, this characteristic is associated with a marginally lower likelihood of reoffending for this individual. Finally, the fact that the person has not spent any months in jail modestly raises the risk, perhaps because a lack of incarceration time may be linked to less deterrence or rehabilitation. Altogether, these factors interact to shape the model's final assessment, with each feature actively influencing the prediction through its unique contribution.","Altogether, these factors interact to shape the model's final assessment, with each feature actively influencing the prediction through its unique contribution. Finally, the fact that the person has not spent any months in jail modestly raises the risk, perhaps because a lack of incarceration time may be linked to less deterrence or rehabilitation. However, the model also notes that the individual is recorded as Black, and in this case, this feature slightly decreases the predicted risk, indicating that, within the model's learned patterns, this characteristic is associated with a marginally lower likelihood of reoffending for this individual. The individual's age, 34, also subtly increases the risk, as the model recognizes that certain age groups may be more prone to recidivism. Building on this, the model takes into account that the individual has committed two prior crimes, which nudges the risk upward, reflecting the tendency for prior offenses to signal a greater chance of future infractions. At the outset, the fact that this person has not previously recidivated plays a pivotal role in lowering the estimated risk, as the absence of past recidivism strongly suggests a lower likelihood of reoffending. The model predicts the risk of recidivism by weaving together several aspects of the individual's history and characteristics.","At the outset, the fact that this person has not previously recidivated plays a pivotal role in lowering the estimated risk, as the absence of past recidivism strongly suggests a lower likelihood of reoffending. The individual's age, 34, also subtly increases the risk, as the model recognizes that certain age groups may be more prone to recidivism. However, the model also notes that the individual is recorded as Black, and in this case, this feature slightly decreases the predicted risk, indicating that, within the model's learned patterns, this characteristic is associated with a marginally lower likelihood of reoffending for this individual. Building on this, the model takes into account that the individual has committed two prior crimes, which nudges the risk upward, reflecting the tendency for prior offenses to signal a greater chance of future infractions. Altogether, these factors interact to shape the model's final assessment, with each feature actively influencing the prediction through its unique contribution. The model predicts the risk of recidivism by weaving together several aspects of the individual's history and characteristics. Finally, the fact that the person has not spent any months in jail modestly raises the risk, perhaps because a lack of incarceration time may be linked to less deterrence or rehabilitation.",7,7.75,8.47,9.02,0.72,1.27,1.09,1.16,8.47,0.55,7.52,9.34,-2.1255,11.05,5.4,23.75,7.75,-5.3217,17.96,12.17,43.07,8.47,-1.3464,11.02,3.35,18.19,9.02
3,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers the amount of time already spent in jail. Because this person has served 181 months, the model interprets this as a factor that reduces the risk of recidivism, suggesting that extended incarceration may have a deterrent effect. At the same time, the absence of any prior recidivism history slightly increases the predicted risk, as the model recognizes that individuals without a previous recidivism event may still be at risk. Additionally, the fact that the individual is not recorded as Black contributes a modest increase to the risk, reflecting patterns the model has learned from the data. The individual’s age, being 25, acts to decrease the risk somewhat, as younger individuals are often seen as less likely to reoffend compared to older counterparts. Finally, having two prior crimes nudges the risk upward, since a history of criminal activity is associated with a higher chance of recidivism. Taken together, these factors interact to shape the model’s overall prediction, with the lengthy jail time and age working to lower the risk, while the absence of prior recidivism, racial indicator, and prior offenses exert upward pressure on the estimated likelihood of rearrest.","Taken together, these factors interact to shape the model’s overall prediction, with the lengthy jail time and age working to lower the risk, while the absence of prior recidivism, racial indicator, and prior offenses exert upward pressure on the estimated likelihood of rearrest. Finally, having two prior crimes nudges the risk upward, since a history of criminal activity is associated with a higher chance of recidivism. The individual’s age, being 25, acts to decrease the risk somewhat, as younger individuals are often seen as less likely to reoffend compared to older counterparts. Additionally, the fact that the individual is not recorded as Black contributes a modest increase to the risk, reflecting patterns the model has learned from the data. At the same time, the absence of any prior recidivism history slightly increases the predicted risk, as the model recognizes that individuals without a previous recidivism event may still be at risk. Because this person has served 181 months, the model interprets this as a factor that reduces the risk of recidivism, suggesting that extended incarceration may have a deterrent effect. In estimating the likelihood that this individual will be rearrested within two years, the model first considers the amount of time already spent in jail.","Because this person has served 181 months, the model interprets this as a factor that reduces the risk of recidivism, suggesting that extended incarceration may have a deterrent effect. Additionally, the fact that the individual is not recorded as Black contributes a modest increase to the risk, reflecting patterns the model has learned from the data. The individual’s age, being 25, acts to decrease the risk somewhat, as younger individuals are often seen as less likely to reoffend compared to older counterparts. At the same time, the absence of any prior recidivism history slightly increases the predicted risk, as the model recognizes that individuals without a previous recidivism event may still be at risk. Taken together, these factors interact to shape the model’s overall prediction, with the lengthy jail time and age working to lower the risk, while the absence of prior recidivism, racial indicator, and prior offenses exert upward pressure on the estimated likelihood of rearrest. In estimating the likelihood that this individual will be rearrested within two years, the model first considers the amount of time already spent in jail. Finally, having two prior crimes nudges the risk upward, since a history of criminal activity is associated with a higher chance of recidivism.",7,7.3,8.9,8.94,1.59,1.64,1.22,1.22,8.2,0.3,7.86,8.66,-1.0926,9.79,2.49,15.31,7.3,-3.023,15.08,6.57,28.69,8.9,-2.609,13.75,5.74,24.83,8.94
4,"The model’s prediction of recidivism risk for this individual unfolds as a result of several interacting factors. At the outset, the individual’s extensive history of prior offenses exerts a substantial downward pull on the predicted risk, as having committed 26 prior crimes significantly reduces the likelihood of rearrest according to the model’s learned patterns. This effect is further reinforced, albeit to a lesser extent, by the fact that the individual has previously recidivated, which also nudges the risk estimate downward. As the narrative progresses, the individual’s age of 36 years subtly counterbalances these reductions, as older age slightly elevates the predicted risk. Simultaneously, the model registers the individual’s recorded race as Black, which introduces a modest decrease in risk, reflecting the model’s internal associations. Finally, the absence of any recent jail time gently increases the risk prediction, suggesting that not having spent time in jail may leave more opportunity for reoffending. Altogether, these factors intertwine to shape the model’s final assessment, with the dominant influence stemming from the individual’s prior criminal history, while other characteristics modulate the risk in smaller but meaningful ways.","Altogether, these factors intertwine to shape the model’s final assessment, with the dominant influence stemming from the individual’s prior criminal history, while other characteristics modulate the risk in smaller but meaningful ways. Finally, the absence of any recent jail time gently increases the risk prediction, suggesting that not having spent time in jail may leave more opportunity for reoffending. Simultaneously, the model registers the individual’s recorded race as Black, which introduces a modest decrease in risk, reflecting the model’s internal associations. As the narrative progresses, the individual’s age of 36 years subtly counterbalances these reductions, as older age slightly elevates the predicted risk. This effect is further reinforced, albeit to a lesser extent, by the fact that the individual has previously recidivated, which also nudges the risk estimate downward. At the outset, the individual’s extensive history of prior offenses exerts a substantial downward pull on the predicted risk, as having committed 26 prior crimes significantly reduces the likelihood of rearrest according to the model’s learned patterns. The model’s prediction of recidivism risk for this individual unfolds as a result of several interacting factors.","At the outset, the individual’s extensive history of prior offenses exerts a substantial downward pull on the predicted risk, as having committed 26 prior crimes significantly reduces the likelihood of rearrest according to the model’s learned patterns. As the narrative progresses, the individual’s age of 36 years subtly counterbalances these reductions, as older age slightly elevates the predicted risk. Simultaneously, the model registers the individual’s recorded race as Black, which introduces a modest decrease in risk, reflecting the model’s internal associations. This effect is further reinforced, albeit to a lesser extent, by the fact that the individual has previously recidivated, which also nudges the risk estimate downward. Altogether, these factors intertwine to shape the model’s final assessment, with the dominant influence stemming from the individual’s prior criminal history, while other characteristics modulate the risk in smaller but meaningful ways. The model’s prediction of recidivism risk for this individual unfolds as a result of several interacting factors. Finally, the absence of any recent jail time gently increases the risk prediction, suggesting that not having spent time in jail may leave more opportunity for reoffending.",7,8.12,12.5,10.6,4.38,2.48,1.54,1.31,9.2,0.83,8.36,10.83,-4.9277,16.14,13.57,48.79,8.12,-2.913,19.72,5.88,28.89,12.5,-3.2386,16.22,7.24,31.22,10.6
5,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 37, which substantially reduces the predicted risk, as older individuals are statistically less likely to recidivate. Furthermore, the fact that this person has not previously recidivated further diminishes the model’s expectation of future rearrest, reinforcing the protective effect of age. The model also notes that the individual is not recorded as Black, which, in the context of the data, slightly lowers the predicted risk, reflecting observed patterns in the dataset. However, the presence of three prior crimes exerts upward pressure on the risk estimate, signaling a history of criminal behavior that the model interprets as increasing the chance of recidivism. Finally, having spent only two months in jail exerts a modest influence, slightly raising the risk, perhaps indicating limited exposure to rehabilitative interventions. Taken together, these factors interact to shape the model’s overall prediction, with the mitigating effects of age and lack of prior recidivism outweighing the risk introduced by prior offenses and brief incarceration.","Taken together, these factors interact to shape the model’s overall prediction, with the mitigating effects of age and lack of prior recidivism outweighing the risk introduced by prior offenses and brief incarceration. Finally, having spent only two months in jail exerts a modest influence, slightly raising the risk, perhaps indicating limited exposure to rehabilitative interventions. However, the presence of three prior crimes exerts upward pressure on the risk estimate, signaling a history of criminal behavior that the model interprets as increasing the chance of recidivism. The model also notes that the individual is not recorded as Black, which, in the context of the data, slightly lowers the predicted risk, reflecting observed patterns in the dataset. Furthermore, the fact that this person has not previously recidivated further diminishes the model’s expectation of future rearrest, reinforcing the protective effect of age. In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 37, which substantially reduces the predicted risk, as older individuals are statistically less likely to recidivate.","However, the presence of three prior crimes exerts upward pressure on the risk estimate, signaling a history of criminal behavior that the model interprets as increasing the chance of recidivism. Furthermore, the fact that this person has not previously recidivated further diminishes the model’s expectation of future rearrest, reinforcing the protective effect of age. The model also notes that the individual is not recorded as Black, which, in the context of the data, slightly lowers the predicted risk, reflecting observed patterns in the dataset. Finally, having spent only two months in jail exerts a modest influence, slightly raising the risk, perhaps indicating limited exposure to rehabilitative interventions. In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 37, which substantially reduces the predicted risk, as older individuals are statistically less likely to recidivate. Taken together, these factors interact to shape the model’s overall prediction, with the mitigating effects of age and lack of prior recidivism outweighing the risk introduced by prior offenses and brief incarceration.",6,6.89,9.64,8.76,2.75,1.87,1.4,1.27,8.05,1.0,6.81,10.06,-1.1689,9.14,2.17,13.45,6.89,-3.8874,17.5,6.9,28.31,9.64,-2.8954,14.47,5.17,24.18,8.76
6,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers the person's age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context. However, this mitigating effect is nearly counterbalanced by the fact that the individual has committed one prior crime, a factor that increases the risk, as prior criminal history often signals a greater propensity for reoffending. Although the individual has previously recidivated, this history surprisingly acts to slightly decrease the predicted risk, perhaps reflecting a nuanced relationship between past recidivism and future outcomes in the model's learned patterns. Additionally, the model notes that the individual is recorded as Black, which, in this prediction, marginally lowers the estimated risk, indicating that this demographic feature does not drive the risk upward in this specific case. Finally, having spent just one month in jail exerts a modest upward influence on the risk, implying that even brief incarceration can contribute to the likelihood of rearrest. Taken together, these interacting factors shape the model’s overall assessment, with age and prior recidivism history working to reduce the risk, while prior offenses and recent jail time nudge it higher, resulting in a nuanced prediction tailored to the individual’s unique profile.","Taken together, these interacting factors shape the model’s overall assessment, with age and prior recidivism history working to reduce the risk, while prior offenses and recent jail time nudge it higher, resulting in a nuanced prediction tailored to the individual’s unique profile. Finally, having spent just one month in jail exerts a modest upward influence on the risk, implying that even brief incarceration can contribute to the likelihood of rearrest. Additionally, the model notes that the individual is recorded as Black, which, in this prediction, marginally lowers the estimated risk, indicating that this demographic feature does not drive the risk upward in this specific case. Although the individual has previously recidivated, this history surprisingly acts to slightly decrease the predicted risk, perhaps reflecting a nuanced relationship between past recidivism and future outcomes in the model's learned patterns. However, this mitigating effect is nearly counterbalanced by the fact that the individual has committed one prior crime, a factor that increases the risk, as prior criminal history often signals a greater propensity for reoffending. In estimating the likelihood that this individual will be rearrested within two years, the model first considers the person's age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context.","Additionally, the model notes that the individual is recorded as Black, which, in this prediction, marginally lowers the estimated risk, indicating that this demographic feature does not drive the risk upward in this specific case. However, this mitigating effect is nearly counterbalanced by the fact that the individual has committed one prior crime, a factor that increases the risk, as prior criminal history often signals a greater propensity for reoffending. Although the individual has previously recidivated, this history surprisingly acts to slightly decrease the predicted risk, perhaps reflecting a nuanced relationship between past recidivism and future outcomes in the model's learned patterns. Finally, having spent just one month in jail exerts a modest upward influence on the risk, implying that even brief incarceration can contribute to the likelihood of rearrest. In estimating the likelihood that this individual will be rearrested within two years, the model first considers the person's age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context. Taken together, these interacting factors shape the model’s overall assessment, with age and prior recidivism history working to reduce the risk, while prior offenses and recent jail time nudge it higher, resulting in a nuanced prediction tailored to the individual’s unique profile.",6,8.39,9.66,10.22,1.27,1.82,1.15,1.22,9.59,1.41,8.61,12.65,-0.9448,10.18,1.85,14.04,8.39,-3.4602,16.44,6.41,29.26,9.66,-5.2238,18.52,10.66,41.38,10.22
7,"In estimating the likelihood that this individual will be rearrested within two years, the model draws upon several key aspects of their background. To begin with, the individual's age—62 years—plays a significant role in reducing the predicted risk, as older individuals are generally less likely to reoffend. This effect is further reinforced by the absence of prior criminal activity; having no previous offenses signals a lower propensity for recidivism. Additionally, the model takes into account that the individual is not recorded as Black, which, in the context of the data used to train the model, slightly decreases the estimated risk. The fact that the individual has not recidivated before further diminishes the likelihood of future rearrest. Finally, the relatively short duration—just one month—spent in jail exerts a modest downward influence on the risk prediction. Altogether, these factors interact to produce a lower overall estimate of recidivism risk for this individual, as each characteristic incrementally contributes to the model’s final assessment.","Altogether, these factors interact to produce a lower overall estimate of recidivism risk for this individual, as each characteristic incrementally contributes to the model’s final assessment. Finally, the relatively short duration—just one month—spent in jail exerts a modest downward influence on the risk prediction. The fact that the individual has not recidivated before further diminishes the likelihood of future rearrest. Additionally, the model takes into account that the individual is not recorded as Black, which, in the context of the data used to train the model, slightly decreases the estimated risk. This effect is further reinforced by the absence of prior criminal activity; having no previous offenses signals a lower propensity for recidivism. To begin with, the individual's age—62 years—plays a significant role in reducing the predicted risk, as older individuals are generally less likely to reoffend. In estimating the likelihood that this individual will be rearrested within two years, the model draws upon several key aspects of their background.","To begin with, the individual's age—62 years—plays a significant role in reducing the predicted risk, as older individuals are generally less likely to reoffend. Additionally, the model takes into account that the individual is not recorded as Black, which, in the context of the data used to train the model, slightly decreases the estimated risk. The fact that the individual has not recidivated before further diminishes the likelihood of future rearrest. This effect is further reinforced by the absence of prior criminal activity; having no previous offenses signals a lower propensity for recidivism. Altogether, these factors interact to produce a lower overall estimate of recidivism risk for this individual, as each characteristic incrementally contributes to the model’s final assessment. In estimating the likelihood that this individual will be rearrested within two years, the model draws upon several key aspects of their background. Finally, the relatively short duration—just one month—spent in jail exerts a modest downward influence on the risk prediction.",7,7.36,9.48,9.73,2.12,2.37,1.29,1.32,8.1,0.81,7.29,9.58,-1.9605,10.32,5.18,22.63,7.36,-3.3623,16.76,7.08,28.43,9.48,-1.7435,12.45,4.38,22.59,9.73
8,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 38, which plays a significant role in reducing the predicted risk; older individuals are generally less likely to recidivate, and this age contributes notably to a lower risk assessment. Furthermore, the fact that the individual has only two prior offenses slightly increases the risk, but this effect is relatively modest compared to the mitigating influence of age. The model also takes into account that the individual is not recorded as Black, which, in the context of the model’s learned patterns, further decreases the predicted risk. Additionally, the absence of any previous recidivism acts as another protective factor, signaling to the model that the individual is less prone to repeat offenses. Finally, having spent just one month in jail exerts a minor influence, slightly nudging the risk upward, but not enough to outweigh the more substantial factors. Altogether, these elements interact to shape the model’s overall prediction, with age and lack of prior recidivism standing out as the most influential in lowering the estimated risk of rearrest.","Altogether, these elements interact to shape the model’s overall prediction, with age and lack of prior recidivism standing out as the most influential in lowering the estimated risk of rearrest. Finally, having spent just one month in jail exerts a minor influence, slightly nudging the risk upward, but not enough to outweigh the more substantial factors. Additionally, the absence of any previous recidivism acts as another protective factor, signaling to the model that the individual is less prone to repeat offenses. The model also takes into account that the individual is not recorded as Black, which, in the context of the model’s learned patterns, further decreases the predicted risk. Furthermore, the fact that the individual has only two prior offenses slightly increases the risk, but this effect is relatively modest compared to the mitigating influence of age. In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 38, which plays a significant role in reducing the predicted risk; older individuals are generally less likely to recidivate, and this age contributes notably to a lower risk assessment.","Additionally, the absence of any previous recidivism acts as another protective factor, signaling to the model that the individual is less prone to repeat offenses. Furthermore, the fact that the individual has only two prior offenses slightly increases the risk, but this effect is relatively modest compared to the mitigating influence of age. The model also takes into account that the individual is not recorded as Black, which, in the context of the model’s learned patterns, further decreases the predicted risk. Finally, having spent just one month in jail exerts a minor influence, slightly nudging the risk upward, but not enough to outweigh the more substantial factors. In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 38, which plays a significant role in reducing the predicted risk; older individuals are generally less likely to recidivate, and this age contributes notably to a lower risk assessment. Altogether, these elements interact to shape the model’s overall prediction, with age and lack of prior recidivism standing out as the most influential in lowering the estimated risk of rearrest.",6,6.82,8.32,8.37,1.5,1.54,1.22,1.23,7.77,0.96,7.07,9.86,-1.3228,9.11,2.58,14.47,6.82,-3.3275,14.47,6.09,25.97,8.32,-3.3068,13.63,6.65,27.75,8.37
9,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context. At the same time, the absence of prior crimes and the fact that the individual has not previously recidivated both work to increase the predicted risk, albeit modestly, indicating that the model recognizes a nuanced relationship where a clean record does not entirely eliminate risk. Furthermore, the model notes that the individual is not recorded as Black, which slightly raises the risk prediction, reflecting the model’s learned associations from the data. Finally, having spent no time in jail also nudges the risk upward, implying that lack of prior incarceration is not a strong protective factor in this case. Taken together, these factors interact to shape the model’s overall assessment, with age exerting the most substantial downward influence, while the other features collectively contribute to a moderate increase in the predicted risk of recidivism.","Taken together, these factors interact to shape the model’s overall assessment, with age exerting the most substantial downward influence, while the other features collectively contribute to a moderate increase in the predicted risk of recidivism. Finally, having spent no time in jail also nudges the risk upward, implying that lack of prior incarceration is not a strong protective factor in this case. Furthermore, the model notes that the individual is not recorded as Black, which slightly raises the risk prediction, reflecting the model’s learned associations from the data. At the same time, the absence of prior crimes and the fact that the individual has not previously recidivated both work to increase the predicted risk, albeit modestly, indicating that the model recognizes a nuanced relationship where a clean record does not entirely eliminate risk. In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context.","Finally, having spent no time in jail also nudges the risk upward, implying that lack of prior incarceration is not a strong protective factor in this case. At the same time, the absence of prior crimes and the fact that the individual has not previously recidivated both work to increase the predicted risk, albeit modestly, indicating that the model recognizes a nuanced relationship where a clean record does not entirely eliminate risk. Furthermore, the model notes that the individual is not recorded as Black, which slightly raises the risk prediction, reflecting the model’s learned associations from the data. Taken together, these factors interact to shape the model’s overall assessment, with age exerting the most substantial downward influence, while the other features collectively contribute to a moderate increase in the predicted risk of recidivism. In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context.",5,7.71,10.1,10.39,2.39,2.68,1.31,1.35,9.1,1.41,7.99,11.82,-1.5621,10.56,2.29,14.47,7.71,-3.6448,16.63,5.32,25.65,10.1,-6.1883,19.59,9.86,38.37,10.39
