text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"The model's prediction that the patient has diabetes is mainly influenced by the patient's age of 53 years, which contributes the most to the prediction.",25.68,12.22,13.46
0,1,Elevated plasma glucose concentration (145) and a higher BMI of 30.30 also increase the likelihood of diabetes.,12.63,12.22,0.41
0,2,"Additionally, a diabetes pedigree function value of 0.77 and a 2-hour serum insulin level of 165 further support the prediction, though to a lesser extent.",16.83,12.22,4.61
1,0,The model's prediction that the patient has diabetes is influenced by several factors.,14.72,9.33,5.4
1,1,"A lower plasma glucose concentration (89) decreases the likelihood of diabetes, as does a lower 2-hour serum insulin level (85) and a lower triceps skin fold thickness (16).",13.77,9.33,4.44
1,2,"On the other hand, the patient's age (38) and body mass index (30.40) slightly increase the predicted risk of diabetes.",14.68,9.33,5.36
1,3,"Overall, the glucose level has the strongest impact in reducing the predicted risk.",9.45,9.33,0.12
2,0,"The model predicts that this patient is less likely to have diabetes, mainly because their plasma glucose concentration, age, and BMI are all contributing to a lower risk.",14.77,8.92,5.85
2,1,"Specifically, the patient's relatively low glucose level, young age, and moderate BMI each decrease the likelihood of diabetes.",10.77,8.92,1.85
2,2,"The patient's diabetes pedigree function and number of pregnancies have only a small effect, with the pedigree function slightly increasing the risk and pregnancies slightly decreasing it.",8.81,8.92,-0.11
2,3,"Overall, the combination of these factors leads the model to predict a lower chance of diabetes for this patient.",11.46,8.92,2.53
3,0,The model predicts the likelihood of diabetes for this patient by considering several factors.,14.91,9.46,5.45
3,1,The patient's plasma glucose concentration (95) and age (24) both decrease the predicted risk of diabetes.,12.81,9.46,3.34
3,2,"The patient's BMI (37.40) slightly increases the risk, while their 2-hour serum insulin level (36) and diabetes pedigree function (0.25) both contribute to lowering the predicted risk.",14.22,9.46,4.76
3,3,"Overall, the most influential factors in reducing the risk are the patient's glucose level and age.",11.23,9.46,1.77
4,0,"The model's prediction that the patient has diabetes is most strongly influenced by the patient's high BMI, which increases the likelihood of diabetes.",18.92,10.58,8.34
4,1,The patient's high Diabetes Pedigree Function also contributes to a higher risk.,11.55,10.58,0.97
4,2,"However, the patient's younger age, lower plasma glucose concentration, and having only one pregnancy all slightly decrease the predicted risk of diabetes.",14.64,10.58,4.06
4,3,"Overall, the positive contributions outweigh the negative ones, leading to a higher estimated risk.",12.34,10.58,1.77
5,0,The model's prediction that the patient has diabetes was influenced by several factors.,19.86,14.24,5.62
5,1,The patient's age of 21 years contributed to lowering the predicted risk.,17.88,14.24,3.63
5,2,A higher BMI of 35.80 slightly increased the risk.,16.61,14.24,2.36
5,3,The plasma glucose concentration of 124 and having one pregnancy both contributed to a lower risk.,15.03,14.24,0.78
5,4,"However, having an insulin level of 0 slightly increased the predicted risk.",17.91,14.24,3.66
5,5,"Overall, age and glucose level were the most significant factors reducing the risk, while BMI and insulin level had smaller effects increasing it.",17.55,14.24,3.3
6,0,"The model predicts that the patient is likely to have diabetes mainly because of their high plasma glucose concentration, elevated BMI, and older age, which all increase the predicted risk.",58.57,14.66,43.91
6,1,The patient's diabetes pedigree function also contributes slightly to a higher risk.,12.1,14.66,-2.55
6,2,"In contrast, their diastolic blood pressure slightly decreases the predicted risk of diabetes.",21.34,14.66,6.68
7,0,The model predicts the likelihood of diabetes for this patient by considering several factors.,10.23,7.41,2.82
7,1,"The patient's plasma glucose concentration is 87, which decreases the predicted risk of diabetes.",9.1,7.41,1.69
7,2,"The patient's age is 25, which also slightly lowers the risk.",7.96,7.41,0.54
7,3,"The BMI is 32.70, which slightly increases the risk.",8.12,7.41,0.71
7,4,"The diabetes pedigree function is 0.17, contributing to a lower risk, and the 2-hour serum insulin level is 52, which also slightly reduces the predicted risk.",8.62,7.41,1.21
7,5,"Overall, the combination of these factors leads the model to estimate a lower probability of diabetes for this patient.",8.62,7.41,1.21
8,0,"The model's prediction that the patient does not have diabetes is mainly influenced by their plasma glucose concentration, which is relatively low and decreases the likelihood of diabetes.",12.81,8.13,4.68
8,1,The patient's age also slightly reduces the risk.,8.91,8.13,0.79
8,2,"On the other hand, a higher body mass index and a greater number of pregnancies slightly increase the risk, but not enough to outweigh the negative contributions.",10.6,8.13,2.48
8,3,The thickness of the triceps skin fold has a minimal positive effect on the prediction.,7.91,8.13,-0.22
8,4,"Overall, the combination of these factors leads the model to predict that the patient does not have diabetes.",11.15,8.13,3.02
9,0,The model's prediction that the patient has diabetes is influenced by several factors.,16.62,12.34,4.27
9,1,The patient's BMI of 25.60 slightly decreases the likelihood of diabetes.,16.06,12.34,3.72
9,2,"However, a plasma glucose concentration of 139 increases the risk.",14.01,12.34,1.66
9,3,"The patient's low diabetes pedigree function (0.17), having had 2 pregnancies, and a diastolic blood pressure of 75 all contribute to a lower predicted risk of diabetes, but these effects are relatively small compared to the impact of glucose level.",21.49,12.34,9.15
10,0,"The model's prediction that the patient has diabetes is most strongly influenced by the patient's age, which increases the likelihood of diabetes.",15.12,8.47,6.65
10,1,The patient's BMI and number of pregnancies also contribute to a higher risk.,9.98,8.47,1.52
10,2,"On the other hand, the patient's plasma glucose concentration slightly decreases the predicted risk, as does their diastolic blood pressure, but these effects are smaller compared to the influence of age and BMI.",13.57,8.47,5.11
11,0,The model predicts the likelihood of diabetes based on several factors.,19.92,14.45,5.47
11,1,"The patient's high plasma glucose concentration (148) is the most significant contributor, increasing the predicted risk.",19.62,14.45,5.16
11,2,A low diabetes pedigree function (0.15) slightly decreases the risk.,15.36,14.45,0.91
11,3,"The patient's BMI (30.90), high insulin level (318), and blood pressure (60) all contribute modestly to increasing the predicted risk of diabetes.",19.68,14.45,5.22
11,4,"Overall, the elevated glucose level is the primary reason for the higher prediction.",15.07,14.45,0.61
12,0,The model predicts the likelihood of diabetes for this patient based on several factors.,9.8,7.56,2.24
12,1,The patient's high Body Mass Index (BMI) of 32.90 and a Diabetes Pedigree Function value of 0.88 both increase the predicted risk of diabetes.,14.32,7.56,6.76
12,2,The patient's age of 30 also contributes slightly to a higher risk.,8.48,7.56,0.92
12,3,"On the other hand, a plasma glucose concentration of 124 and having had 2 pregnancies both slightly decrease the predicted risk.",8.07,7.56,0.52
12,4,"Overall, the most influential factors increasing the risk are the high BMI and Diabetes Pedigree Function.",8.65,7.56,1.1
13,0,The model's prediction about the patient's likelihood of having diabetes is influenced by several factors.,11.36,9.3,2.05
13,1,"The patient's plasma glucose concentration is 104, which slightly decreases the predicted risk.",10.57,9.3,1.27
13,2,"The patient's age is 38, and this moderately increases the risk.",11.2,9.3,1.9
13,3,A BMI of 31.20 also contributes to a higher predicted risk.,10.88,9.3,1.57
13,4,"Having had 13 pregnancies adds a small increase to the risk, while a diastolic blood pressure of 72 has a minimal positive effect on the prediction.",10.89,9.3,1.59
13,5,"Overall, glucose level has the strongest negative impact, while age and BMI are the most significant positive contributors.",9.9,9.3,0.59
14,0,The model's prediction that the patient has diabetes is influenced by several factors.,17.24,12.0,5.25
14,1,The patient's age of 45 years increases the likelihood of diabetes.,16.88,12.0,4.89
14,2,"However, a plasma glucose concentration of 106 and a low diabetes pedigree function of 0.18 both decrease the risk.",13.21,12.0,1.22
14,3,"The patient's high BMI of 36.60 slightly increases the risk, as does having had 13 pregnancies, though to a lesser extent.",14.37,12.0,2.37
14,4,"Overall, age and BMI are the main factors pushing the prediction higher, while glucose level and family history reduce it.",13.0,12.0,1.0
