text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,The model predicts the risk of recidivism for this individual by considering several factors.,14.22,9.56,4.66
0,1,Being 21 years old slightly decreases the predicted risk.,10.86,9.56,1.29
0,2,Having no prior crimes increases the risk a bit.,10.54,9.56,0.98
0,3,Having recidivated before actually lowers the risk in this case.,9.39,9.56,-0.17
0,4,Being recorded as Black also slightly decreases the risk.,9.47,9.56,-0.1
0,5,"Finally, spending 4 months in jail has a small negative effect on the predicted risk.",11.28,9.56,1.71
0,6,"Overall, these factors combine to influence the model’s assessment of the likelihood that this person will be rearrested within two years.",11.4,9.56,1.84
1,0,The model predicts the risk of recidivism for this individual based on several factors.,9.8,7.88,1.92
1,1,The fact that the individual is not recorded as Black decreases the predicted risk by 0.1129.,9.45,7.88,1.57
1,2,Not having recidivated before also lowers the risk by 0.0923.,8.28,7.88,0.4
1,3,The individual's age of 34 reduces the risk by 0.0851.,8.84,7.88,0.96
1,4,Spending 1 month in jail decreases the risk by 0.0510.,8.29,7.88,0.4
1,5,"However, having committed 5 prior crimes increases the predicted risk by 0.0505.",8.78,7.88,0.9
1,6,"Overall, these factors combine to influence the model's assessment of the individual's likelihood of being rearrested within two years.",8.23,7.88,0.34
2,0,The model predicts the risk of recidivism for this individual based on several factors.,15.03,9.86,5.17
2,1,The fact that the individual has not previously recidivated lowers their predicted risk the most.,13.48,9.86,3.62
2,2,"Having two prior crimes and being 34 years old both increase the predicted risk, but to a lesser extent.",12.89,9.86,3.02
2,3,"The individual being recorded as Black slightly decreases the predicted risk, while having spent no months in jail also contributes to a higher risk prediction.",9.41,9.86,-0.45
2,4,"Overall, the absence of prior recidivism is the most significant factor reducing the estimated risk.",10.93,9.86,1.07
3,0,The model predicts the risk of recidivism for this individual by considering several factors.,14.8,11.03,3.77
3,1,"Spending 181 months in jail decreases the predicted risk, as does being 25 years old.",13.02,11.03,1.99
3,2,"The fact that the individual has not recidivated before and is not recorded as Black both slightly increase the predicted risk, but to a lesser extent.",13.68,11.03,2.65
3,3,"Additionally, having two prior crimes also contributes to a small increase in the predicted risk.",12.44,11.03,1.41
3,4,"Overall, the time spent in jail and the individual's age are the most significant factors reducing the risk, while the other features have smaller positive contributions.",13.56,11.03,2.52
4,0,The model predicts the risk of recidivism for this individual by considering several factors.,11.57,8.7,2.88
4,1,"Having 26 prior crimes and a history of recidivism both decrease the predicted risk, with the number of prior crimes having the largest negative impact.",12.92,8.7,4.22
4,2,"The individual's age of 36 slightly increases the risk, as does having spent no time in jail.",11.92,8.7,3.23
4,3,Being recorded as Black has a small negative effect on the predicted risk.,9.19,8.7,0.49
4,4,"Overall, the factors that most reduce the predicted risk are the high number of prior crimes and previous recidivism, while age and lack of jail time slightly increase it.",11.14,8.7,2.45
5,0,The model predicts the risk of recidivism for this individual based on several key factors.,13.24,8.76,4.48
5,1,The person's age of 37 years lowers the predicted risk the most.,10.76,8.76,2.0
5,2,"Additionally, the fact that the individual has not recidivated before and is not recorded as Black both contribute to a lower risk.",11.54,8.76,2.78
5,3,"Having three prior crimes increases the risk somewhat, but not as much as the protective factors.",10.4,8.76,1.64
5,4,"Finally, spending two months in jail has a smaller effect, slightly increasing the predicted risk.",10.14,8.76,1.38
5,5,"Overall, the model's prediction is most influenced by age, prior recidivism, and race, with prior crimes and jail time playing smaller roles.",12.08,8.76,3.32
6,0,The model predicts the risk of recidivism for this individual by considering several factors.,19.19,11.86,7.32
6,1,"Being 21 years old slightly decreases the predicted risk, while having one prior crime slightly increases it.",15.17,11.86,3.31
6,2,"Having previously recidivated actually lowers the risk prediction a bit, as does being recorded as Black.",11.01,11.86,-0.85
6,3,Spending one month in jail slightly increases the predicted risk.,12.73,11.86,0.87
6,4,"Overall, these factors combine to inform the model's estimate of the likelihood that this person will be rearrested within two years.",15.93,11.86,4.07
7,0,The model predicts the risk of recidivism for this individual based on several factors.,12.51,8.93,3.58
7,1,"The person's age (62 years old) is the most influential factor, significantly lowering the predicted risk.",11.02,8.93,2.1
7,2,Having no prior crimes also reduces the risk.,9.11,8.93,0.19
7,3,"Additionally, the individual is not recorded as Black, which slightly decreases the risk according to the model.",9.4,8.93,0.47
7,4,The fact that the person has not recidivated before further lowers the risk.,9.78,8.93,0.86
7,5,"Finally, spending only one month in jail has a small effect in reducing the predicted risk.",9.88,8.93,0.95
7,6,"Overall, these factors together contribute to a lower estimated likelihood of rearrest within two years.",9.26,8.93,0.34
8,0,The model predicts the risk of recidivism for this individual based on several factors.,15.87,11.22,4.65
8,1,"The person's age of 38 years contributed the most to the prediction, slightly increasing the estimated risk.",14.27,11.22,3.05
8,2,"Having two prior crimes also raised the risk, but to a lesser extent.",12.49,11.22,1.27
8,3,The fact that the individual is not recorded as Black and has not recidivated before both contributed to lowering the predicted risk.,10.83,11.22,-0.39
8,4,"Additionally, spending only one month in jail had a small effect, slightly increasing the risk.",12.17,11.22,0.95
8,5,"Overall, these factors combined to inform the model's assessment of the likelihood of rearrest within two years.",12.29,11.22,1.07
9,0,The model predicts the risk of recidivism for this individual by considering several factors.,18.39,11.89,6.49
9,1,Being 21 years old slightly decreases the predicted risk.,14.31,11.89,2.41
9,2,"Having no prior crimes, not having recidivated before, not being recorded as Black, and having spent no months in jail all contribute to a higher predicted risk, but each only increases the risk by a small amount.",17.0,11.89,5.11
9,3,"Overall, the individual's young age lowers the risk, while the lack of prior offenses and other factors slightly increase it.",13.56,11.89,1.67
10,0,The model predicts the risk of recidivism for this individual based on several factors.,15.97,10.28,5.69
10,1,"The most influential factor is the number of prior crimes committed, which increases the predicted risk.",12.87,10.28,2.59
10,2,The fact that the individual has not recidivated before and is not recorded as Black both contribute to lowering the risk.,11.44,10.28,1.15
10,3,"The individual's age of 36 also slightly reduces the risk, as does having spent no months in jail.",10.83,10.28,0.55
10,4,"Overall, the prediction is shaped by a combination of these features, with prior criminal history having the largest impact.",11.49,10.28,1.21
11,0,The model predicts the risk of recidivism for this individual based on several factors.,24.82,13.74,11.08
11,1,"Being 42 years old increases the predicted risk the most, followed by having one prior crime, which also raises the risk.",21.42,13.74,7.69
11,2,"Interestingly, having previously recidivated, spending 17 months in jail, and being recorded as Black all slightly decrease the predicted risk according to the model.",15.87,13.74,2.14
12,0,The model predicts the risk of recidivism for this individual based on several factors.,14.14,9.43,4.71
12,1,The fact that the individual has not recidivated before lowers their predicted risk.,11.03,9.43,1.6
12,2,Being 23 years old also slightly decreases the risk.,10.04,9.43,0.62
12,3,"However, having spent no months in jail and having two prior crimes both increase the predicted risk.",9.4,9.43,-0.03
12,4,"Additionally, the individual is not recorded as Black, which slightly increases the risk according to the model.",9.86,9.43,0.44
12,5,"Overall, these factors combine to influence the model's estimate of the likelihood that the individual will be rearrested within two years.",11.11,9.43,1.68
13,0,The model predicts the risk of recidivism for this individual based on several factors.,11.43,8.66,2.78
13,1,"Having no prior crimes increases the predicted risk by 0.1463, and not having recidivated before adds 0.1072 to the risk.",12.97,8.66,4.31
13,2,Spending no time in jail contributes an additional 0.0799 to the risk.,8.87,8.66,0.21
13,3,The individual's age of 24 slightly decreases the risk by 0.0776.,9.71,8.66,1.05
13,4,"Finally, being recorded as not Black increases the risk by 0.0753.",9.22,8.66,0.56
13,5,"Overall, the absence of prior crimes and recidivism history, as well as the individual's demographic information, are the main factors influencing the prediction.",9.98,8.66,1.32
14,0,The model predicts the risk of recidivism for this individual by considering several factors.,13.88,10.37,3.51
14,1,Spending 33 months in jail and having previously recidivated both decrease the predicted risk.,13.43,10.37,3.06
14,2,"On the other hand, having committed 3 prior crimes and being 34 years old slightly increase the risk.",16.62,10.37,6.25
14,3,"Additionally, being recorded as Black slightly decreases the predicted risk.",10.26,10.37,-0.11
14,4,"Overall, the largest reductions in risk come from the time spent in jail and prior recidivism, while prior crimes and age contribute modestly to an increased risk.",14.88,10.37,4.51
15,0,The model predicts the risk of recidivism for this individual based on several factors.,17.37,12.07,5.3
15,1,"The number of prior crimes committed increases the predicted risk the most, contributing significantly to a higher risk estimate.",13.17,12.07,1.1
15,2,The fact that the individual has not recidivated before lowers the risk somewhat.,13.51,12.07,1.44
15,3,Being recorded as Black slightly decreases the predicted risk in this case.,11.33,12.07,-0.73
15,4,"Spending one month in jail adds a small increase to the risk, while not being charged with a misdemeanor slightly reduces the risk.",12.74,12.07,0.67
15,5,"Overall, the prediction is most strongly influenced by the individual's history of prior crimes.",14.24,12.07,2.17
16,0,The model predicts the risk of recidivism for this individual by considering several factors.,13.77,9.75,4.02
16,1,"Having 25 prior crimes lowers the predicted risk, while being 61 years old increases it.",11.39,9.75,1.64
16,2,The fact that the individual has not recidivated before also raises the risk slightly.,10.36,9.75,0.61
16,3,"Being recorded as Black slightly decreases the predicted risk, and having spent 1 month in jail increases it a small amount.",9.74,9.75,-0.01
16,4,Each of these factors contributes to the overall prediction of whether the individual will be rearrested within two years.,12.78,9.75,3.03
17,0,The model predicts the risk of recidivism by considering several factors.,27.82,18.83,8.99
17,1,"Spending 82 months in jail decreases the predicted risk, while being 37 years old increases it.",23.71,18.83,4.88
17,2,The fact that the individual is not recorded as Black also raises the risk slightly.,20.48,18.83,1.65
17,3,"Having recidivated before actually lowers the predicted risk in this case, and not currently being charged with a felony slightly increases the risk.",22.62,18.83,3.79
18,0,The model predicts a lower risk of recidivism for this individual.,21.44,14.97,6.47
18,1,Spending 260 months in jail contributes the most to reducing the predicted risk.,16.02,14.97,1.04
18,2,"Being 22 years old, having previously recidivated, being recorded as Black, and having committed 4 prior crimes also each contribute to lowering the risk, but to a lesser extent.",35.28,14.97,20.31
