text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,4,0.91358,0.6375,0.1125,0.05,"[15.4056, 11.6502, 9.0868, 8.1479]"
1,4,0.987013,0.704225,0.15493,0.056338,"[16.986, 15.4049, 12.2453, 10.4269]"
2,4,0.961039,0.710526,0.131579,0.065789,"[15.4056, 13.2811, 11.2701, 9.7938]"
3,5,0.975309,0.679487,0.166667,0.051282,"[20.2388, 19.6676, 18.125, 13.8644, 11.5679]"
4,4,0.956044,0.697674,0.139535,0.081395,"[29.4425, 13.8684, 11.8932, 7.8949]"
5,4,0.977778,0.709302,0.151163,0.069767,"[17.0855, 13.5955, 12.0652, 10.6804]"
6,4,0.967033,0.678161,0.137931,0.068966,"[17.0855, 13.813, 11.5251, 9.6522]"
7,4,0.973684,0.693333,0.16,0.053333,"[17.0269, 18.7141, 14.8538, 12.0348]"
8,5,0.90625,0.589474,0.126316,0.042105,"[12.2803, 10.9974, 10.4052, 9.1441, 7.4854]"
9,3,0.885057,0.55814,0.127907,0.046512,"[12.4427, 10.1578, 8.8702]"
10,5,0.930693,0.653061,0.142857,0.05102,"[17.2961, 11.8835, 11.4218, 8.2745, 7.3198]"
11,4,0.956522,0.674419,0.116279,0.05814,"[22.3028, 11.5809, 7.6986, 6.5358]"
12,4,0.977528,0.747126,0.195402,0.045977,"[18.6965, 12.484, 10.0515, 8.1128]"
13,4,0.959184,0.659341,0.164835,0.076923,"[17.2961, 12.5022, 10.8461, 7.848]"
14,3,0.950617,0.6875,0.1375,0.0625,"[16.4306, 10.459, 9.5426]"
15,5,0.978947,0.674157,0.157303,0.067416,"[14.8686, 12.8418, 10.8848, 11.1094, 10.0681]"
16,4,0.935897,0.675325,0.12987,0.051948,"[15.4056, 13.2811, 10.9139, 9.358]"
17,4,0.958333,0.692308,0.120879,0.065934,"[12.5798, 9.418, 8.1284, 7.4746]"
18,3,0.927536,0.676471,0.132353,0.044118,"[15.4056, 13.2811, 9.8133]"
19,3,0.922078,0.684211,0.144737,0.065789,"[17.1246, 11.0643, 8.0827]"
20,4,0.954545,0.674699,0.168675,0.048193,"[13.8773, 16.68, 13.6825, 10.9733]"
21,4,0.957895,0.662921,0.179775,0.067416,"[18.7783, 13.229, 11.2626, 8.8487]"
22,4,0.93617,0.612903,0.11828,0.064516,"[14.8686, 9.0459, 8.3245, 7.598]"
23,4,0.955056,0.681818,0.102273,0.056818,"[16.764, 13.1827, 8.5377, 7.3965]"
24,4,0.93,0.677419,0.150538,0.075269,"[22.1226, 16.1418, 13.517, 9.7716]"
25,4,0.9625,0.683544,0.126582,0.037975,"[15.4056, 15.298, 11.8661, 10.2118]"
26,3,0.972973,0.739726,0.123288,0.082192,"[17.3232, 14.1285, 10.4479]"
27,5,0.966667,0.626506,0.156627,0.060241,"[65.2189, 22.3025, 12.3801, 11.1252, 9.0506]"
28,4,0.939024,0.679012,0.098765,0.061728,"[17.3981, 11.8724, 7.6858, 7.164]"
29,4,0.9625,0.696203,0.126582,0.063291,"[15.4056, 13.2811, 10.309, 9.1211]"
