text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,5,8.4355,10.5601,10.0193,10.0429,2.1246,1.5838,1.6074,0.25186,0.187752,0.190553
2,7,7.7502,9.0212,8.4683,8.4671,1.271,0.7181,0.7169,0.163992,0.092652,0.0925
3,7,7.3018,8.9387,8.8955,8.1998,1.6369,1.5938,0.898,0.224178,0.218269,0.122981
4,7,8.1206,10.6026,12.5027,9.1954,2.482,4.3821,1.0748,0.305645,0.539632,0.132361
5,6,6.8928,8.7618,9.6388,8.0499,1.869,2.746,1.1571,0.271154,0.398384,0.167867
6,6,8.3948,10.2154,9.6635,9.5907,1.8206,1.2688,1.1959,0.216873,0.151136,0.142459
7,7,7.359,9.7268,9.4756,8.1021,2.3678,2.1165,0.7431,0.32175,0.287609,0.100976
8,6,6.8247,8.3665,8.322,7.7663,1.5418,1.4973,0.9417,0.225919,0.219401,0.137982
9,5,7.7104,10.3935,10.1049,9.0976,2.6831,2.3944,1.3872,0.347982,0.310543,0.179906
10,7,8.3042,10.1425,9.0135,9.0506,1.8383,0.7093,0.7464,0.221374,0.085418,0.089888
11,5,8.1858,11.3326,11.7422,10.203,3.1467,3.5564,2.0172,0.384412,0.434459,0.246424
12,7,7.6287,8.7263,9.5841,8.4943,1.0976,1.9554,0.8656,0.143877,0.256323,0.11346
14,3,13.0194,16.4845,15.745,17.1589,3.4651,2.7255,4.1394,0.266146,0.209343,0.317943
15,7,8.0375,11.5254,11.2784,9.1986,3.4879,3.2409,1.1611,0.433955,0.403229,0.144464
16,6,8.67,10.2613,10.4699,9.7856,1.5913,1.7999,1.1156,0.183546,0.2076,0.128676
17,7,7.5546,8.507,9.4425,8.3733,0.9525,1.888,0.8187,0.126079,0.249913,0.108371
18,7,8.4475,11.6252,11.1222,9.5463,3.1777,2.6747,1.0988,0.37617,0.316627,0.13007
19,7,7.0387,10.1027,10.1837,7.9724,3.064,3.1451,0.9337,0.435311,0.446829,0.132653
20,6,7.4925,9.5341,9.4176,8.4443,2.0416,1.9251,0.9518,0.272486,0.256936,0.127039
21,6,9.1401,10.7862,10.3142,10.4561,1.6461,1.1741,1.316,0.180097,0.128453,0.143983
22,7,7.2647,9.1244,9.1792,8.1204,1.8597,1.9145,0.8557,0.255996,0.263536,0.117786
23,6,7.3278,9.1549,9.1595,8.7053,1.8271,1.8317,1.3775,0.249344,0.249969,0.187986
24,6,9.9159,12.2584,11.4392,11.1499,2.3425,1.5233,1.234,0.23624,0.15362,0.124443
25,7,8.1639,9.4295,11.2297,8.9712,1.2656,3.0659,0.8073,0.155029,0.37554,0.098888
26,7,6.4728,8.8833,9.6844,7.4104,2.4105,3.2116,0.9376,0.372411,0.496162,0.14485
27,7,7.7387,9.3047,8.7385,8.536,1.566,0.9998,0.7973,0.202362,0.129189,0.10303
28,7,5.9074,6.9875,7.2179,6.5595,1.0802,1.3105,0.6521,0.182854,0.221846,0.110393
29,7,7.4341,9.6508,8.6026,8.3369,2.2167,1.1684,0.9027,0.298173,0.157172,0.121428
