text_id,num_sentences,last_sentence,ppl
0,1,"For this instance, the model predicted to have diabetes.",127.77
0,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,23.8
0,3,Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction.,8.04
0,4,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,5.07
0,5,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,3.86
1,1,"For this instance, the model predicted not to have diabetes.",84.14
1,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,23.72
1,3,Age (Age of the patient) is the second most important feature and has a positive influence on the prediction.,8.84
1,4,Insulin (2-Hour serum insulin (mu U/ml)) is the third most important feature and has a negative influence on the prediction.,5.84
1,5,Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction.,4.3
2,1,"For this instance, the model predicted not to have diabetes.",84.14
2,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,23.72
2,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,9.01
2,4,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a negative influence on the prediction.,5.41
2,5,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,4.1
3,1,"For this instance, the model predicted not to have diabetes.",84.14
3,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,23.72
3,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,9.01
3,4,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,5.41
3,5,Insulin (2-Hour serum insulin (mu U/ml)) is the 4th most important feature and has a negative influence on the prediction.,4.15
4,1,"For this instance, the model predicted to have diabetes.",127.77
4,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a positive influence on the prediction.,21.39
4,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,9.56
4,4,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a positive influence on the prediction.,5.85
4,5,Glucose (Plasma glucose concentration) is the 4th most important feature and has a negative influence on the prediction.,4.46
5,1,"For this instance, the model predicted not to have diabetes.",84.14
5,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,21.42
5,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,7.84
5,4,Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction.,5.07
5,5,Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.,3.96
6,1,"For this instance, the model predicted to have diabetes.",127.77
6,2,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,25.71
6,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,9.01
6,4,Age (Age of the patient) is the third most important feature and has a positive influence on the prediction.,5.48
6,5,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,4.11
7,1,"For this instance, the model predicted not to have diabetes.",84.14
7,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,23.72
7,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,9.01
7,4,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,5.41
7,5,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction.,4.11
8,1,"For this instance, the model predicted not to have diabetes.",84.14
8,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,23.72
8,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,8.75
8,4,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,5.54
8,5,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,4.29
9,1,"For this instance, the model predicted not to have diabetes.",84.14
9,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction.,19.24
9,3,Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction.,8.56
9,4,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a negative influence on the prediction.,5.54
9,5,Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.,4.28
10,1,"For this instance, the model predicted to have diabetes.",127.77
10,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,23.8
10,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,8.07
10,4,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,5.13
10,5,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,3.94
11,1,"For this instance, the model predicted to have diabetes.",127.77
11,2,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,25.71
11,3,Diabetespedigreefunction (Diabetes pedigree function) is the second most important feature and has a negative influence on the prediction.,10.74
11,4,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,6.5
11,5,Insulin (2-Hour serum insulin (mu U/ml)) is the 4th most important feature and has a positive influence on the prediction.,4.68
12,1,"For this instance, the model predicted to have diabetes.",127.77
12,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a positive influence on the prediction.,21.39
12,3,Diabetespedigreefunction (Diabetes pedigree function) is the second most important feature and has a positive influence on the prediction.,10.19
12,4,Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction.,6.26
12,5,Age (Age of the patient) is the 4th most important feature and has a positive influence on the prediction.,4.73
13,1,"For this instance, the model predicted to have diabetes.",127.77
