id,text,reversed_text,shuffled_text,num_sentences,ppl,ppl_reversed,ppl_shuffled,ppl_diff_reversed,ppl_diff_shuffled,ppl_ratio_reversed,ppl_ratio_shuffled,ppl_loo_mean,ppl_loo_std,ppl_loo_min,ppl_loo_max,ppl_cumulative_slope,ppl_cumulative_mean,ppl_cumulative_std,ppl_cumulative_first,ppl_cumulative_last,ppl_cumulative_rev_slope,ppl_cumulative_rev_mean,ppl_cumulative_rev_std,ppl_cumulative_rev_first,ppl_cumulative_rev_last,ppl_cumulative_shuff_slope,ppl_cumulative_shuff_mean,ppl_cumulative_shuff_std,ppl_cumulative_shuff_first,ppl_cumulative_shuff_last
0,"For this instance, the model predicted to fail. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction.","Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted to fail.","Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to fail.",5,5.42,5.61,6.08,0.19,0.66,1.04,1.12,7.47,1.43,5.35,9.37,-28.0611,38.9,46.11,126.33,5.42,-5.6659,11.8,9.74,30.8,5.61,-4.9961,11.45,8.31,27.04,6.08
1,"For this instance, the model predicted to fail. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. Pstatus (Parent's cohabitation status) is the third most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.","Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction. Pstatus (Parent's cohabitation status) is the third most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted to fail.","Pstatus (Parent's cohabitation status) is the third most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to fail.",5,4.6,4.98,5.31,0.38,0.71,1.08,1.15,6.29,1.04,4.29,7.34,-28.2056,38.77,46.2,126.33,4.6,-3.6642,9.05,6.02,20.4,4.98,-5.9182,11.95,9.73,30.27,5.31
2,"For this instance, the model predicted to pass. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the second most important feature and has a positive influence on the prediction. G1 (First period grade) is the third most important feature and has a negative influence on the prediction. Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction.","Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction. G1 (First period grade) is the third most important feature and has a negative influence on the prediction. Absences (Number of school absences) is the second most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.","G1 (First period grade) is the third most important feature and has a negative influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the second most important feature and has a positive influence on the prediction. Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.",5,5.21,4.56,5.59,-0.65,0.38,0.88,1.07,6.86,0.91,5.21,8.0,-38.0958,49.85,64.76,175.81,5.21,-4.1451,9.14,6.86,22.12,4.56,-13.1693,19.08,24.73,68.35,5.59
3,"For this instance, the model predicted to pass. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.","Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.","Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.",5,4.73,4.49,5.33,-0.23,0.6,0.95,1.13,6.9,1.28,4.7,8.32,-38.2698,49.01,65.26,175.81,4.73,-6.2131,11.14,10.96,32.68,4.49,-5.1983,11.09,8.53,27.04,5.33
4,"For this instance, the model predicted to pass. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Paid (Extra paid classes) is the third most important feature and has a positive influence on the prediction. Health (Current health status) is the 4th most important feature and has a positive influence on the prediction.","Health (Current health status) is the 4th most important feature and has a positive influence on the prediction. Paid (Extra paid classes) is the third most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted to pass.","Paid (Extra paid classes) is the third most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Health (Current health status) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.",5,6.33,6.25,7.83,-0.08,1.5,0.99,1.24,9.0,2.07,5.88,12.0,-38.115,50.57,64.7,175.81,6.33,-6.9744,14.15,11.51,36.06,6.25,-16.1441,25.27,28.09,80.07,7.83
5,"For this instance, the model predicted to pass. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.","Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction. Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.","Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted to pass.",5,5.1,4.75,5.52,-0.35,0.42,0.93,1.08,7.23,1.42,4.83,8.98,-38.0904,49.29,65.07,175.81,5.1,-3.913,9.1,6.48,21.46,4.75,-8.0356,14.57,13.34,39.98,5.52
6,"For this instance, the model predicted to pass. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.","Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.","Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.",5,4.73,4.49,5.33,-0.23,0.6,0.95,1.13,6.9,1.28,4.7,8.32,-38.2698,49.01,65.26,175.81,4.73,-6.2131,11.14,10.96,32.68,4.49,-5.1983,11.09,8.53,27.04,5.33
7,"For this instance, the model predicted to pass. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Fjob (Father's job) is the third most important feature and has a negative influence on the prediction. Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.","Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction. Fjob (Father's job) is the third most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.","Fjob (Father's job) is the third most important feature and has a negative influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted to pass.",5,5.29,5.57,6.55,0.27,1.25,1.05,1.24,7.17,1.32,4.89,8.8,-38.0435,49.35,65.03,175.81,5.29,-3.8047,9.9,6.16,21.46,5.57,-11.2118,18.83,19.1,55.75,6.55
8,"For this instance, the model predicted to pass. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.","Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.","Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a positive influence on the prediction. Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to pass.",5,4.73,4.49,5.33,-0.23,0.6,0.95,1.13,6.9,1.28,4.7,8.32,-38.2698,49.01,65.26,175.81,4.73,-6.2131,11.14,10.96,32.68,4.49,-5.1983,11.09,8.53,27.04,5.33
9,"For this instance, the model predicted to fail. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction.","Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction. Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted to fail.","Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction. G2 (Second period grade) is the most important feature and has a negative influence on the prediction. G1 (First period grade) is the second most important feature and has a negative influence on the prediction. Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to fail.",5,5.27,5.86,5.98,0.59,0.71,1.11,1.13,7.66,1.54,5.42,9.7,-28.0903,38.87,46.13,126.33,5.27,-9.384,15.9,16.68,48.82,5.86,-5.0321,11.4,8.35,27.04,5.98
