text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.940789,0.642857,0.194805,0.077922,"[55.4357, 30.1535, 17.9016, 13.3948, 10.9179]"
1,5,0.962687,0.654412,0.176471,0.066176,"[55.4357, 21.9431, 16.9907, 15.7002, 12.0982]"
2,5,0.962687,0.666667,0.173913,0.065217,"[60.6311, 29.0775, 18.8058, 14.7899, 12.3197]"
3,5,0.952381,0.710938,0.132812,0.046875,"[71.6708, 33.5593, 18.3623, 15.5044, 13.9334]"
4,5,0.981308,0.765766,0.153153,0.072072,"[50.1925, 21.615, 12.1667, 14.2069, 15.3807]"
5,5,0.977941,0.698529,0.132353,0.088235,"[50.1925, 23.8113, 19.532, 15.8444, 14.3194]"
6,5,0.953125,0.696,0.136,0.096,"[50.1925, 20.7344, 16.6252, 14.7852, 13.5401]"
7,5,0.984252,0.709924,0.160305,0.068702,"[71.6708, 28.5627, 14.4411, 12.8631, 11.6888]"
8,5,0.991379,0.728814,0.177966,0.076271,"[71.6708, 33.6414, 21.5694, 14.0943, 14.225]"
9,5,0.933333,0.652174,0.210145,0.050725,"[55.4357, 24.1774, 15.4945, 13.7119, 10.1953]"
10,5,0.97006,0.639053,0.147929,0.08284,"[50.1925, 21.1101, 15.8701, 11.9425, 9.9409]"
11,5,0.983871,0.677165,0.125984,0.094488,"[50.1925, 24.2739, 18.3176, 17.5457, 13.5376]"
12,5,0.970588,0.722628,0.182482,0.065693,"[55.4357, 28.9895, 15.7625, 14.7566, 11.4537]"
13,5,0.966942,0.68,0.216,0.056,"[55.4357, 23.6992, 17.1645, 14.8859, 11.8865]"
14,5,0.96875,0.7,0.169231,0.069231,"[50.1925, 21.4061, 16.9169, 12.1553, 12.2708]"
15,5,0.952055,0.675676,0.202703,0.047297,"[55.4357, 39.5287, 19.1541, 15.6563, 12.7929]"
16,5,0.97037,0.681481,0.17037,0.059259,"[50.1925, 27.5334, 18.6305, 16.8789, 14.498]"
17,5,0.960317,0.712,0.192,0.048,"[55.4357, 31.8754, 17.511, 17.944, 14.8795]"
18,5,0.96063,0.71875,0.21875,0.054688,"[55.4357, 34.9971, 20.3766, 15.5669, 11.6454]"
19,5,0.981818,0.741071,0.178571,0.080357,"[50.1925, 39.992, 18.571, 15.9497, 14.2447]"
20,5,0.964789,0.682759,0.193103,0.055172,"[55.4357, 27.4721, 16.6756, 14.5691, 11.3311]"
21,5,0.963768,0.678832,0.138686,0.065693,"[71.6708, 34.5227, 17.2153, 12.0608, 10.9579]"
22,5,0.955224,0.698529,0.205882,0.044118,"[55.4357, 25.0167, 17.0778, 13.8471, 12.4186]"
23,5,0.984733,0.669173,0.142857,0.06015,"[50.1925, 23.2362, 18.4974, 16.6941, 13.7783]"
24,5,0.956522,0.621951,0.152439,0.085366,"[71.6708, 22.5672, 14.0137, 10.4863, 8.2758]"
25,5,0.954887,0.69403,0.201493,0.067164,"[55.4357, 34.9317, 20.1476, 16.6183, 13.6831]"
26,5,0.978102,0.692857,0.178571,0.085714,"[50.1925, 31.2541, 17.2092, 13.9222, 11.0905]"
27,5,0.968504,0.736434,0.162791,0.093023,"[50.1925, 28.9402, 18.6922, 16.501, 12.9206]"
28,5,0.961783,0.664557,0.170886,0.063291,"[26.5192, 16.0237, 13.4429, 11.0929, 9.4511]"
29,5,0.951049,0.712329,0.191781,0.054795,"[55.4357, 38.8944, 20.8569, 16.5358, 13.0021]"
