text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,5,11.1085,12.956,14.3375,12.5929,1.8474,3.229,1.4843,0.166309,0.290679,0.133622
1,5,9.7941,12.4389,13.734,11.913,2.6448,3.9399,2.1189,0.270038,0.402275,0.216345
2,5,10.7138,13.0224,12.2756,12.8252,2.3085,1.5618,2.1113,0.215473,0.145775,0.197065
3,5,11.0623,13.7912,15.1307,13.5328,2.7288,4.0683,2.4705,0.246678,0.367763,0.223325
4,5,11.8811,14.7357,15.844,14.0098,2.8547,3.9629,2.1287,0.240271,0.333547,0.179168
5,5,11.0193,13.2303,13.0849,12.3956,2.211,2.0656,1.3762,0.200647,0.18745,0.124892
6,5,12.5512,15.621,13.8218,14.2563,3.0698,1.2705,1.705,0.244583,0.101227,0.135846
7,5,12.1096,15.0381,14.7315,14.0517,2.9284,2.6219,1.9421,0.241827,0.216513,0.160376
8,5,11.8298,14.0921,15.0819,13.9294,2.2623,3.2521,2.0996,0.191235,0.274904,0.177484
9,5,10.6959,13.571,13.2267,12.9173,2.8751,2.5307,2.2214,0.268799,0.236608,0.207684
10,5,12.374,15.5884,14.3477,14.1293,3.2144,1.9737,1.7553,0.25977,0.159502,0.141853
11,5,14.8111,20.3817,19.9563,18.5694,5.5706,5.1452,3.7582,0.376108,0.347387,0.253744
12,5,14.6249,17.1191,16.8771,17.8406,2.4942,2.2522,3.2157,0.170544,0.153997,0.219879
13,5,9.7949,11.0077,12.5653,11.1449,1.2128,2.7704,1.35,0.123816,0.28284,0.137831
14,5,10.2063,13.1995,12.4537,12.1039,2.9933,2.2475,1.8977,0.293279,0.220207,0.185934
15,5,10.5752,13.1794,15.0085,13.3585,2.6042,4.4333,2.7833,0.246253,0.419211,0.263186
16,5,10.0564,12.6914,14.557,12.5262,2.635,4.5006,2.4698,0.26202,0.447538,0.245591
17,5,10.8038,14.2574,13.3899,13.2231,3.4536,2.5862,2.4193,0.319667,0.239375,0.223935
18,5,10.5777,12.4511,11.5063,12.3209,1.8734,0.9287,1.7432,0.177111,0.087796,0.164803
19,5,9.9155,14.0461,12.7182,12.0779,4.1306,2.8027,2.1624,0.416581,0.282661,0.218078
20,5,10.691,13.3018,13.6705,12.7148,2.6108,2.9795,2.0238,0.244202,0.278696,0.189297
21,5,10.6557,13.9945,13.6115,12.5702,3.3388,2.9558,1.9145,0.31333,0.277394,0.179665
22,5,10.2768,12.929,12.3909,12.0465,2.6522,2.1141,1.7697,0.258075,0.205717,0.172206
23,5,11.8397,17.8466,15.8387,14.7413,6.007,3.999,2.9016,0.507357,0.337763,0.245073
24,5,10.6286,13.5704,14.8912,13.1578,2.9418,4.2626,2.5292,0.27678,0.401055,0.237966
25,5,8.2272,10.2243,10.4974,9.7571,1.9971,2.2702,1.5299,0.24275,0.275942,0.185959
26,5,11.9194,17.2771,15.3681,14.7624,5.3578,3.4488,2.843,0.4495,0.289341,0.238521
27,5,8.2138,11.1094,10.3842,10.3149,2.8956,2.1704,2.1011,0.352526,0.264237,0.2558
28,5,14.0875,17.4403,17.4537,16.7856,3.3528,3.3662,2.6981,0.237998,0.238953,0.191526
29,5,9.6407,12.2169,12.4826,11.3234,2.5763,2.8419,1.6827,0.267228,0.294782,0.174546
