id,text,ppl
0,"For the instance 5464, the model predicted not to recidivate: Age (Age of the individual) is the most important feature and has a negative influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a negative influence on the prediction.",4.66
1,"For the instance 245, the model predicted to recidivate: Black (Indicator if the individual is recorded as Black) is the most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction, Age (Age of the individual) is the third most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the 5th most important feature and has a negative influence on the prediction.",4.55
2,"For the instance 1512, the model predicted to recidivate: Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Age (Age of the individual) is the third most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.81
3,"For the instance 2484, the model predicted not to recidivate: Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction, Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the 5th most important feature and has a positive influence on the prediction.",4.41
4,"For the instance 2887, the model predicted not to recidivate: Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction, Age (Age of the individual) is the third most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.37
5,"For the instance 239, the model predicted to recidivate: Age (Age of the individual) is the most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.4
6,"For the instance 1193, the model predicted to recidivate: Age (Age of the individual) is the most important feature and has a negative influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.74
7,"For the instance 4628, the model predicted to recidivate: Age (Age of the individual) is the most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.65
8,"For the instance 2776, the model predicted to recidivate: Age (Age of the individual) is the most important feature and has a positive influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.62
9,"For the instance 293, the model predicted to recidivate: Age (Age of the individual) is the most important feature and has a negative influence on the prediction, Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction, Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction, Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction, Months_in_jail (Number of months spent in jail) is the 5th most important feature and has a positive influence on the prediction.",4.71
