text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"The model’s prediction that the team’s player would receive the 'Man of the Match' award is primarily driven by the fact that the team scored two goals, which exerted a strong positive influence on the outcome.",12.42,8.09,4.33
0,1,"This achievement set a favorable tone, signaling the player’s significant impact on the match.",8.25,8.09,0.16
0,2,"However, this positive momentum was partially offset by the relatively low number of corner kicks, which slightly diminished the likelihood of the award, suggesting that the team may have created fewer attacking opportunities from set pieces.",9.44,8.09,1.35
0,3,"Despite this, the player’s four off-target attempts contributed modestly to the prediction, indicating an active offensive presence even if not all shots were on target.",8.85,8.09,0.76
0,4,"Meanwhile, the total number of passes and the percentage of ball possession had minimal negative effects, implying that while the team did not dominate possession or passing, these factors were not decisive.",8.64,8.09,0.55
0,5,"Altogether, the model recognized that the player’s goal-scoring performance outweighed the less influential aspects, ultimately tipping the prediction in favor of receiving the award.",8.96,8.09,0.87
1,0,"The model’s prediction that the team’s player would receive the 'Man of the Match' award is primarily driven by the fact that the player scored a goal, which exerted the strongest positive influence on the outcome.",18.39,9.87,8.52
1,1,"Although the team only managed to win two corner kicks, this slightly reduced the likelihood of the award, as did the relatively low number of passes and limited ball possession, both of which subtly detracted from the prediction.",13.27,9.87,3.4
1,2,"Nevertheless, the player’s five off-target attempts contributed a modest positive effect, suggesting an active offensive presence.",9.9,9.87,0.03
1,3,"Altogether, the decisive impact of scoring a goal outweighed the negative effects of limited possession and corners, ultimately tipping the prediction in favor of the player receiving the accolade.",12.46,9.87,2.59
2,0,The model’s prediction that the team’s player would not receive the 'Man of the Match' award unfolds as a result of several interacting factors.,10.51,8.34,2.17
2,1,"At the outset, the fact that the team managed to score a goal played a positive role, nudging the prediction slightly in favor of the award.",11.27,8.34,2.93
2,2,"However, this initial advantage was soon counteracted by the relatively high number of corner kicks, which the model interpreted as a sign of missed opportunities, thereby diminishing the likelihood of the award.",10.34,8.34,2.0
2,3,"As the match progressed, the team’s five off-target attempts contributed a modest positive influence, suggesting some offensive activity, but this was not enough to outweigh the negative signals.",8.18,8.34,-0.16
2,4,"Meanwhile, the sheer volume of passes and the nearly even ball possession percentage exerted minimal, slightly negative effects, indicating that while the team maintained control and circulated the ball, these efforts did not translate into decisive moments that typically sway the award decision.",8.26,8.34,-0.07
2,5,"Ultimately, the interplay of these factors—where the positive impact of scoring was overshadowed by missed chances and unremarkable possession—led the model to conclude that the team’s player was unlikely to be recognized as 'Man of the Match.'",10.79,8.34,2.45
3,0,At the heart of the model’s prediction lies the interplay between the team’s offensive achievements and their overall gameplay dynamics.,8.72,8.22,0.5
3,1,"The fact that the team managed to score a goal stands out as the most influential factor, substantially increasing the likelihood that one of its players would be awarded 'Man of the Match.' This decisive action on the field set a positive tone for the prediction.",12.01,8.22,3.79
3,2,"However, this momentum was somewhat tempered by the team’s limited number of corner kicks, which subtly diminished their chances, suggesting that opportunities to create additional scoring threats were scarce.",9.34,8.22,1.12
3,3,"Meanwhile, the high number of off-target attempts contributed modestly in favor of the prediction, indicating an active attacking presence, even if not always precise.",8.54,8.22,0.32
3,4,"In contrast, the relatively low total number of passes and a modest ball possession percentage exerted slight downward pressure on the outcome, hinting at a less dominant control of the game.",9.38,8.22,1.16
3,5,"Altogether, while the team’s goal-scoring prowess propelled the prediction forward, the lack of sustained possession and set-piece opportunities gently pulled it back, resulting in a nuanced assessment of their likelihood to secure the 'Man of the Match' accolade.",9.95,8.22,1.73
4,0,"At the outset, the model’s prediction that the team’s player would not receive the 'Man of the Match' award is primarily anchored in the fact that the team failed to score any goals.",11.7,7.68,4.02
4,1,"This absence of goals exerts a strong negative influence, significantly diminishing the likelihood of earning the accolade.",9.17,7.68,1.49
4,2,"Although the team maintained a commanding 64% ball possession, which slightly bolstered their chances, this advantage was not sufficient to counterbalance the impact of their goalless performance.",8.5,7.68,0.82
4,3,"As the match unfolded, the team managed to secure five corner kicks and attempted six shots off-target, both of which contributed modestly in favor of the prediction.",8.1,7.68,0.43
4,4,"However, these positive effects were marginal.",7.38,7.68,-0.3
4,5,"Furthermore, the team’s high number of passes, totaling 433, paradoxically exerted a slight negative effect, perhaps suggesting a style of play that prioritized possession over decisive attacking moves.",8.08,7.68,0.4
4,6,"Ultimately, the interplay of these factors—most notably the lack of goals—led the model to conclude that the team’s player was unlikely to be recognized as 'Man of the Match.'",9.48,7.68,1.8
5,0,"At the outset, the model considered the team's inability to score any goals as the most influential factor, which significantly reduced the likelihood of a player receiving the 'Man of the Match' award.",14.4,9.18,5.23
5,1,"This lack of goals set the stage for a negative prediction, as scoring is often a decisive element in such recognitions.",9.72,9.18,0.54
5,2,"Although the team managed to earn seven corner kicks and attempted several off-target shots, these efforts only marginally increased the chances, suggesting that while offensive activity was present, it lacked the decisive impact of actual goals.",9.24,9.18,0.06
5,3,"Meanwhile, the team's high number of passes and nearly balanced ball possession percentage contributed slightly against the prediction, indicating that maintaining control and distributing the ball, though important, did not compensate for the absence of goals.",9.47,9.18,0.29
5,4,"Ultimately, the interplay of these factors led the model to conclude that, despite some positive aspects of play, the failure to score overshadowed all other contributions, resulting in a prediction that the team would not receive the 'Man of the Match' award for its player.",12.23,9.18,3.06
6,0,"At the outset, the model considered the team's inability to score any goals as the most decisive factor, which substantially reduced the likelihood of a player receiving the 'Man of the Match' award.",11.16,8.51,2.65
6,1,"This lack of goals set the stage for a negative prediction, as scoring is often a key driver of individual recognition.",9.07,8.51,0.56
6,2,"Although the team managed to earn five corner kicks and attempted five shots that missed the target, these efforts only slightly nudged the prediction upward, suggesting that while offensive activity was present, it was not impactful enough to outweigh the absence of goals.",10.6,8.51,2.09
6,3,"Meanwhile, the team's total of 467 passes and a ball possession rate of 44% exerted a modest downward influence, indicating that maintaining possession and circulating the ball did not compensate for the lack of decisive moments.",8.99,8.51,0.47
6,4,"Ultimately, the interplay of these factors led the model to conclude that, despite some offensive initiatives, the team's performance lacked the standout achievements typically required for a player to be named 'Man of the Match.'",10.38,8.51,1.87
7,0,"At the outset, the model considered the team's performance across several key metrics to determine the likelihood of a player receiving the 'Man of the Match' award.",12.68,9.88,2.8
7,1,"The most influential factor proved to be the single goal scored, which substantially increased the probability of the award, as scoring is often a decisive contribution in football matches.",11.04,9.88,1.15
7,2,"However, this positive impact was partially offset by the relatively low number of corner kicks, which suggested fewer attacking opportunities and thus slightly diminished the team's overall influence on the game.",11.59,9.88,1.7
7,3,"As the analysis progressed, the model also noted that while the team attempted several shots that missed the target, these off-target efforts still contributed modestly to the prediction, reflecting an active offensive presence.",10.16,9.88,0.27
7,4,"In contrast, the high number of passes and the limited ball possession percentage exerted minimal negative effects, indicating that although the team maintained some control and circulation of the ball, these aspects were not as pivotal in swaying the outcome.",11.01,9.88,1.12
7,5,"Ultimately, the interplay of these features led the model to its final prediction, with the goal scored standing out as the primary driver behind the decision.",10.67,9.88,0.79
8,0,"At the outset, the model’s prediction that the team’s player would not receive the 'Man of the Match' award is primarily shaped by the fact that the team failed to score any goals.",10.59,7.47,3.13
8,1,"This absence of goals exerts a strong negative influence, significantly diminishing the likelihood of earning the accolade.",8.54,7.47,1.07
8,2,"Although the team demonstrated commendable ball movement, as reflected in their high number of passes, this positive contribution was not sufficient to counterbalance the impact of not scoring.",8.11,7.47,0.64
8,3,"As the match unfolded, the team also managed to secure several corner kicks and attempted shots off-target, both of which provided only modest boosts to their chances.",8.05,7.47,0.58
8,4,"However, these efforts were ultimately overshadowed by the lack of goals.",7.98,7.47,0.51
8,5,"Interestingly, even though the team maintained a higher percentage of ball possession, this factor slightly detracted from their prospects, perhaps suggesting that possession alone, without effective outcomes, does not sway the model’s judgment.",7.54,7.47,0.07
8,6,"In summary, the interplay of these features led the model to conclude that, despite some positive aspects of the team’s performance, the decisive factor was their inability to score, which ultimately drove the prediction against awarding 'Man of the Match' to their player.",8.89,7.47,1.42
9,0,"At the outset, the model considered the team's inability to score any goals as the most decisive factor, which substantially reduced the likelihood of a player receiving the 'Man of the Match' award.",10.71,8.21,2.5
9,1,"This lack of goals set the stage for the prediction, as scoring is often a key driver for individual recognition.",8.54,8.21,0.33
9,2,"Although the team managed to secure seven corner kicks and attempted four shots that missed the target, these efforts only slightly nudged the prediction in a positive direction, suggesting that offensive activity alone was insufficient to outweigh the absence of goals.",9.0,8.21,0.79
9,3,"Meanwhile, the team's relatively high number of passes and a modest edge in ball possession contributed marginally to lowering the probability, indicating that control and distribution of the ball did not compensate for the lack of decisive moments.",9.01,8.21,0.79
9,4,"Ultimately, the interplay of these factors led the model to conclude that, despite some positive aspects of play, the absence of goals was the dominant cause behind the prediction that the team would not receive the 'Man of the Match' award.",10.73,8.21,2.52
10,0,"The model’s prediction that the team’s player would receive the 'Man of the Match' award is primarily driven by the fact that the player scored a goal, which exerted the strongest positive influence on the outcome.",16.38,9.31,7.07
10,1,"This achievement set the stage for the prediction, as scoring is often a decisive factor in such recognitions.",9.64,9.31,0.33
10,2,"Building on this, the team’s ability to earn a high number of corner kicks further reinforced the likelihood of the award, suggesting an aggressive and persistent attacking strategy throughout the match.",10.59,9.31,1.28
10,3,"Additionally, the player’s numerous off-target attempts, while not resulting in goals, demonstrated active involvement and offensive initiative, which the model interpreted as a positive contribution.",9.73,9.31,0.42
10,4,"In contrast, the total number of passes and the percentage of ball possession had minimal and slightly negative effects, indicating that, in this context, controlling the ball and distributing passes played a lesser role in swaying the prediction.",10.57,9.31,1.26
10,5,"Altogether, it was the direct impact on the scoreboard and the team’s attacking momentum that most strongly shaped the model’s decision.",9.81,9.31,0.5
11,0,"At the outset, the model’s prediction hinges most strongly on the number of goals scored by the team.",11.16,9.5,1.65
