text_id,num_sentences,last_sentence,ppl
0,1,"For this instance, the model predicted to have a stroke.",102.11
0,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,21.33
0,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,8.43
0,4,Bmi (Body Mass Index) is the third most important feature and has a negative influence on the prediction.,5.35
0,5,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.25
1,1,"For this instance, the model predicted not to have a stroke.",73.02
1,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,20.65
1,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,8.8
1,4,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.51
1,5,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.35
2,1,"For this instance, the model predicted not to have a stroke.",73.02
2,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,20.65
2,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,8.8
2,4,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.51
2,5,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.35
3,1,"For this instance, the model predicted not to have a stroke.",73.02
3,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,20.65
3,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,8.8
3,4,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.51
3,5,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.35
4,1,"For this instance, the model predicted to have a stroke.",102.11
4,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,21.33
4,3,Avg_glucose_level (Average glucose level) is the second most important feature and has a negative influence on the prediction.,8.43
4,4,Bmi (Body Mass Index) is the third most important feature and has a positive influence on the prediction.,5.33
4,5,Hypertension (Indicator if the patient has hypertension) is the 4th most important feature and has a negative influence on the prediction.,4.23
5,1,"For this instance, the model predicted not to have a stroke.",73.02
