text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,6,10.1858,11.944,11.849,11.9247,1.7582,1.6632,1.7389,0.172615,0.163287,0.170723
1,2,14.5353,16.5237,16.5237,23.836,1.9885,1.9885,9.3007,0.136804,0.136804,0.639875
2,6,8.763,11.0687,9.68,10.6274,2.3057,0.917,1.8644,0.263123,0.104644,0.212763
3,3,11.1674,12.2576,17.3029,16.1565,1.0902,6.1355,4.9891,0.097619,0.549409,0.446755
4,6,10.1657,13.0812,12.8804,12.4599,2.9155,2.7147,2.2941,0.286795,0.267044,0.225672
5,4,14.5308,17.4202,16.9073,17.9122,2.8893,2.3765,3.3814,0.198842,0.163549,0.232704
6,3,16.9881,20.2529,20.778,24.7519,3.2648,3.7899,7.7638,0.192183,0.223091,0.457012
7,3,14.7163,17.1281,19.591,20.7144,2.4117,4.8746,5.998,0.163882,0.331239,0.407576
8,4,14.755,16.8413,17.1551,17.6416,2.0863,2.4001,2.8866,0.141397,0.16266,0.195635
9,4,9.8505,12.0795,12.8553,12.4044,2.2289,3.0048,2.5539,0.226273,0.305038,0.259263
10,3,13.3153,15.8115,14.3916,18.1019,2.4963,1.0763,4.7866,0.187473,0.080835,0.359483
11,2,14.1845,17.6488,17.6488,25.7195,3.4643,3.4643,11.535,0.244232,0.244232,0.813213
12,2,13.7773,15.5998,15.5998,24.1291,1.8225,1.8225,10.3518,0.132284,0.132284,0.75137
13,5,10.456,14.5164,12.6818,13.6462,4.0604,2.2258,3.1902,0.388333,0.212874,0.305108
14,3,28.7937,38.4414,32.6227,46.5733,9.6477,3.8289,17.7796,0.335063,0.132979,0.617482
15,3,11.9254,13.7259,16.0947,15.4761,1.8005,4.1692,3.5507,0.150978,0.34961,0.297739
16,4,12.1861,16.9498,15.4609,15.0401,4.7637,3.2748,2.854,0.390909,0.268729,0.234201
17,6,10.5423,13.2711,13.5285,12.4069,2.7289,2.9863,1.8646,0.25885,0.283266,0.176873
18,4,10.0954,13.7506,14.4703,13.4561,3.6552,4.3749,3.3607,0.36207,0.433362,0.3329
19,4,15.8156,18.8058,16.1319,19.7107,2.9902,0.3163,3.8951,0.18907,0.019998,0.24628
20,2,15.589,23.0472,23.0472,30.8928,7.4581,7.4581,15.3038,0.478423,0.478423,0.981702
21,7,7.5376,9.8971,9.479,8.7925,2.3595,1.9414,1.2549,0.313037,0.257564,0.166482
22,3,12.8775,14.519,17.6259,17.4903,1.6416,4.7485,4.6128,0.127477,0.368743,0.358208
23,4,13.7292,16.326,14.6313,16.5945,2.5969,0.9022,2.8654,0.189151,0.065712,0.208708
24,6,7.6998,9.4123,9.2813,9.2741,1.7126,1.5815,1.5744,0.222417,0.205397,0.204469
25,4,8.1554,13.0897,13.8832,11.8237,4.9343,5.7278,3.6683,0.605031,0.702331,0.449798
26,2,11.3813,14.3665,14.3665,22.9167,2.9852,2.9852,11.5354,0.262292,0.262292,1.013545
27,7,6.6678,10.0658,9.8698,7.9387,3.3981,3.202,1.2709,0.509626,0.480228,0.190602
28,6,7.1319,9.4343,9.169,8.6492,2.3025,2.0372,1.5173,0.322842,0.285642,0.212754
29,3,22.2222,23.6064,25.6545,30.018,1.3842,3.4323,7.7958,0.062287,0.154451,0.350809
