text_id_rev,num_sentences_rev,last_sentence_rev,ppl_rev
0,1,Goout (Frequency of going out with friends) is the 4th most important feature and has a positive influence on the prediction.,30.8
0,2,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,10.99
0,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,6.88
0,4,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,4.72
0,5,"For this instance, the model predicted to fail.",5.61
1,1,Absences (Number of school absences) is the 4th most important feature and has a positive influence on the prediction.,20.4
1,2,Pstatus (Parent's cohabitation status) is the third most important feature and has a positive influence on the prediction.,9.91
1,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,5.83
1,4,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,4.11
1,5,"For this instance, the model predicted to fail.",4.98
2,1,Age (Age of the student) is the 4th most important feature and has a positive influence on the prediction.,22.12
2,2,G1 (First period grade) is the third most important feature and has a negative influence on the prediction.,10.07
2,3,Absences (Number of school absences) is the second most important feature and has a positive influence on the prediction.,5.18
2,4,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,3.74
2,5,"For this instance, the model predicted to pass.",4.56
3,1,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,32.68
3,2,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,9.49
3,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.28
3,4,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,3.74
3,5,"For this instance, the model predicted to pass.",4.49
4,1,Health (Current health status) is the 4th most important feature and has a positive influence on the prediction.,36.06
4,2,Paid (Extra paid classes) is the third most important feature and has a positive influence on the prediction.,15.34
4,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,7.9
4,4,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,5.22
4,5,"For this instance, the model predicted to pass.",6.25
5,1,Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.,21.46
5,2,Failures (Number of past class failures) is the third most important feature and has a positive influence on the prediction.,9.68
5,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.65
5,4,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,3.96
5,5,"For this instance, the model predicted to pass.",4.75
6,1,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,32.68
6,2,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,9.49
6,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.28
6,4,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,3.74
6,5,"For this instance, the model predicted to pass.",4.49
7,1,Absences (Number of school absences) is the 4th most important feature and has a negative influence on the prediction.,21.46
7,2,Fjob (Father's job) is the third most important feature and has a negative influence on the prediction.,10.91
7,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,6.92
7,4,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,4.64
7,5,"For this instance, the model predicted to pass.",5.57
8,1,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,32.68
8,2,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,9.49
8,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.28
8,4,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,3.74
8,5,"For this instance, the model predicted to pass.",4.49
9,1,Paid (Extra paid classes) is the 4th most important feature and has a positive influence on the prediction.,48.82
9,2,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,12.78
9,3,G1 (First period grade) is the second most important feature and has a negative influence on the prediction.,7.2
9,4,G2 (Second period grade) is the most important feature and has a negative influence on the prediction.,4.86
9,5,"For this instance, the model predicted to fail.",5.86
10,1,Failures (Number of past class failures) is the 4th most important feature and has a positive influence on the prediction.,32.68
10,2,Absences (Number of school absences) is the third most important feature and has a positive influence on the prediction.,9.49
10,3,G1 (First period grade) is the second most important feature and has a positive influence on the prediction.,5.28
10,4,G2 (Second period grade) is the most important feature and has a positive influence on the prediction.,3.74
