text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,7,10.0944,12.0634,12.2925,11.1856,1.969,2.198,1.0912,0.195058,0.217747,0.108098
1,6,9.3592,12.0341,12.194,10.9983,2.6749,2.8348,1.6391,0.285801,0.302886,0.175133
2,6,7.1711,9.897,9.822,8.4599,2.7258,2.6509,1.2888,0.380112,0.369661,0.179714
3,6,8.596,11.7122,11.0805,10.0027,3.1163,2.4845,1.4067,0.362525,0.28903,0.163646
5,6,9.1364,10.6766,10.7889,10.4672,1.5402,1.6525,1.3309,0.168578,0.180875,0.145665
6,7,8.6602,11.1472,10.6226,9.973,2.487,1.9623,1.3128,0.287173,0.226593,0.151592
7,6,7.6169,11.8808,10.0658,8.9066,4.2638,2.4489,1.2897,0.559784,0.321504,0.169322
8,7,10.0014,12.128,14.2585,11.1597,2.1265,4.257,1.1583,0.212624,0.425644,0.115813
9,6,9.3653,12.644,13.4201,11.5254,3.2787,4.0548,2.1601,0.350096,0.432961,0.230651
10,5,8.8143,10.6132,10.9338,10.5969,1.7989,2.1195,1.7826,0.204089,0.240458,0.202239
11,6,10.8605,11.8949,12.3078,11.8376,1.0344,1.4473,0.9771,0.095245,0.133264,0.089965
12,6,9.1043,11.8623,14.1312,10.2672,2.758,5.0269,1.1628,0.302932,0.552143,0.127724
14,6,9.5951,13.6763,14.7979,11.7267,4.0811,5.2028,2.1316,0.425337,0.542236,0.222154
15,6,9.2762,10.4537,11.3853,10.8733,1.1774,2.109,1.5971,0.126929,0.22736,0.172169
16,7,10.9574,12.7263,12.4492,11.9943,1.7689,1.4918,1.0369,0.161431,0.136144,0.094626
17,7,8.3854,11.3653,11.3556,9.3328,2.9799,2.9703,0.9475,0.355367,0.35422,0.11299
19,6,7.9743,10.6762,11.8093,9.3208,2.7018,3.8349,1.3465,0.338818,0.480911,0.168852
20,6,8.2442,9.0746,10.1499,9.2748,0.8304,1.9057,1.0306,0.10073,0.231161,0.125015
21,5,7.9165,9.6229,10.6621,9.6182,1.7063,2.7455,1.7017,0.215541,0.346812,0.214954
22,7,8.4235,9.9359,10.1498,9.3521,1.5124,1.7263,0.9286,0.179543,0.204939,0.110236
23,7,7.7646,9.3931,10.8491,8.9558,1.6285,3.0845,1.1912,0.20973,0.397255,0.15342
24,6,8.7138,11.1279,11.906,9.8174,2.4141,3.1923,1.1036,0.277042,0.366346,0.126655
25,7,6.2368,8.4398,9.2791,7.1557,2.203,3.0423,0.9189,0.353223,0.487805,0.147338
27,6,9.2104,13.9902,13.1019,11.4908,4.7798,3.8914,2.2804,0.518955,0.422503,0.247587
28,6,10.2603,12.1118,12.1196,11.479,1.8514,1.8593,1.2187,0.180447,0.181212,0.118774
29,7,10.9152,14.3514,14.1295,12.1533,3.4363,3.2143,1.2381,0.314817,0.294485,0.113429
