text_id_rev,num_sentences_rev,last_sentence_rev,ppl_rev
0,1,"Overall, these factors combine to influence the model’s assessment of the likelihood that this person will be rearrested within two years.",21.65
0,2,"Finally, spending 4 months in jail has a small negative effect on the predicted risk.",18.59
0,3,Being recorded as Black also slightly decreases the risk.,20.85
0,4,Having recidivated before actually lowers the risk in this case.,20.88
0,5,Having no prior crimes increases the risk a bit.,18.72
0,6,Being 21 years old slightly decreases the predicted risk.,16.33
0,7,The model predicts the risk of recidivism for this individual by considering several factors.,14.34
1,1,"Overall, these factors combine to influence the model's assessment of the individual's likelihood of being rearrested within two years.",22.64
1,2,"However, having committed 5 prior crimes increases the predicted risk by 0.0505.",21.39
1,3,Spending 1 month in jail decreases the risk by 0.0510.,16.17
1,4,The individual's age of 34 reduces the risk by 0.0851.,12.42
1,5,Not having recidivated before also lowers the risk by 0.0923.,11.47
1,6,The fact that the individual is not recorded as Black decreases the predicted risk by 0.1129.,10.45
1,7,The model predicts the risk of recidivism for this individual based on several factors.,9.63
2,1,"Overall, the absence of prior recidivism is the most significant factor reducing the estimated risk.",34.37
2,2,"The individual being recorded as Black slightly decreases the predicted risk, while having spent no months in jail also contributes to a higher risk prediction.",37.52
2,3,"Having two prior crimes and being 34 years old both increase the predicted risk, but to a lesser extent.",20.61
2,4,The fact that the individual has not previously recidivated lowers their predicted risk the most.,15.83
2,5,The model predicts the risk of recidivism for this individual based on several factors.,13.44
3,1,"Overall, the time spent in jail and the individual's age are the most significant factors reducing the risk, while the other features have smaller positive contributions.",38.24
3,2,"Additionally, having two prior crimes also contributes to a small increase in the predicted risk.",29.29
3,3,"The fact that the individual has not recidivated before and is not recorded as Black both slightly increase the predicted risk, but to a lesser extent.",19.61
3,4,"Spending 181 months in jail decreases the predicted risk, as does being 25 years old.",17.23
3,5,The model predicts the risk of recidivism for this individual by considering several factors.,15.2
4,1,"Overall, the factors that most reduce the predicted risk are the high number of prior crimes and previous recidivism, while age and lack of jail time slightly increase it.",38.0
4,2,Being recorded as Black has a small negative effect on the predicted risk.,26.93
4,3,"The individual's age of 36 slightly increases the risk, as does having spent no time in jail.",18.36
4,4,"Having 26 prior crimes and a history of recidivism both decrease the predicted risk, with the number of prior crimes having the largest negative impact.",11.63
4,5,The model predicts the risk of recidivism for this individual by considering several factors.,10.63
5,1,"Overall, the model's prediction is most influenced by age, prior recidivism, and race, with prior crimes and jail time playing smaller roles.",26.12
5,2,"Finally, spending two months in jail has a smaller effect, slightly increasing the predicted risk.",24.12
5,3,"Having three prior crimes increases the risk somewhat, but not as much as the protective factors.",20.11
5,4,"Additionally, the fact that the individual has not recidivated before and is not recorded as Black both contribute to a lower risk.",15.7
5,5,The person's age of 37 years lowers the predicted risk the most.,14.6
5,6,The model predicts the risk of recidivism for this individual based on several key factors.,12.49
6,1,"Overall, these factors combine to inform the model's estimate of the likelihood that this person will be rearrested within two years.",18.7
6,2,Spending one month in jail slightly increases the predicted risk.,21.65
6,3,"Having previously recidivated actually lowers the risk prediction a bit, as does being recorded as Black.",22.04
6,4,"Being 21 years old slightly decreases the predicted risk, while having one prior crime slightly increases it.",15.57
6,5,The model predicts the risk of recidivism for this individual by considering several factors.,13.73
7,1,"Overall, these factors together contribute to a lower estimated likelihood of rearrest within two years.",49.31
7,2,"Finally, spending only one month in jail has a small effect in reducing the predicted risk.",32.57
7,3,The fact that the person has not recidivated before further lowers the risk.,25.77
7,4,"Additionally, the individual is not recorded as Black, which slightly decreases the risk according to the model.",21.12
7,5,Having no prior crimes also reduces the risk.,19.25
7,6,"The person's age (62 years old) is the most influential factor, significantly lowering the predicted risk.",15.4
7,7,The model predicts the risk of recidivism for this individual based on several factors.,13.44
8,1,"Overall, these factors combined to inform the model's assessment of the likelihood of rearrest within two years.",37.31
8,2,"Additionally, spending only one month in jail had a small effect, slightly increasing the risk.",29.63
8,3,The fact that the individual is not recorded as Black and has not recidivated before both contributed to lowering the predicted risk.,27.5
8,4,"Having two prior crimes also raised the risk, but to a lesser extent.",22.24
8,5,"The person's age of 38 years contributed the most to the prediction, slightly increasing the estimated risk.",17.52
8,6,The model predicts the risk of recidivism for this individual based on several factors.,14.85
9,1,"Overall, the individual's young age lowers the risk, while the lack of prior offenses and other factors slightly increase it.",49.67
9,2,"Having no prior crimes, not having recidivated before, not being recorded as Black, and having spent no months in jail all contribute to a higher predicted risk, but each only increases the risk by a small amount.",22.72
9,3,Being 21 years old slightly decreases the predicted risk.,18.86
9,4,The model predicts the risk of recidivism for this individual by considering several factors.,15.97
10,1,"Overall, the prediction is shaped by a combination of these features, with prior criminal history having the largest impact.",30.84
10,2,"The individual's age of 36 also slightly reduces the risk, as does having spent no months in jail.",26.68
10,3,The fact that the individual has not recidivated before and is not recorded as Black both contribute to lowering the risk.,18.99
10,4,"The most influential factor is the number of prior crimes committed, which increases the predicted risk.",14.96
10,5,The model predicts the risk of recidivism for this individual based on several factors.,12.66
11,1,"Interestingly, having previously recidivated, spending 17 months in jail, and being recorded as Black all slightly decrease the predicted risk according to the model.",66.01
11,2,"Being 42 years old increases the predicted risk the most, followed by having one prior crime, which also raises the risk.",27.08
11,3,The model predicts the risk of recidivism for this individual based on several factors.,19.3
12,1,"Overall, these factors combine to influence the model's estimate of the likelihood that the individual will be rearrested within two years.",17.52
12,2,"Additionally, the individual is not recorded as Black, which slightly increases the risk according to the model.",21.63
12,3,"However, having spent no months in jail and having two prior crimes both increase the predicted risk.",19.95
12,4,Being 23 years old also slightly decreases the risk.,17.28
12,5,The fact that the individual has not recidivated before lowers their predicted risk.,15.02
12,6,The model predicts the risk of recidivism for this individual based on several factors.,12.69
13,1,"Overall, the absence of prior crimes and recidivism history, as well as the individual's demographic information, are the main factors influencing the prediction.",25.52
13,2,"Finally, being recorded as not Black increases the risk by 0.0753.",30.14
13,3,The individual's age of 24 slightly decreases the risk by 0.0776.,20.78
13,4,Spending no time in jail contributes an additional 0.0799 to the risk.,17.51
13,5,"Having no prior crimes increases the predicted risk by 0.1463, and not having recidivated before adds 0.1072 to the risk.",12.4
13,6,The model predicts the risk of recidivism for this individual based on several factors.,11.3
14,1,"Overall, the largest reductions in risk come from the time spent in jail and prior recidivism, while prior crimes and age contribute modestly to an increased risk.",32.53
14,2,"Additionally, being recorded as Black slightly decreases the predicted risk.",33.43
14,3,"On the other hand, having committed 3 prior crimes and being 34 years old slightly increase the risk.",19.18
14,4,Spending 33 months in jail and having previously recidivated both decrease the predicted risk.,15.81
14,5,The model predicts the risk of recidivism for this individual by considering several factors.,14.44
15,1,"Overall, the prediction is most strongly influenced by the individual's history of prior crimes.",55.35
15,2,"Spending one month in jail adds a small increase to the risk, while not being charged with a misdemeanor slightly reduces the risk.",29.82
15,3,Being recorded as Black slightly decreases the predicted risk in this case.,28.03
15,4,The fact that the individual has not recidivated before lowers the risk somewhat.,21.48
15,5,"The number of prior crimes committed increases the predicted risk the most, contributing significantly to a higher risk estimate.",18.21
15,6,The model predicts the risk of recidivism for this individual based on several factors.,15.45
16,1,Each of these factors contributes to the overall prediction of whether the individual will be rearrested within two years.,16.81
16,2,"Being recorded as Black slightly decreases the predicted risk, and having spent 1 month in jail increases it a small amount.",21.16
16,3,The fact that the individual has not recidivated before also raises the risk slightly.,16.69
16,4,"Having 25 prior crimes lowers the predicted risk, while being 61 years old increases it.",14.57
16,5,The model predicts the risk of recidivism for this individual by considering several factors.,13.15
17,1,"Having recidivated before actually lowers the predicted risk in this case, and not currently being charged with a felony slightly increases the risk.",92.39
17,2,The fact that the individual is not recorded as Black also raises the risk slightly.,49.95
17,3,"Spending 82 months in jail decreases the predicted risk, while being 37 years old increases it.",30.66
17,4,The model predicts the risk of recidivism by considering several factors.,24.16
18,1,"Being 22 years old, having previously recidivated, being recorded as Black, and having committed 4 prior crimes also each contribute to lowering the risk, but to a lesser extent.",34.4
18,2,Spending 260 months in jail contributes the most to reducing the predicted risk.,30.53
18,3,The model predicts a lower risk of recidivism for this individual.,20.42
19,1,"Additionally, the individual is not recorded as Black, and has spent just one month in jail; both of these factors further decrease the estimated likelihood of being rearrested within two years.",32.16
19,2,Having only one prior crime and not having recidivated before also contribute to a lower risk.,26.17
19,3,"The person's age (50 years old) is the most influential factor, reducing the predicted risk.",19.9
19,4,The model predicts the risk of recidivism for this individual based on several factors.,16.0
20,1,"Finally, having spent 1 month in jail adds a small increase to the risk estimate.",94.71
20,2,Being recorded as Black slightly decreases the predicted risk.,84.33
20,3,The fact that the individual has not recidivated before slightly increases the risk as well.,39.08
20,4,"Having no prior crimes also contributes to a higher risk, though to a lesser extent.",25.66
20,5,Being 54 years old increases the predicted risk moderately.,21.94
20,6,The model predicts the risk of recidivism for this individual based on several factors.,17.45
21,1,"Additionally, being charged with a misdemeanor slightly increases the predicted risk.",121.8
21,2,"The fact that the individual is recorded as Black slightly decreases the risk, and not having recidivated before slightly increases it.",32.35
21,3,"Having 13 prior crimes lowers the predicted risk, while being 53 years old increases it.",20.26
21,4,The model predicts the risk of recidivism for this individual by considering several factors.,16.31
