text_id_rev,num_sentences_rev,last_sentence_rev,ppl_rev
0,1,"Altogether, the model recognized that the player’s goal-scoring performance outweighed the less influential aspects, ultimately tipping the prediction in favor of receiving the award.",51.76
0,2,"Meanwhile, the total number of passes and the percentage of ball possession had minimal negative effects, implying that while the team did not dominate possession or passing, these factors were not decisive.",26.35
0,3,"Despite this, the player’s four off-target attempts contributed modestly to the prediction, indicating an active offensive presence even if not all shots were on target.",19.13
0,4,"However, this positive momentum was partially offset by the relatively low number of corner kicks, which slightly diminished the likelihood of the award, suggesting that the team may have created fewer attacking opportunities from set pieces.",14.01
0,5,"This achievement set a favorable tone, signaling the player’s significant impact on the match.",14.68
0,6,"The model’s prediction that the team’s player would receive the 'Man of the Match' award is primarily driven by the fact that the team scored two goals, which exerted a strong positive influence on the outcome.",11.63
1,1,"Altogether, the decisive impact of scoring a goal outweighed the negative effects of limited possession and corners, ultimately tipping the prediction in favor of the player receiving the accolade.",41.97
1,2,"Nevertheless, the player’s five off-target attempts contributed a modest positive effect, suggesting an active offensive presence.",39.04
1,3,"Although the team only managed to win two corner kicks, this slightly reduced the likelihood of the award, as did the relatively low number of passes and limited ball possession, both of which subtly detracted from the prediction.",19.68
1,4,"The model’s prediction that the team’s player would receive the 'Man of the Match' award is primarily driven by the fact that the player scored a goal, which exerted the strongest positive influence on the outcome.",13.16
2,1,"Ultimately, the interplay of these factors—where the positive impact of scoring was overshadowed by missed chances and unremarkable possession—led the model to conclude that the team’s player was unlikely to be recognized as 'Man of the Match.' Meanwhile, the sheer volume of passes and the nearly even ball possession percentage exerted minimal, slightly negative effects, indicating that while the team maintained control and circulated the ball, these efforts did not translate into decisive moments that typically sway the award decision.",24.43
2,2,"As the match progressed, the team’s five off-target attempts contributed a modest positive influence, suggesting some offensive activity, but this was not enough to outweigh the negative signals.",20.25
2,3,"However, this initial advantage was soon counteracted by the relatively high number of corner kicks, which the model interpreted as a sign of missed opportunities, thereby diminishing the likelihood of the award.",16.25
2,4,"At the outset, the fact that the team managed to score a goal played a positive role, nudging the prediction slightly in favor of the award.",14.14
2,5,The model’s prediction that the team’s player would not receive the 'Man of the Match' award unfolds as a result of several interacting factors.,12.52
3,1,"Altogether, while the team’s goal-scoring prowess propelled the prediction forward, the lack of sustained possession and set-piece opportunities gently pulled it back, resulting in a nuanced assessment of their likelihood to secure the 'Man of the Match' accolade.",28.15
3,2,"In contrast, the relatively low total number of passes and a modest ball possession percentage exerted slight downward pressure on the outcome, hinting at a less dominant control of the game.",17.22
3,3,"Meanwhile, the high number of off-target attempts contributed modestly in favor of the prediction, indicating an active attacking presence, even if not always precise.",14.05
3,4,"However, this momentum was somewhat tempered by the team’s limited number of corner kicks, which subtly diminished their chances, suggesting that opportunities to create additional scoring threats were scarce.",12.03
3,5,"The fact that the team managed to score a goal stands out as the most influential factor, substantially increasing the likelihood that one of its players would be awarded 'Man of the Match.' This decisive action on the field set a positive tone for the prediction.",9.8
3,6,At the heart of the model’s prediction lies the interplay between the team’s offensive achievements and their overall gameplay dynamics.,9.45
4,1,"Ultimately, the interplay of these factors—most notably the lack of goals—led the model to conclude that the team’s player was unlikely to be recognized as 'Man of the Match.' Furthermore, the team’s high number of passes, totaling 433, paradoxically exerted a slight negative effect, perhaps suggesting a style of play that prioritized possession over decisive attacking moves.",20.63
4,2,"However, these positive effects were marginal.",22.13
