text_id,sentence_index,removed_sentence,ppl_without_sentence,original_ppl,ppl_change
0,0,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 21, which actively reduces the predicted risk, suggesting that being relatively young is associated with a lower chance of recidivism in this context.",13.99,8.44,5.55
0,1,"However, the absence of prior crimes slightly counteracts this effect, nudging the risk upward, as the model interprets a clean record as a modest risk factor in this case.",9.33,8.44,0.89
0,2,"Despite the individual having previously recidivated, this history surprisingly diminishes the predicted risk, indicating that the model weighs other factors more heavily.",8.31,8.44,-0.12
0,3,"Additionally, the fact that the individual is recorded as Black and has spent four months in jail both contribute to a further, albeit small, reduction in the estimated risk.",8.84,8.44,0.4
0,4,"Taken together, these features interact to shape the model’s final prediction, with age exerting the most significant downward influence, while the other factors subtly adjust the risk in both directions, ultimately leading to a nuanced assessment of the individual’s likelihood of recidivism.",9.75,8.44,1.32
2,0,The model predicts the risk of recidivism by weaving together several aspects of the individual's history and characteristics.,8.6,7.75,0.85
2,1,"At the outset, the fact that this person has not previously recidivated plays a pivotal role in lowering the estimated risk, as the absence of past recidivism strongly suggests a lower likelihood of reoffending.",9.34,7.75,1.59
2,2,"Building on this, the model takes into account that the individual has committed two prior crimes, which nudges the risk upward, reflecting the tendency for prior offenses to signal a greater chance of future infractions.",8.78,7.75,1.03
2,3,"The individual's age, 34, also subtly increases the risk, as the model recognizes that certain age groups may be more prone to recidivism.",8.56,7.75,0.81
2,4,"However, the model also notes that the individual is recorded as Black, and in this case, this feature slightly decreases the predicted risk, indicating that, within the model's learned patterns, this characteristic is associated with a marginally lower likelihood of reoffending for this individual.",8.6,7.75,0.85
2,5,"Finally, the fact that the person has not spent any months in jail modestly raises the risk, perhaps because a lack of incarceration time may be linked to less deterrence or rehabilitation.",7.88,7.75,0.13
2,6,"Altogether, these factors interact to shape the model's final assessment, with each feature actively influencing the prediction through its unique contribution.",7.52,7.75,-0.24
3,0,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers the amount of time already spent in jail.",8.66,7.3,1.36
3,1,"Because this person has served 181 months, the model interprets this as a factor that reduces the risk of recidivism, suggesting that extended incarceration may have a deterrent effect.",8.28,7.3,0.98
3,2,"At the same time, the absence of any prior recidivism history slightly increases the predicted risk, as the model recognizes that individuals without a previous recidivism event may still be at risk.",8.6,7.3,1.3
3,3,"Additionally, the fact that the individual is not recorded as Black contributes a modest increase to the risk, reflecting patterns the model has learned from the data.",7.86,7.3,0.56
3,4,"The individual’s age, being 25, acts to decrease the risk somewhat, as younger individuals are often seen as less likely to reoffend compared to older counterparts.",8.08,7.3,0.77
3,5,"Finally, having two prior crimes nudges the risk upward, since a history of criminal activity is associated with a higher chance of recidivism.",7.94,7.3,0.64
3,6,"Taken together, these factors interact to shape the model’s overall prediction, with the lengthy jail time and age working to lower the risk, while the absence of prior recidivism, racial indicator, and prior offenses exert upward pressure on the estimated likelihood of rearrest.",7.98,7.3,0.68
4,0,The model’s prediction of recidivism risk for this individual unfolds as a result of several interacting factors.,9.68,8.12,1.56
4,1,"At the outset, the individual’s extensive history of prior offenses exerts a substantial downward pull on the predicted risk, as having committed 26 prior crimes significantly reduces the likelihood of rearrest according to the model’s learned patterns.",10.83,8.12,2.71
4,2,"This effect is further reinforced, albeit to a lesser extent, by the fact that the individual has previously recidivated, which also nudges the risk estimate downward.",9.38,8.12,1.26
4,3,"As the narrative progresses, the individual’s age of 36 years subtly counterbalances these reductions, as older age slightly elevates the predicted risk.",8.5,8.12,0.38
4,4,"Simultaneously, the model registers the individual’s recorded race as Black, which introduces a modest decrease in risk, reflecting the model’s internal associations.",8.37,8.12,0.25
4,5,"Finally, the absence of any recent jail time gently increases the risk prediction, suggesting that not having spent time in jail may leave more opportunity for reoffending.",8.36,8.12,0.24
4,6,"Altogether, these factors intertwine to shape the model’s final assessment, with the dominant influence stemming from the individual’s prior criminal history, while other characteristics modulate the risk in smaller but meaningful ways.",9.23,8.12,1.11
5,0,"In estimating the likelihood that this individual will be rearrested within two years, the model first considers their age of 37, which substantially reduces the predicted risk, as older individuals are statistically less likely to recidivate.",10.06,6.89,3.16
5,1,"Furthermore, the fact that this person has not previously recidivated further diminishes the model’s expectation of future rearrest, reinforcing the protective effect of age.",8.13,6.89,1.23
5,2,"The model also notes that the individual is not recorded as Black, which, in the context of the data, slightly lowers the predicted risk, reflecting observed patterns in the dataset.",6.81,6.89,-0.08
5,3,"However, the presence of three prior crimes exerts upward pressure on the risk estimate, signaling a history of criminal behavior that the model interprets as increasing the chance of recidivism.",8.09,6.89,1.19
5,4,"Finally, having spent only two months in jail exerts a modest influence, slightly raising the risk, perhaps indicating limited exposure to rehabilitative interventions.",7.6,6.89,0.7
5,5,"Taken together, these factors interact to shape the model’s overall prediction, with the mitigating effects of age and lack of prior recidivism outweighing the risk introduced by prior offenses and brief incarceration.",7.63,6.89,0.73
