id,text,reversed_text,shuffled_text,num_sentences,ppl,ppl_reversed,ppl_shuffled,ppl_diff_reversed,ppl_diff_shuffled,ppl_ratio_reversed,ppl_ratio_shuffled,ppl_loo_mean,ppl_loo_std,ppl_loo_min,ppl_loo_max,ppl_cumulative_slope,ppl_cumulative_mean,ppl_cumulative_std,ppl_cumulative_first,ppl_cumulative_last,ppl_cumulative_rev_slope,ppl_cumulative_rev_mean,ppl_cumulative_rev_std,ppl_cumulative_rev_first,ppl_cumulative_rev_last,ppl_cumulative_shuff_slope,ppl_cumulative_shuff_mean,ppl_cumulative_shuff_std,ppl_cumulative_shuff_first,ppl_cumulative_shuff_last
0,"For this instance, the model predicted not to recidivate. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.","Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to recidivate.","Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted not to recidivate.",5,4.98,5.89,6.2,0.9,1.21,1.18,1.24,6.3,0.8,4.83,6.97,-15.6734,23.69,26.33,74.66,4.98,-9.2082,16.14,16.15,47.93,5.89,-8.8449,15.92,15.45,46.25,6.2
1,"For this instance, the model predicted to recidivate. Black (Indicator if the individual is recorded as Black) is the most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction.","Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction. Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.","Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Months_in_jail (Number of months spent in jail) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.",5,5.37,5.49,5.45,0.12,0.08,1.02,1.01,6.94,0.99,5.15,8.01,-25.4078,36.27,41.57,115.15,5.37,-4.4515,10.29,7.75,25.46,5.49,-5.1781,11.25,8.68,27.92,5.45
2,"For this instance, the model predicted to recidivate. Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.","Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction. Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.","Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted to recidivate.",5,5.57,5.85,5.61,0.28,0.04,1.05,1.01,7.0,1.04,5.26,8.13,-24.3337,34.26,41.47,115.15,5.57,-9.1228,15.8,16.26,47.93,5.85,-5.016,11.06,8.65,27.92,5.61
3,"For this instance, the model predicted not to recidivate. Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction.","Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction. Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to recidivate.","Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Months_in_jail (Number of months spent in jail) is the most important feature and has a negative influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted not to recidivate.",5,5.02,5.14,5.87,0.11,0.85,1.02,1.17,6.41,0.75,4.95,7.04,-15.474,23.77,26.14,74.66,5.02,-3.7385,9.45,6.13,21.04,5.14,-11.5159,18.51,20.35,58.62,5.87
4,"For this instance, the model predicted not to recidivate. Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction. Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.","Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction. Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted not to recidivate.","Age (Age of the individual) is the third most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the most important feature and has a negative influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a negative influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted not to recidivate.",5,5.24,5.75,5.45,0.52,0.21,1.1,1.04,6.56,0.88,4.91,7.47,-15.4708,24.03,26.03,74.66,5.24,-9.1461,15.71,16.31,47.93,5.75,-4.9596,10.82,8.7,27.92,5.45
5,"For this instance, the model predicted to recidivate. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction.","Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.","Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the second most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.",5,5.13,5.44,5.94,0.31,0.8,1.06,1.16,6.52,0.91,4.78,7.22,-24.1248,32.95,41.89,115.15,5.13,-4.1249,10.27,6.65,22.7,5.44,-11.3197,18.06,20.47,58.62,5.94
6,"For this instance, the model predicted to recidivate. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction.","Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted to recidivate.","Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a negative influence on the prediction. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a negative influence on the prediction. For this instance, the model predicted to recidivate.",5,5.27,6.02,6.3,0.75,1.03,1.14,1.2,6.62,0.94,4.83,7.45,-24.2561,33.34,41.82,115.15,5.27,-9.1814,16.17,16.13,47.93,6.02,-8.824,15.95,15.44,46.25,6.3
7,"For this instance, the model predicted to recidivate. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction.","Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.","Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.",5,5.0,5.8,6.01,0.8,1.01,1.16,1.2,6.33,0.9,4.55,6.98,-24.1305,32.85,41.94,115.15,5.0,-7.2568,13.82,12.68,38.73,5.8,-11.2982,18.13,20.43,58.62,6.01
8,"For this instance, the model predicted to recidivate. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction.","Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.","Black (Indicator if the individual is recorded as Black) is the third most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.",5,5.0,5.8,6.01,0.8,1.01,1.16,1.2,6.33,0.9,4.55,6.98,-24.1305,32.85,41.94,115.15,5.0,-7.2568,13.82,12.68,38.73,5.8,-11.2982,18.13,20.43,58.62,6.01
9,"For this instance, the model predicted to recidivate. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction.","Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction. Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. For this instance, the model predicted to recidivate.","Recidivated (Indicator if the individual has recidivated before) is the third most important feature and has a positive influence on the prediction. Age (Age of the individual) is the most important feature and has a negative influence on the prediction. Number_of_prior_crimes (Number of prior crimes committed) is the second most important feature and has a positive influence on the prediction. Black (Indicator if the individual is recorded as Black) is the 4th most important feature and has a positive influence on the prediction. For this instance, the model predicted to recidivate.",5,5.2,6.03,6.16,0.83,0.96,1.16,1.18,6.56,0.94,4.76,7.39,-24.2729,33.32,41.83,115.15,5.2,-8.9055,15.86,15.63,46.62,6.03,-8.6245,15.61,15.07,45.18,6.16
