id,text,reversed_text,shuffled_text,num_sentences,ppl,ppl_reversed,ppl_shuffled,ppl_diff_reversed,ppl_diff_shuffled,ppl_ratio_reversed,ppl_ratio_shuffled,ppl_loo_mean,ppl_loo_std,ppl_loo_min,ppl_loo_max,ppl_cumulative_slope,ppl_cumulative_mean,ppl_cumulative_std,ppl_cumulative_first,ppl_cumulative_last,ppl_cumulative_rev_slope,ppl_cumulative_rev_mean,ppl_cumulative_rev_std,ppl_cumulative_rev_first,ppl_cumulative_rev_last,ppl_cumulative_shuff_slope,ppl_cumulative_shuff_mean,ppl_cumulative_shuff_std,ppl_cumulative_shuff_first,ppl_cumulative_shuff_last
0,"The model's prediction was most strongly influenced by the number of goals scored, which increased the likelihood of a player from the team receiving the 'Man of the Match' award. However, the number of corner kicks and the total number of passes slightly decreased this likelihood. The number of off-target attempts had a small positive effect, while the percentage of ball possession had a minimal negative impact on the prediction. Overall, scoring goals played the most significant role in the model's decision.","Overall, scoring goals played the most significant role in the model's decision. The number of off-target attempts had a small positive effect, while the percentage of ball possession had a minimal negative impact on the prediction. However, the number of corner kicks and the total number of passes slightly decreased this likelihood. The model's prediction was most strongly influenced by the number of goals scored, which increased the likelihood of a player from the team receiving the 'Man of the Match' award.","The number of off-target attempts had a small positive effect, while the percentage of ball possession had a minimal negative impact on the prediction. However, the number of corner kicks and the total number of passes slightly decreased this likelihood. Overall, scoring goals played the most significant role in the model's decision. The model's prediction was most strongly influenced by the number of goals scored, which increased the likelihood of a player from the team receiving the 'Man of the Match' award.",4,8.15,10.1,11.5,1.95,3.35,1.24,1.41,12.19,4.78,9.09,20.45,-2.4336,11.07,2.81,15.41,8.15,-18.8174,28.52,25.16,71.86,10.1,-6.1513,20.12,7.22,31.5,11.5
1,"The model's prediction was most strongly influenced by the fact that the team scored 1 goal, which increased the likelihood of receiving the 'Man of the Match' award. However, having 2 corner kicks and 189 total passes slightly decreased the chances. The 5 off-target attempts contributed a small positive effect, while the team's 28% ball possession had a minimal negative impact on the prediction. Overall, scoring a goal was the most significant positive factor in the model's decision.","Overall, scoring a goal was the most significant positive factor in the model's decision. The 5 off-target attempts contributed a small positive effect, while the team's 28% ball possession had a minimal negative impact on the prediction. However, having 2 corner kicks and 189 total passes slightly decreased the chances. The model's prediction was most strongly influenced by the fact that the team scored 1 goal, which increased the likelihood of receiving the 'Man of the Match' award.","The 5 off-target attempts contributed a small positive effect, while the team's 28% ball possession had a minimal negative impact on the prediction. However, having 2 corner kicks and 189 total passes slightly decreased the chances. Overall, scoring a goal was the most significant positive factor in the model's decision. The model's prediction was most strongly influenced by the fact that the team scored 1 goal, which increased the likelihood of receiving the 'Man of the Match' award.",4,10.43,12.59,15.47,2.16,5.04,1.21,1.48,15.58,6.45,11.56,26.74,-2.2837,13.77,2.57,16.99,10.43,-14.0634,29.53,16.98,57.63,12.59,-13.1823,33.77,14.82,55.15,15.47
2,"The model's prediction was most strongly influenced by the number of goals scored, which increased the likelihood of a player from the team receiving the 'Man of the Match' award. However, having more corner kicks and a higher number of passes slightly decreased this likelihood. Additionally, more off-target attempts had a small positive effect, while ball possession percentage had a minimal negative impact on the prediction. Overall, scoring goals played the most significant role in the model's decision.","Overall, scoring goals played the most significant role in the model's decision. Additionally, more off-target attempts had a small positive effect, while ball possession percentage had a minimal negative impact on the prediction. However, having more corner kicks and a higher number of passes slightly decreased this likelihood. The model's prediction was most strongly influenced by the number of goals scored, which increased the likelihood of a player from the team receiving the 'Man of the Match' award.","Additionally, more off-target attempts had a small positive effect, while ball possession percentage had a minimal negative impact on the prediction. However, having more corner kicks and a higher number of passes slightly decreased this likelihood. Overall, scoring goals played the most significant role in the model's decision. The model's prediction was most strongly influenced by the number of goals scored, which increased the likelihood of a player from the team receiving the 'Man of the Match' award.",4,9.79,12.61,15.38,2.82,5.59,1.29,1.57,13.96,5.16,10.7,22.88,-1.8846,12.44,2.11,15.41,9.79,-18.2134,32.62,23.1,71.86,12.61,-19.4177,40.77,22.35,75.71,15.38
3,"The model's prediction was most strongly influenced by the team scoring one goal, which increased the likelihood of a player receiving the 'Man of the Match' award. However, having one corner kick slightly decreased the chances. The team also had six off-target attempts, which contributed a small positive effect. The total number of passes (281) and ball possession percentage (40%) both had minor negative impacts on the prediction. Overall, scoring a goal was the most significant positive factor in the model's decision.","Overall, scoring a goal was the most significant positive factor in the model's decision. The total number of passes (281) and ball possession percentage (40%) both had minor negative impacts on the prediction. The team also had six off-target attempts, which contributed a small positive effect. However, having one corner kick slightly decreased the chances. The model's prediction was most strongly influenced by the team scoring one goal, which increased the likelihood of a player receiving the 'Man of the Match' award.","The total number of passes (281) and ball possession percentage (40%) both had minor negative impacts on the prediction. However, having one corner kick slightly decreased the chances. The team also had six off-target attempts, which contributed a small positive effect. Overall, scoring a goal was the most significant positive factor in the model's decision. The model's prediction was most strongly influenced by the team scoring one goal, which increased the likelihood of a player receiving the 'Man of the Match' award.",5,11.57,12.13,14.37,0.56,2.8,1.05,1.24,15.41,4.7,11.9,24.67,-2.3145,16.69,3.4,20.24,11.57,-9.9612,27.25,15.93,57.63,12.13,-11.7383,35.67,16.77,59.53,14.37
4,"The model predicts that the team will not receive the 'Man of the Match' award for its player. The main reason for this prediction is that the team did not score any goals, which had a strong negative impact. Although the team had a high ball possession percentage (64%), this only slightly increased the chances. Other factors, such as the number of corner kicks (5), total passes (433), and off-target attempts (6), had minor positive or negative effects, but none were enough to outweigh the negative impact of not scoring any goals.","Other factors, such as the number of corner kicks (5), total passes (433), and off-target attempts (6), had minor positive or negative effects, but none were enough to outweigh the negative impact of not scoring any goals. Although the team had a high ball possession percentage (64%), this only slightly increased the chances. The main reason for this prediction is that the team did not score any goals, which had a strong negative impact. The model predicts that the team will not receive the 'Man of the Match' award for its player.","Although the team had a high ball possession percentage (64%), this only slightly increased the chances. The main reason for this prediction is that the team did not score any goals, which had a strong negative impact. Other factors, such as the number of corner kicks (5), total passes (433), and off-target attempts (6), had minor positive or negative effects, but none were enough to outweigh the negative impact of not scoring any goals. The model predicts that the team will not receive the 'Man of the Match' award for its player.",4,7.89,9.7,9.98,1.81,2.09,1.23,1.26,10.54,1.72,8.41,12.53,-6.6618,15.77,8.18,29.44,7.89,-2.2741,12.54,2.67,15.83,9.7,-15.106,24.31,19.38,57.18,9.98
5,"The model predicts that the team is less likely to have a player win the 'Man of the Match' award mainly because they did not score any goals, which had the largest negative impact on the prediction. Although the team had 7 corner kicks and 7 off-target attempts, these factors only slightly increased the chances. The high number of passes and a ball possession rate of 48% both contributed slightly negatively to the prediction. Overall, not scoring goals was the most significant reason for the lower likelihood of receiving the award.","Overall, not scoring goals was the most significant reason for the lower likelihood of receiving the award. The high number of passes and a ball possession rate of 48% both contributed slightly negatively to the prediction. Although the team had 7 corner kicks and 7 off-target attempts, these factors only slightly increased the chances. The model predicts that the team is less likely to have a player win the 'Man of the Match' award mainly because they did not score any goals, which had the largest negative impact on the prediction.","The high number of passes and a ball possession rate of 48% both contributed slightly negatively to the prediction. Although the team had 7 corner kicks and 7 off-target attempts, these factors only slightly increased the chances. Overall, not scoring goals was the most significant reason for the lower likelihood of receiving the award. The model predicts that the team is less likely to have a player win the 'Man of the Match' award mainly because they did not score any goals, which had the largest negative impact on the prediction.",4,10.68,11.38,12.59,0.7,1.91,1.07,1.18,15.35,6.08,11.22,25.86,-2.0746,13.36,2.39,17.09,10.68,-14.0462,29.68,16.11,54.71,11.38,-17.3422,33.52,21.25,68.91,12.59
6,"The model predicts that the team is less likely to have a player win the 'Man of the Match' award mainly because they did not score any goals, which had the largest negative impact on the prediction. Although the team had 5 corner kicks and 5 off-target attempts, these contributed only slightly in favor of winning the award. The total number of passes and a ball possession rate of 44% also had small negative effects on the prediction. Overall, the lack of goals was the most significant factor in the model's decision.","Overall, the lack of goals was the most significant factor in the model's decision. The total number of passes and a ball possession rate of 44% also had small negative effects on the prediction. Although the team had 5 corner kicks and 5 off-target attempts, these contributed only slightly in favor of winning the award. The model predicts that the team is less likely to have a player win the 'Man of the Match' award mainly because they did not score any goals, which had the largest negative impact on the prediction.","The total number of passes and a ball possession rate of 44% also had small negative effects on the prediction. Although the team had 5 corner kicks and 5 off-target attempts, these contributed only slightly in favor of winning the award. Overall, the lack of goals was the most significant factor in the model's decision. The model predicts that the team is less likely to have a player win the 'Man of the Match' award mainly because they did not score any goals, which had the largest negative impact on the prediction.",4,9.65,10.72,11.41,1.07,1.76,1.11,1.18,13.53,4.27,10.77,20.9,-2.4588,13.02,2.77,17.09,9.65,-10.1953,23.68,12.25,43.76,10.72,-11.1125,26.89,12.52,45.2,11.41
7,"The model's prediction was most strongly influenced by the team scoring a goal, which increased the likelihood of a player receiving the 'Man of the Match' award. However, having one corner kick slightly decreased the chances. Five off-target attempts contributed a small positive effect, while the total number of passes and the percentage of ball possession had minor negative impacts on the prediction. Overall, scoring a goal was the most significant positive factor in the model's decision.","Overall, scoring a goal was the most significant positive factor in the model's decision. Five off-target attempts contributed a small positive effect, while the total number of passes and the percentage of ball possession had minor negative impacts on the prediction. However, having one corner kick slightly decreased the chances. The model's prediction was most strongly influenced by the team scoring a goal, which increased the likelihood of a player receiving the 'Man of the Match' award.","Five off-target attempts contributed a small positive effect, while the total number of passes and the percentage of ball possession had minor negative impacts on the prediction. However, having one corner kick slightly decreased the chances. Overall, scoring a goal was the most significant positive factor in the model's decision. The model's prediction was most strongly influenced by the team scoring a goal, which increased the likelihood of a player receiving the 'Man of the Match' award.",4,12.03,12.85,13.96,0.82,1.93,1.07,1.16,17.63,7.26,12.05,30.09,-1.8837,15.66,2.5,17.03,12.03,-13.6083,28.95,17.05,57.63,12.85,-8.1144,27.69,9.3,37.59,13.96
8,"The model's prediction was most strongly influenced by the number of goals scored, which had a negative impact on the likelihood of a player from the team receiving the 'Man of the Match' award. The high number of passes contributed positively, but to a lesser extent. The number of corner kicks and off-target attempts also had small positive effects. The percentage of ball possession had a slight negative influence on the prediction. Overall, the low number of goals scored was the main reason the model predicted that a player from this team would not receive the award.","Overall, the low number of goals scored was the main reason the model predicted that a player from this team would not receive the award. The percentage of ball possession had a slight negative influence on the prediction. The number of corner kicks and off-target attempts also had small positive effects. The high number of passes contributed positively, but to a lesser extent. The model's prediction was most strongly influenced by the number of goals scored, which had a negative impact on the likelihood of a player from the team receiving the 'Man of the Match' award.","The percentage of ball possession had a slight negative influence on the prediction. The high number of passes contributed positively, but to a lesser extent. The number of corner kicks and off-target attempts also had small positive effects. Overall, the low number of goals scored was the main reason the model predicted that a player from this team would not receive the award. The model's prediction was most strongly influenced by the number of goals scored, which had a negative impact on the likelihood of a player from the team receiving the 'Man of the Match' award.",5,7.49,8.67,9.55,1.19,2.06,1.16,1.28,9.38,2.47,7.49,14.19,-1.1443,10.06,1.64,12.28,7.49,-5.1563,19.47,7.31,29.98,8.67,-18.2607,35.37,29.08,90.67,9.55
9,"The model's prediction was most strongly influenced by the number of goals scored, which had a significant negative impact on the likelihood of a player from the team receiving the 'Man of the Match' award. The number of corner kicks and off-target attempts contributed slightly positively, while the total number of passes and the percentage of ball possession had small negative effects on the prediction. Overall, the low number of goals scored was the main reason the model predicted against a player from this team receiving the award.","Overall, the low number of goals scored was the main reason the model predicted against a player from this team receiving the award. The number of corner kicks and off-target attempts contributed slightly positively, while the total number of passes and the percentage of ball possession had small negative effects on the prediction. The model's prediction was most strongly influenced by the number of goals scored, which had a significant negative impact on the likelihood of a player from the team receiving the 'Man of the Match' award.","The number of corner kicks and off-target attempts contributed slightly positively, while the total number of passes and the percentage of ball possession had small negative effects on the prediction. The model's prediction was most strongly influenced by the number of goals scored, which had a significant negative impact on the likelihood of a player from the team receiving the 'Man of the Match' award. Overall, the low number of goals scored was the main reason the model predicted against a player from this team receiving the award.",3,8.87,9.12,9.34,0.25,0.47,1.03,1.05,14.5,6.24,10.01,23.32,-1.7863,10.49,1.48,12.44,8.87,-20.163,26.1,17.06,49.44,9.12,-7.9678,15.06,7.24,25.28,9.34
