text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.97973,0.7,0.153333,0.08,"[30.6706, 18.5621, 14.2802, 12.4999, 11.1085]"
1,5,0.992424,0.714286,0.157895,0.090226,"[30.7342, 25.2148, 14.6759, 11.1719, 9.7941]"
2,5,1.0,0.723881,0.11194,0.08209,"[30.7342, 13.6443, 14.0335, 11.3251, 10.7138]"
3,5,0.972789,0.680272,0.176871,0.088435,"[30.7342, 23.2743, 15.8445, 13.1125, 11.0623]"
4,5,0.992754,0.697842,0.172662,0.079137,"[30.6706, 28.7862, 17.5663, 13.9216, 11.8811]"
5,5,0.984615,0.732824,0.160305,0.053435,"[30.7342, 22.0794, 13.4624, 12.2345, 11.0193]"
6,5,0.992857,0.702128,0.170213,0.06383,"[30.7342, 28.8896, 17.647, 14.8968, 12.5512]"
7,5,0.992424,0.759398,0.180451,0.067669,"[30.7342, 28.301, 16.7339, 13.114, 12.1096]"
8,5,0.992754,0.710145,0.188406,0.094203,"[30.6706, 30.1746, 17.8408, 14.2344, 11.8298]"
9,5,0.986111,0.693878,0.170068,0.061224,"[30.7342, 23.339, 14.2221, 12.3515, 10.6959]"
10,5,0.991803,0.723577,0.186992,0.056911,"[30.7342, 28.301, 15.375, 14.1802, 12.374]"
11,5,0.991803,0.754098,0.229508,0.057377,"[30.7342, 23.5901, 19.7585, 14.6812, 14.8111]"
12,5,0.970588,0.717391,0.202899,0.07971,"[30.7342, 29.9603, 21.7766, 15.6174, 14.6249]"
13,5,0.992481,0.733333,0.155556,0.081481,"[30.7342, 18.7489, 12.1554, 11.214, 9.7949]"
14,5,0.956522,0.692857,0.157143,0.05,"[30.7342, 16.24, 17.7493, 13.537, 10.2063]"
15,5,0.979167,0.731034,0.17931,0.075862,"[30.7342, 25.9068, 15.7585, 11.9974, 10.5752]"
16,5,0.992481,0.729323,0.142857,0.075188,"[30.7342, 11.7301, 14.6145, 11.8871, 10.0564]"
17,5,0.957143,0.652174,0.188406,0.07971,"[30.7342, 24.2911, 13.9868, 11.4805, 10.8038]"
18,5,0.973154,0.666667,0.153333,0.073333,"[30.7342, 22.1463, 16.9433, 12.8442, 10.5777]"
19,5,1.0,0.71875,0.125,0.0625,"[30.7342, 24.523, 13.7947, 12.0181, 9.9155]"
20,5,0.987578,0.709877,0.12963,0.080247,"[30.6706, 22.5413, 18.155, 14.213, 10.691]"
21,5,0.964286,0.64539,0.12766,0.06383,"[30.6706, 13.755, 13.3312, 12.4405, 10.6557]"
22,5,0.96,0.677632,0.138158,0.052632,"[30.7342, 18.1807, 13.7463, 12.4158, 10.2768]"
23,5,1.0,0.725191,0.145038,0.099237,"[30.7342, 22.9365, 15.0501, 12.0408, 11.8397]"
24,5,0.984733,0.725191,0.137405,0.099237,"[30.7342, 26.888, 17.0317, 13.5362, 10.6286]"
25,5,0.966667,0.635762,0.15894,0.072848,"[30.7342, 17.1446, 11.5222, 10.7331, 8.2272]"
26,5,0.984615,0.712121,0.174242,0.045455,"[30.7342, 26.0262, 15.7977, 16.5041, 11.9194]"
27,5,0.964286,0.666667,0.163121,0.056738,"[30.7342, 18.7909, 14.7246, 10.0531, 8.2138]"
28,5,0.992248,0.728682,0.139535,0.108527,"[30.7342, 20.3403, 21.6155, 14.4775, 14.0875]"
29,5,0.97931,0.66,0.173333,0.073333,"[30.6706, 20.6627, 12.4088, 10.4413, 9.6407]"
