text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,"The diabetes pedigree function, which reflects family history, is also higher than average, indicating a genetic predisposition that likely pushed the prediction further toward diabetes.",43.2
0,2,"The next most influential factor was the patient’s glucose level, measured at 145, which is well above the average and suggests impaired glucose regulation, a hallmark of diabetes.",20.04
0,3,"While the patient’s BMI is close to the average, it still falls within the overweight range, which can contribute to insulin resistance and thus increase diabetes risk.",11.99
0,4,"Finally, the patient’s insulin level is more than double the average, which may signal the body is struggling to manage blood sugar, reinforcing the model’s prediction.",10.3
0,5,"The model predicted that the patient is likely to have diabetes, and this decision was most strongly influenced by the patient’s age, which is 53—significantly higher than the average age in the dataset, and a known risk factor for diabetes as risk increases with age.",8.56
1,1,"The patient’s body mass index is almost exactly average, suggesting that weight is not a major risk factor in this case.",16.23
1,2,"Although the patient is slightly older than the average in the dataset, age alone did not outweigh the protective effect of their glucose level.",14.36
1,3,"Their insulin level, while a bit higher than average, still falls within a range that does not typically signal high diabetes risk, especially when considered alongside the low glucose.",11.5
1,4,"Finally, their skin thickness measurement is somewhat lower than average, which, in the context of the other features, further supports the model’s prediction that this patient is not at high risk for diabetes.",8.49
1,5,"The model predicted that the patient is not likely to have diabetes, and this decision was most strongly influenced by their relatively low plasma glucose level of 89, which is well below the average and is a key indicator in diabetes risk assessment.",7.89
2,1,"Interestingly, the patient’s diabetes pedigree function—a measure of family history—was higher than average, which could have increased their risk, but this was outweighed by the other protective factors.",26.95
2,2,"The patient’s young age of 22 also played a significant role, as younger individuals are generally at lower risk for developing diabetes compared to older adults.",13.76
2,3,"Their body mass index (BMI) of 28.4, while slightly above the normal range, is still lower than the average in the dataset and did not push the risk high enough to change the prediction.",10.31
2,4,"Finally, having had two pregnancies, fewer than the average in the dataset, contributed modestly to the overall lower risk, supporting the model’s conclusion that this patient is not predicted to have diabetes.",10.12
2,5,"The model predicted that the patient is not likely to have diabetes, and this decision was most strongly influenced by their relatively low plasma glucose level of 88, which is well below the typical average and is a key indicator in diabetes risk assessment.",9.49
3,1,"While the patient’s BMI is higher than average at 37.4, which could increase risk, this was outweighed by the protective effects of the lower glucose and younger age.",23.37
3,2,"This decision was most strongly influenced by the patient’s relatively low glucose level of 95, which is well below the average and suggests good blood sugar control—a key factor in diabetes risk.",14.57
3,3,"The patient’s young age of 24 also played a significant role, as younger individuals are generally at lower risk for developing diabetes compared to older adults.",9.86
