text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.978495,0.691489,0.170213,0.101064,"[18.5938, 12.1168, 10.8573, 11.6486, 10.2252]"
1,5,0.972789,0.726027,0.171233,0.10274,"[16.571, 23.925, 16.0846, 13.2533, 10.8216]"
2,5,0.974359,0.675325,0.155844,0.090909,"[16.571, 13.7754, 12.8521, 12.8986, 10.9383]"
3,5,0.993377,0.764706,0.183007,0.084967,"[18.5938, 14.0024, 10.9698, 10.3081, 9.0144]"
4,5,0.97973,0.738255,0.187919,0.100671,"[18.5938, 13.0928, 12.0377, 11.3137, 10.0439]"
5,5,0.987879,0.680723,0.198795,0.084337,"[16.571, 14.4263, 16.2488, 12.5683, 11.3186]"
6,5,0.98324,0.722222,0.205556,0.088889,"[16.571, 11.4805, 11.5335, 10.5733, 10.3711]"
7,5,0.993865,0.697531,0.166667,0.104938,"[16.571, 18.5578, 17.3206, 13.7483, 12.3415]"
8,5,0.994318,0.666667,0.166667,0.109195,"[16.571, 17.7058, 14.8701, 14.9007, 12.5934]"
9,5,0.987952,0.688623,0.203593,0.11976,"[16.571, 8.7052, 10.6157, 10.9783, 9.2167]"
10,5,0.984293,0.712042,0.198953,0.08377,"[16.571, 16.7746, 10.8026, 10.8777, 9.9525]"
11,5,0.962963,0.699248,0.180451,0.090226,"[16.571, 12.3085, 13.5398, 11.2671, 10.5956]"
12,5,1.0,0.798701,0.201299,0.097403,"[16.571, 14.7887, 12.6876, 11.4663, 9.5793]"
13,5,0.981132,0.746835,0.202532,0.107595,"[16.571, 11.5669, 10.6725, 11.7479, 10.2725]"
14,5,1.0,0.726115,0.178344,0.089172,"[18.5938, 23.6042, 14.3534, 12.3505, 10.9777]"
15,5,0.981928,0.715152,0.181818,0.078788,"[16.0483, 13.9728, 11.9649, 12.6147, 12.1585]"
16,5,0.986111,0.739726,0.171233,0.09589,"[18.5938, 13.9041, 10.7265, 12.3483, 11.8128]"
17,5,0.986014,0.729167,0.159722,0.083333,"[16.571, 17.7997, 17.1205, 14.5431, 11.9628]"
18,5,0.975309,0.702532,0.183544,0.101266,"[18.5938, 16.6557, 11.9838, 12.0489, 10.3123]"
19,5,0.983607,0.694444,0.161111,0.088889,"[16.571, 15.9534, 14.8918, 14.8956, 12.7967]"
20,5,1.0,0.769231,0.181818,0.111888,"[16.571, 18.982, 15.5561, 18.8121, 15.9662]"
21,5,0.980645,0.703226,0.135484,0.109677,"[18.5938, 9.7334, 9.0836, 8.5689, 7.3322]"
22,5,1.0,0.74359,0.179487,0.089744,"[18.5938, 20.9366, 19.5656, 18.0856, 14.3055]"
23,5,0.986667,0.715232,0.192053,0.072848,"[18.5938, 16.4345, 10.8598, 11.2006, 10.0964]"
24,5,0.972028,0.683099,0.147887,0.105634,"[16.571, 11.099, 10.0852, 10.2375, 9.0551]"
25,5,0.981132,0.681529,0.152866,0.101911,"[18.5938, 21.6006, 13.9059, 13.7633, 12.1676]"
26,5,0.976471,0.698225,0.195266,0.106509,"[16.571, 10.9291, 9.2912, 9.8048, 9.7986]"
27,5,1.0,0.721088,0.197279,0.061224,"[18.5938, 21.2019, 16.2048, 13.0165, 12.091]"
28,5,0.987261,0.673077,0.173077,0.076923,"[18.5938, 13.952, 15.2073, 12.0709, 10.1862]"
29,5,0.988571,0.681818,0.164773,0.119318,"[18.5938, 13.8831, 10.2296, 9.7452, 8.5877]"
