text_id,num_sentences,ppl_original,ppl_shuffled,ppl_reversed,ppl_loo_mean,ppl_diff_shuffled,ppl_diff_reversed,ppl_diff_loo,ppl_change_ratio_shuffled,ppl_change_ratio_reversed,ppl_change_ratio_loo
0,4,12.9075,15.4303,12.5942,17.172,2.5228,-0.3133,4.2645,0.195454,-0.024269,0.330391
1,4,12.5369,15.1202,16.0834,16.7471,2.5833,3.5465,4.2102,0.206059,0.282884,0.335827
2,5,11.6079,14.9078,15.6881,14.3021,3.2999,4.0802,2.6943,0.284285,0.351504,0.232109
3,5,10.506,12.162,11.8468,12.904,1.656,1.3408,2.398,0.157624,0.127627,0.228253
4,4,13.4295,15.3519,12.86,17.2924,1.9224,-0.5695,3.8629,0.143146,-0.042407,0.287641
5,4,7.8865,9.1818,8.9894,10.1505,1.2952,1.1029,2.264,0.164232,0.139843,0.28707
6,4,8.9418,12.5616,13.2626,12.3823,3.6198,4.3208,3.4405,0.404819,0.483216,0.384766
7,4,9.081,11.6886,11.7557,12.1567,2.6076,2.6747,3.0757,0.287149,0.294536,0.338694
8,5,9.2057,11.1293,10.9553,10.8833,1.9236,1.7496,1.6776,0.20896,0.190055,0.182237
9,6,7.7594,10.9802,10.016,9.4114,3.2208,2.2566,1.652,0.415077,0.29082,0.212898
10,4,9.6197,13.4156,14.2353,13.3914,3.7959,4.6156,3.7717,0.394596,0.479805,0.392081
11,4,12.1817,14.8086,15.9518,16.4118,2.6269,3.7701,4.2302,0.215647,0.309488,0.347255
12,6,8.7163,11.3232,11.1683,10.7805,2.6069,2.4521,2.0642,0.29909,0.281323,0.236824
13,4,9.9621,13.0303,10.8502,12.4772,3.0682,0.888,2.5151,0.307982,0.089141,0.252461
14,5,10.2088,13.981,13.2329,12.9256,3.7722,3.0242,2.7168,0.369507,0.296233,0.266128
15,5,12.5455,15.5509,14.8165,15.4409,3.0054,2.2711,2.8954,0.239562,0.181025,0.230793
16,4,11.8838,17.599,18.149,16.1851,5.7152,6.2652,4.3013,0.480929,0.527207,0.361948
17,5,10.1703,10.589,11.2832,12.6424,0.4188,1.1129,2.4721,0.041177,0.109427,0.243076
18,3,11.6564,15.9393,14.8984,17.4043,4.2829,3.242,5.7479,0.367429,0.278135,0.493116
19,4,7.8395,12.2435,11.8912,11.2163,4.404,4.0517,3.3768,0.561762,0.516827,0.43074
20,4,12.7796,14.6959,13.4157,16.2878,1.9163,0.6362,3.5083,0.14995,0.049781,0.274521
21,2,13.1163,15.0933,15.0933,22.7875,1.977,1.977,9.6711,0.150726,0.150726,0.737334
22,6,7.8829,12.5929,10.5431,9.5745,4.7101,2.6603,1.6917,0.59751,0.337477,0.214603
23,5,10.4861,14.0408,12.5,13.5644,3.5546,2.0139,3.0783,0.338982,0.192053,0.293558
24,4,10.1861,12.677,14.1519,13.373,2.4909,3.9658,3.1868,0.244536,0.38933,0.31286
25,5,9.1677,10.6904,11.503,11.4772,1.5226,2.3353,2.3095,0.166086,0.254726,0.251914
26,3,13.6021,21.6213,22.4101,28.0801,8.0192,8.8081,14.478,0.589556,0.647552,1.064396
27,5,8.6618,10.7416,10.5876,11.4313,2.0798,1.9259,2.7696,0.240114,0.22234,0.319744
28,5,10.3463,11.3264,11.092,12.4336,0.98,0.7457,2.0873,0.094721,0.072073,0.201744
29,5,9.9818,13.3914,12.4385,12.2696,3.4097,2.4568,2.2878,0.341589,0.246126,0.229197
