text_id,num_sentences,last_sentence,ppl
0,1,The model predicts the risk of recidivism for this individual by considering several factors.,33.66
0,2,Being 21 years old slightly decreases the predicted risk.,26.13
0,3,Having no prior crimes increases the risk a bit.,17.59
0,4,Having recidivated before actually lowers the risk in this case.,15.55
0,5,Being recorded as Black also slightly decreases the risk.,14.59
0,6,"Finally, spending 4 months in jail has a small negative effect on the predicted risk.",11.4
0,7,"Overall, these factors combine to influence the model’s assessment of the likelihood that this person will be rearrested within two years.",9.56
1,1,The model predicts the risk of recidivism for this individual based on several factors.,26.37
1,2,The fact that the individual is not recorded as Black decreases the predicted risk by 0.1129.,19.19
1,3,Not having recidivated before also lowers the risk by 0.0923.,13.9
1,4,The individual's age of 34 reduces the risk by 0.0851.,10.48
1,5,Spending 1 month in jail decreases the risk by 0.0510.,9.31
1,6,"However, having committed 5 prior crimes increases the predicted risk by 0.0505.",8.23
1,7,"Overall, these factors combine to influence the model's assessment of the individual's likelihood of being rearrested within two years.",7.88
2,1,The model predicts the risk of recidivism for this individual based on several factors.,26.37
2,2,The fact that the individual has not previously recidivated lowers their predicted risk the most.,15.05
2,3,"Having two prior crimes and being 34 years old both increase the predicted risk, but to a lesser extent.",10.32
2,4,"The individual being recorded as Black slightly decreases the predicted risk, while having spent no months in jail also contributes to a higher risk prediction.",10.93
2,5,"Overall, the absence of prior recidivism is the most significant factor reducing the estimated risk.",9.86
3,1,The model predicts the risk of recidivism for this individual by considering several factors.,33.66
3,2,"Spending 181 months in jail decreases the predicted risk, as does being 25 years old.",26.95
3,3,"The fact that the individual has not recidivated before and is not recorded as Black both slightly increase the predicted risk, but to a lesser extent.",15.64
3,4,"Additionally, having two prior crimes also contributes to a small increase in the predicted risk.",13.56
3,5,"Overall, the time spent in jail and the individual's age are the most significant factors reducing the risk, while the other features have smaller positive contributions.",11.03
4,1,The model predicts the risk of recidivism for this individual by considering several factors.,33.66
4,2,"Having 26 prior crimes and a history of recidivism both decrease the predicted risk, with the number of prior crimes having the largest negative impact.",17.11
4,3,"The individual's age of 36 slightly increases the risk, as does having spent no time in jail.",12.46
4,4,Being recorded as Black has a small negative effect on the predicted risk.,11.14
4,5,"Overall, the factors that most reduce the predicted risk are the high number of prior crimes and previous recidivism, while age and lack of jail time slightly increase it.",8.7
5,1,The model predicts the risk of recidivism for this individual based on several key factors.,26.35
5,2,The person's age of 37 years lowers the predicted risk the most.,23.86
5,3,"Additionally, the fact that the individual has not recidivated before and is not recorded as Black both contribute to a lower risk.",15.71
5,4,"Having three prior crimes increases the risk somewhat, but not as much as the protective factors.",13.46
5,5,"Finally, spending two months in jail has a smaller effect, slightly increasing the predicted risk.",12.08
5,6,"Overall, the model's prediction is most influenced by age, prior recidivism, and race, with prior crimes and jail time playing smaller roles.",8.76
6,1,The model predicts the risk of recidivism for this individual by considering several factors.,33.66
6,2,"Being 21 years old slightly decreases the predicted risk, while having one prior crime slightly increases it.",18.84
6,3,"Having previously recidivated actually lowers the risk prediction a bit, as does being recorded as Black.",18.14
6,4,Spending one month in jail slightly increases the predicted risk.,15.93
6,5,"Overall, these factors combine to inform the model's estimate of the likelihood that this person will be rearrested within two years.",11.86
7,1,The model predicts the risk of recidivism for this individual based on several factors.,26.37
7,2,"The person's age (62 years old) is the most influential factor, significantly lowering the predicted risk.",16.5
7,3,Having no prior crimes also reduces the risk.,14.71
7,4,"Additionally, the individual is not recorded as Black, which slightly decreases the risk according to the model.",12.48
7,5,The fact that the person has not recidivated before further lowers the risk.,10.24
7,6,"Finally, spending only one month in jail has a small effect in reducing the predicted risk.",9.26
7,7,"Overall, these factors together contribute to a lower estimated likelihood of rearrest within two years.",8.93
8,1,The model predicts the risk of recidivism for this individual based on several factors.,26.37
8,2,"The person's age of 38 years contributed the most to the prediction, slightly increasing the estimated risk.",20.85
8,3,"Having two prior crimes also raised the risk, but to a lesser extent.",15.16
