text_id,num_sentences,distinct_2gram_ratio,ttr,verb_ratio,connectives_ratio,cumulative_ppls
0,5,0.939024,0.63253,0.180723,0.078313,"[14.4666, 11.0496, 10.5421, 9.7518, 8.4355]"
2,7,0.907767,0.597087,0.174757,0.07767,"[23.7493, 11.9143, 10.2631, 8.6354, 7.546, 7.515, 7.7502]"
3,7,0.960784,0.585366,0.185366,0.082927,"[15.3115, 10.8059, 9.3146, 9.3895, 8.408, 7.977, 7.3018]"
4,7,0.950549,0.608466,0.169312,0.079365,"[48.7904, 16.5572, 10.7472, 10.0923, 9.4351, 9.2308, 8.1206]"
5,6,0.948276,0.653409,0.170455,0.073864,"[13.4492, 10.01, 8.9054, 7.9267, 7.6266, 6.8928]"
6,6,0.930233,0.617512,0.193548,0.069124,"[14.0358, 10.1052, 10.3027, 9.4778, 8.7587, 8.3948]"
7,7,0.968553,0.66242,0.165605,0.082803,"[22.6263, 10.9888, 8.9574, 7.7652, 7.2541, 7.2941, 7.359]"
8,6,0.945946,0.609626,0.171123,0.074866,"[14.4678, 9.8503, 8.4291, 7.6493, 7.4166, 6.8247]"
9,5,0.925714,0.632768,0.180791,0.056497,"[14.4666, 11.1053, 10.497, 8.9963, 7.7104]"
10,7,0.928177,0.60989,0.17033,0.065934,"[21.2366, 23.6916, 13.8351, 11.0093, 10.0338, 8.5294, 8.3042]"
11,5,0.944444,0.666667,0.166667,0.069444,"[23.3127, 13.2325, 9.7226, 9.3347, 8.1858]"
12,7,0.934579,0.548387,0.152074,0.069124,"[23.6007, 11.9471, 10.2133, 10.2976, 9.1871, 8.699, 7.6287]"
14,3,0.980392,0.759615,0.182692,0.067308,"[23.5622, 12.6474, 12.6002]"
15,7,0.952096,0.64497,0.16568,0.094675,"[22.4732, 13.9743, 10.0493, 9.062, 9.4203, 9.3424, 8.0375]"
16,6,0.964912,0.6,0.164706,0.052941,"[20.5599, 12.8551, 9.8475, 8.6451, 8.8229, 8.67]"
17,7,0.926267,0.545872,0.183486,0.068807,"[16.6789, 11.5672, 9.562, 9.3181, 8.631, 8.5586, 7.5546]"
18,7,0.939227,0.644809,0.180328,0.087432,"[24.4484, 12.5871, 9.1901, 8.2455, 8.1747, 8.1458, 8.4475]"
19,7,0.946429,0.630303,0.169697,0.072727,"[27.0503, 12.1856, 8.8376, 8.5964, 8.0256, 7.8228, 7.0387]"
20,6,0.948052,0.623377,0.162338,0.071429,"[21.75, 10.2536, 10.5105, 8.1416, 8.0893, 7.4925]"
21,6,0.941799,0.60733,0.183246,0.04712,"[17.8333, 13.0004, 11.719, 10.6837, 9.7222, 9.1401]"
22,7,0.953052,0.599078,0.179724,0.087558,"[18.9461, 12.5498, 9.6396, 9.0941, 7.827, 7.5601, 7.2647]"
23,6,0.918367,0.57868,0.147208,0.086294,"[14.4131, 12.8055, 10.0777, 9.4299, 8.3837, 7.3278]"
24,6,0.982558,0.66092,0.172414,0.08046,"[22.4732, 13.9945, 12.5536, 11.9882, 10.7401, 9.9159]"
25,7,0.949541,0.633028,0.165138,0.087156,"[25.8208, 14.4922, 11.916, 9.3148, 8.9493, 8.7662, 8.1639]"
26,7,0.943299,0.617347,0.153061,0.066327,"[25.0184, 11.4866, 9.3536, 7.5944, 7.119, 6.9893, 6.4728]"
27,7,0.919431,0.593458,0.191589,0.074766,"[25.0184, 16.4881, 11.6043, 11.0309, 9.821, 8.4977, 7.7387]"
28,7,0.898551,0.547619,0.17619,0.071429,"[20.5599, 11.5294, 10.0739, 8.5022, 6.7049, 6.371, 5.9074]"
29,7,0.922222,0.586957,0.190217,0.065217,"[22.3376, 15.7643, 12.7986, 11.2796, 9.1761, 8.651, 7.4341]"
